target_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFSTRLPCC-001,CFE2EGUQ-004,end_to_end_mechanism,Sterling backlog credit-platform conversion pass,source-visible,Q2 2026 / July 2026,Backlog and credit reset form a coherent operating-capital mechanism,customer/project commitments to contract timing to backlog/RPO to revenue to OCF after capex to revolver/L/C/surety wrapper,passes-mechanism-gate,Sterling routes customer/project demand through an execution platform rather than owning the full upstream project asset,Named project owner funding and exact project cash collection,Owner funding records project contracts and collection schedules,Sterling has a company-level backlog-to-cash mechanism.
CFSTRLPCC-002,CFE2EGUQ-004,RPO_growth,Eight-quarter contract-capital conversion pass,source-visible,2024-Q3 to 2026-Q2,RPO increased materially across eight quarters,2055.081M USD to 4233.618M USD; about 106.0 percent growth,passes-backlog-scale-gate,Customer or project commitment visibility expanded materially,Contract quality cancellation and project owner funding,Backlog roll-forward and signed contract support,Sterling has repeated-period RPO growth evidence.
CFSTRLPCC-003,CFE2EGUQ-004,contract_timing,Eight-quarter contract-capital conversion pass,source-visible,Q2 2026,Contract liabilities exceed contract assets,802.601M liabilities; 156.295M assets; 646.306M net liability timing,passes-contract-timing-gate,Customer billing and performance timing help fund execution,Whether liabilities are cash available or tied to funded projects,Contract liability run-off retainage and receivable aging,Sterling has favorable contract timing evidence.
CFSTRLPCC-004,CFE2EGUQ-004,cash_conversion,Eight-quarter contract-capital conversion pass,source-visible,Q2/H1 2026,Operating cash flow less capex stayed positive in the observed series,112.436M USD Q2 OCF less capex; 258.375M USD H1 OCF less capex,passes-company-cash-gate,Sterling converts the backlog platform into company-level cash after capex,Project-level cash collection margin and working-capital reversal,Project margin collection retainage and cash-conversion schedules,Sterling has company-level cash conversion evidence.
CFSTRLPCC-005,CFE2EGUQ-004,debt_vs_backlog,Eight-quarter contract-capital conversion pass,derived-visible,Q2 2026,Debt remained low relative to RPO,6.7 percent debt/RPO,passes-debt-intensity-gate,The balance sheet is not financing the whole project value,Formal covenant calculation and stress availability,Compliance certificate and post-reset debt usage,Sterling debt is small relative to RPO at company proxy level.
CFSTRLPCC-006,CFE2EGUQ-004,credit_wrapper,Sterling credit-platform conversion and funded-backlog covenant cushion passes,source-visible,2026-07-02,New credit wrapper is visible,1.500B USD revolver; 600M USD L/C sublimit; 50M USD swing-line,passes-wrapper-gate,The facility supports liquidity guarantees acquisitions capex and refinancing,Actual draws L/C outstanding and project allocation,Post-reset 10-Q liquidity table and compliance certificate,Sterling has agreement-backed platform liquidity.
CFSTRLPCC-007,CFE2EGUQ-004,L_C_surety_capacity,Sterling L/C and surety boundary pass,source-visible,2026-07-02,L/C support is a major feature of the revolver,600M USD L/C sublimit; 8.0x increase; 40.0 percent of revolver,passes-guarantee-capacity-gate,Sterling has a formal guarantee-support wrapper consistent with project execution,Actual L/C outstanding and beneficiaries,L/C schedule and bank availability table,Sterling L/C capacity is visible but usage is not.
CFSTRLPCC-008,CFE2EGUQ-004,bonding_need,Sterling L/C and surety boundary pass,source-visible,FY2025 / Q2 2026,Bonding and surety mechanics are visible,bid bonds 5 to 10 percent; performance/payment bonds up to 100 percent; Travelers surety with receivables and contract-rights collateral,passes-bonding-mechanics-gate,The operating model can require contingent support tied to projects,Bonded backlog surety capacity project bond face amounts and claims,Compiled surety schedule or project bond records,Sterling bonding mechanics are visible.
CFSTRLPCC-009,CFE2EGUQ-004,backlog_quality,Sterling funded backlog covenant cushion pass,derived-visible,Q2 2026,RPO conversion and unsigned-award boundaries are visible,74.0 percent RPO expected within 12 months; 22.9 percent unsigned awards share of combined backlog,passes-quality-boundary-gate,Most RPO is near-term but combined backlog contains weaker unsigned visibility,Award conversion cancellation and non-cancellable contract support,Award-to-contract conversion and cancellation history,Sterling backlog quality is bounded not risk-free.
CFSTRLPCC-010,CFE2EGUQ-004,acquired_vs_organic,Sterling acquired versus organic backlog pass,source-visible,Q2 2026,Acquisition contribution is material,2.56B USD acquired signed plus unsigned contribution; 45.6 percent of combined backlog; 250.8M USD Q2 acquisition revenue contribution,passes-acquisition-split-gate,Backlog growth is both organic and acquisition-enabled,Acquired backlog margin conversion customer concentration and retention,Post-close acquired backlog burn and margin bridge,Sterling backlog growth should be split between organic and acquired.
