metric_id,workbench_gate_id,source_id,company,proof_channel,form,period,metric_family,metric_label,metric_value,unit,current_status,source_anchor,what_it_says,what_it_does_not_say
CFPLFW-001,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Testimony / Form 1E,2025 actual/estimated,true-up,current-period under-recovery before interest,6.200197,USD millions,true-up-visible,"Page 8 testimony and page 12 Form 1E state an under-recovery of $6,200,197 before interest for January-December 2025.","FPL has an actual/estimated recovery imbalance that can be carried into the 2026 factor calculation.","It is not realized shareholder earnings or project-level return."
CFPLFW-002,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Testimony / Form 1E,2025 actual/estimated,true-up,interest provision,0.971817,USD millions,true-up-interest-visible,"Page 8 testimony and page 12 Form 1E state an interest provision of $971,817.","The true-up includes an interest component, improving the carrying-cost bridge.","It does not identify the financing source behind the underlying capital spend."
CFPLFW-003,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Testimony / Form 1E,2025 actual/estimated,true-up,total under-recovery including interest,7.172014,USD millions,true-up-visible,"Page 8 testimony and page 12 Form 1E state a total under-recovery of $7,172,014 including interest.","The filing gives a quantified recovery/true-up amount for the SPPCRC period.","It is not evidence that the amount has already been collected from customers."
CFPLFW-004,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 2E,2025 actual/estimated,clause revenue,clause revenues net of revenue taxes,792.990494,USD millions,clause-revenue-visible,"Page 13 Form 2E lists clause revenues net of revenue taxes of $792,990,494.","The source includes actual/estimated clause-revenue evidence, not only requested revenue requirements.","It still does not allocate cash by customer or project."
CFPLFW-005,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 2E,2025 actual/estimated,revenue requirement,total jurisdictional revenue requirements,733.871964,USD millions,revenue-requirement-visible,"Page 13 Form 2E lists total jurisdictional revenue requirements of $733,871,964.","The true-up bridge compares clause revenue with jurisdictional revenue requirements.","It does not prove category-level realized earnings."
CFPLFW-006,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 2E,2025 actual/estimated,true-up,true-up collected or refunded,65.318726,USD millions,true-up-collection-mechanic-visible,"Page 13 Form 2E lists True-Up Collected/(Refunded) of $65,318,726.","The filing exposes a collected/refunded true-up line used in the recovery mechanism.","It does not show final customer bill receipts or cash timing beyond the form schedule."
CFPLFW-007,CFPGW-005,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 5P,2026 projection,cost recovery factor,RS1/RTR1 SPP factor,0.00869,USD/kWh,rate-class-factor-visible,"Page 42 Form 5P lists RS1/RTR1 projected sales and an SPP factor of 0.00869 dollars per kWh.","Residential-rate-class recovery factor evidence is visible for 2026.","Projected factor evidence is not actual cash collected."
CFPLFW-008,CFPGW-005,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 5P,2026 projection,cost recovery factor,GS1/GST1 SPP factor,0.00806,USD/kWh,rate-class-factor-visible,"Page 42 Form 5P lists GS1/GST1 SPP factor of 0.00806 dollars per kWh.","General-service rate-class recovery factor evidence is visible.","It does not prove a final tariff sheet or customer receipts."
CFPLFW-009,CFPGW-005,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 5P,2026 projection,cost recovery factor,GSD1/GSDT1 demand SPP factor,1.58,USD/kW,rate-class-factor-visible,"Page 42 Form 5P lists GSD1/GSDT1/HLFT1/GSD1-EV demand SPP factor of $1.58 per kW.","Demand-rate recovery mechanics are visible for commercial/industrial classes.","It does not provide customer-specific billing volumes."
CFPLFW-010,CFPGW-005,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 5P,2026 projection,cost recovery factor,total SPPCRC cost by rate class,859.244393,USD millions,rate-class-allocation-visible,"Page 42 Form 5P totals demand/customer-related costs of $61,506,076, energy-related costs of $797,738,317, and total SPPCRC costs of $859,244,393.","The customer-factor table reconciles to the 2026 SPPCRC total cost pool.","It is not a realized revenue or earnings line."
