claim_id,company,period,metric,value,unit,comparison_value,comparison_period,source_file,source_location,interpretation,claim_effect,status
CF-005,Ares,Q2 2026,total AUM,671.319,USD billions,572.385,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 57 total AUM rollforward,Measures total capital-routing platform scale.,supports platform scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,credit group AUM,440.544,USD billions,377.106,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 78 Credit Group AUM rollforward,Measures credit-platform scale within Ares.,supports credit routing scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,total FPAUM,409.922,USD billions,349.557,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 59 FPAUM rollforward,Measures fee-paying capital base.,supports monetizable platform scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,credit group FPAUM,266.120,USD billions,228.153,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 80 Credit Group FPAUM rollforward,Measures fee-paying credit capital base.,supports monetizable credit scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,U.S. direct lending AUM,196.740,USD billions,174.244,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 78 Credit Group AUM rollforward,Measures U.S. direct lending AUM inside Credit Group.,supports direct-lending scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,European direct lending AUM,88.985,USD billions,81.291,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 78 Credit Group AUM rollforward,Measures European direct lending AUM inside Credit Group.,supports direct-lending scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,alternative credit AUM,59.133,USD billions,43.716,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 78 Credit Group AUM rollforward,Measures alternative credit AUM inside Credit Group.,supports nonbank credit breadth,extracted-from-sec-10q
CF-005,Ares,Q2 2026,opportunistic credit AUM,21.385,USD billions,17.985,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 78 Credit Group AUM rollforward,Measures opportunistic credit AUM inside Credit Group.,supports nonbank credit breadth,extracted-from-sec-10q
CF-005,Ares,Q2 2026,total Q2 new par and equity commitments,22.208,USD billions,15.456,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 57 total AUM rollforward,Measures Q2 firmwide equity-style capital formation.,supports current fundraising,extracted-from-sec-10q
CF-005,Ares,Q2 2026,total Q2 new debt commitments,14.216,USD billions,10.780,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 57 total AUM rollforward,Measures Q2 firmwide debt commitment formation.,supports current fundraising,extracted-from-sec-10q
