diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFKKRGACEDCRD-001,owned_reconciliation_rows,1086,count,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-002,candidate_first_four_column_map_rows,1065,count,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-003,column_hold_rows,21,count,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-004,owned_issuer_credit_reconciliation_rows,994,count,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-005,owned_abs_reconciliation_rows,92,count,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-006,candidate_actual_cost_sum,6470295613,USD,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-007,candidate_fair_value_sum,5350633976,USD,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-008,candidate_book_adjusted_carrying_value_sum,6409765632,USD,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-009,statutory_bond_net_admitted_assets_target,7318322163,USD,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-010,candidate_book_value_variance_vs_target,-908556531,USD,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-011,candidate_book_value_coverage_of_target_pct,87.585180,percent,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-012,full_column_reconciliation_status,hold,status,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-013,full_named_cash_proof_upgrades,0,count,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
CFKKRGACEDCRD-014,next_parser,accordia-schedule-d-held-row-column-geometry,parser,controls first Accordia Schedule D column reconciliation status,Diagnostics quantify candidate column assignment and unresolved variance only; they do not prove final cash receipts or returns.,"resolve held rows and final column geometry before promoting book, consideration, gain/loss, income, or return claims."
