extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARLOWBE-001,"Lowe's Companies, Inc.",LOW,FY2025,fiscal-year sales and growth,86.3 / 3.1,USD billions / percent growth,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; analysis/company-first-principles/consumer-goods/home-improvement-stores/lowes-companies-inc/company-analysis.md,Lowe's remained a very large home-improvement spending channel.,Sales growth does not prove healthy housing demand or project-level cash quality.,source-visible-with-boundary
ARLOWBE-002,"Lowe's Companies, Inc.",LOW,FY2025,fiscal-year comparable sales,0.2,percent growth,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-profile.md,Same-store demand was positive but weak.,Low positive comps do not prove a strong consumer or large-project recovery.,source-visible-with-boundary
ARLOWBE-003,"Lowe's Companies, Inc.",LOW,FY2025,fiscal-year earnings,6.7 / -4.4,USD billions net earnings / percent decline,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md,"Profitability existed, but earnings pressure was visible.",Net earnings do not prove channel-level margin or acquisition return.,source-visible-with-boundary
ARLOWBE-004,"Lowe's Companies, Inc.",LOW,FY2025,fiscal-year diluted EPS,11.85 / -3.1,USD per share / percent decline,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md,Per-share earnings declined despite sales growth.,"EPS does not prove cash conversion, inventory quality, or service economics.",source-visible-with-boundary
ARLOWBE-005,"Lowe's Companies, Inc.",LOW,FY2025,Total Home pillars,"Pro, online, home services, loyalty, space productivity",strategy fields,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; analysis/company-first-principles/consumer-goods/home-improvement-stores/lowes-companies-inc/company-analysis.md,Management is trying to make Lowe's more than a store trip.,"Strategy language does not prove retention, service margin, or profitable online growth.",source-visible-with-boundary
ARLOWBE-006,"Lowe's Companies, Inc.",LOW,Q3 2025,Q3 sales and comparable sales,20.8 / 0.4,USD billions / percent growth,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-profile.md,Demand was positive but modest.,Quarterly growth does not prove project mix or normalized demand strength.,source-visible-with-boundary
ARLOWBE-007,"Lowe's Companies, Inc.",LOW,Q3 2025,Q3 online home-services and Pro evidence,11.4 online growth / double-digit home-services growth / Pro growth,growth markers,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; analysis/company-first-principles/consumer-goods/home-improvement-stores/lowes-companies-inc/company-analysis.md,"Growth came from workflow channels, not only DIY aisle traffic.",Channel growth does not prove channel margin or cash conversion.,source-visible-with-boundary
ARLOWBE-008,"Lowe's Companies, Inc.",LOW,Q3 2025,Q3 adjusted diluted EPS,3.06,USD per share,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md,The quarter remained earnings-positive after adjustment.,Adjusted EPS does not prove service profitability or working-capital quality.,source-visible-with-boundary
ARLOWBE-009,"Lowe's Companies, Inc.",LOW,Q4 2025,Q4 sales and comparable sales,20.6 / 1.3,USD billions / percent growth,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-profile.md,The year-end quarter was stronger than the annual comp.,Q4 comps do not prove broad housing health or project-level cash return.,source-visible-with-boundary
ARLOWBE-010,"Lowe's Companies, Inc.",LOW,Q4 2025,Q4 acquisition-cost evidence,149,USD millions pre-tax expenses associated with FBM and ADG,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-profile.md,Lowe's was broadening the Pro and building-products side of the model.,"Acquisition costs do not prove transaction value, funding source, acquired margin, or acquisition return.",source-visible-with-boundary
ARLOWBE-011,"Lowe's Companies, Inc.",LOW,Q1 2026,Q1 sales comps and online growth,23.1 / 0.6 / 15.5,USD billions / percent comp growth / percent online growth,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-profile.md,The latest local quarter supported modest demand plus digital growth.,Online growth does not prove profitable fulfillment or durable customer retention.,source-visible-with-boundary
ARLOWBE-012,"Lowe's Companies, Inc.",LOW,Q1 2026,store branch and distribution network,more than 1750 / 540 / 120,stores / branches / distribution centers,extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md; extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-profile.md,Lowe's has physical and distribution infrastructure behind its home-improvement relationship.,"Network scale does not prove branch profitability, Pro dominance, or cash quality.",source-visible-with-boundary
