section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARENRX-001,opening_frame,Commodity Whiplash Transfer; Grid's New Landlords; Outage Anxiety Economy; AI Infrastructure Toll,Energy affordability is the route that turns raw energy into usable daily life.,geology -> production -> processing/transport/refining/power -> sale/bill -> cash -> debt service/return,Exxon; Devon; Energy Transfer; ONEOK; Plains; Cheniere; PBF; Valero,production; throughput; tariffs; contracts; margins; capex; debt; OCF,"Safe claim: energy is a route problem, not just a price chart."
ARENRX-002,start_from_zero,all four old dynamics,"Energy sits inside groceries, commuting, heating, cooling, freight, manufacturing, and data centers.",daily need -> energy route -> usable fuel/power/product -> household or business cost,utilities; refiners; midstream; producers; LNG exporters; generators,fuel bills; product prices; input costs; pass-through; customer bills,Safe claim: energy affordability spreads through many non-energy bills.
ARENRX-003,energy_as_route,Commodity Whiplash Transfer,"Oil, gas, and electricity become useful only after moving through physical and commercial systems.",raw supply -> physical route -> usable energy product -> customer bill/sale -> margin/cash,Exxon; Chevron; Devon; Energy Transfer; ONEOK; Plains; Valero; Cheniere,route assets; volumes; contracts; realized prices; utilization; cash flow,Safe claim: route visibility is required before cash claims.
ARENRX-004,upstream_depletion,Commodity Whiplash Transfer,"Production naturally declines unless capital, acreage, service capacity, and execution replace depletion.",reserves/acreage -> drilling capex -> production -> realized price -> OCF -> reinvestment/return,Exxon; Chevron; Devon; Coterra; Diamondback; Matador; EQT; Suncor,reserves; decline; capex; production; LOE; hedges; FCF; debt,Safe claim: production growth needs depletion and capex checks.
ARENRX-005,service_capacity,Commodity Whiplash Transfer,Service capacity is the hidden gate between producer budgets and actual supply.,producer capex -> service order -> field execution -> invoice -> receivable collection -> service cash,SLB; Halliburton; Baker Hughes; NOV; ChampionX,rig activity; completions; pricing; utilization; receivables; margin; OCF,"Safe claim: service demand is activity evidence, not automatic cash quality."
ARENRX-006,midstream_route_control,Grid's New Landlords,"Pipelines, gathering systems, processing, storage, terminals, and docks control where molecules can go.",volume -> midstream route -> tariff/contract fee -> EBITDA/DCF -> debt service/distribution,Energy Transfer; ONEOK; Plains; Targa; Williams; Kinder Morgan; Enbridge; TC Energy,throughput; tariffs; contracts; counterparty; leverage; maintenance capex; DCF,Safe claim: route control can be durable but needs volume and contract proof.
ARENRX-007,refining_conversion,Commodity Whiplash Transfer,"Refining converts crude into usable daily fuels, but margins swing with spreads, outages, inventories, and regulation.",crude purchase -> refinery throughput -> product sale -> margin -> working capital/debt -> cash,Valero; PBF; Marathon Petroleum; Phillips 66; HF Sinclair; Suncor; Cenovus,throughput; utilization; crack spreads; product mix; inventories; turnarounds; OCF,Safe claim: refining margin must be tested through cycles and working capital.
ARENRX-008,lng_ngl_exports,Grid's New Landlords; AI Infrastructure Toll,LNG and NGLs connect local production to global demand and change regional route value.,domestic molecule -> processing/liquefaction/export -> contract/cargo/dock fee -> cash -> debt service,Cheniere; Energy Transfer; ONEOK; Targa; Williams; EQT; Kinder Morgan,SPA/IPM terms; cargoes; capacity; train costs; entity debt; DSCR; project cash,Safe claim: export optionality needs contract and waterfall proof.
ARENRX-009,commodity_whiplash,Commodity Whiplash Transfer,"Energy shocks transfer through contracts, surcharges, inventories, margins, and bills.",price shock -> pass-through or margin squeeze -> customer bill/surcharge/inventory effect -> cash impact,producers; refiners; utilities; airlines; food companies; retailers; industrials,cost pass-through; surcharge; margin bridge; inventory effect; customer price,Safe claim: energy costs move through the economy rather than disappearing.
ARENRX-010,electricity_overlap,Outage Anxiety Economy; Grid's New Landlords; AI Infrastructure Toll,"Energy affordability and power scarcity overlap through fuel, generation, wires, recovery, and customer billing.",power need -> generator/fuel/grid/utility route -> PPA/tariff/recovery -> bill -> cash,NextEra/FPL; Duke; AEP; Constellation; Vistra; NRG; Williams; Energy Transfer,fuel cost; generation mix; PPAs; capacity payments; recovery; OCF,Safe claim: power affordability depends on both electrons and fuel routes.
