claim_id,source_id,company,period,metric_name,metric_value,units,local_path,source_location,source_basis,claim_effect,next_needed,status
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,portfolio investments at fair value,29.349,B USD,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results table,SEC earnings exhibit shows portfolio investments at fair value of 29349 million as of June 30 2026.,"Shows ARCC is a large borrower-facing private-credit vehicle, but still small relative to total bank C&I loans.",Tie portfolio companies to industries and sponsor-backed borrowers.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,number of portfolio company investments,619,count,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results table,SEC earnings exhibit shows 619 portfolio company investments as of June 30 2026.,Provides borrower-level breadth proxy for private-credit substitution analysis.,Extract unique borrowers and industry mix from 10-Q schedule of investments.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,private equity sponsors represented,273,count,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results narrative,SEC earnings exhibit says 273 separate private equity sponsors were represented in the portfolio.,Shows sponsor-backed lending network breadth.,Compare sponsor-backed exposure with broader middle-market lending data.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,new investment commitments,2.592,B USD,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results narrative and 10-Q portfolio activity,SEC exhibit says approximately 2.6 billion of new investment commitments; 10-Q table shows 2592 million.,Shows current-quarter borrower-level private-credit origination.,Classify commitments by new versus existing borrower and loan type.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,funded new investment commitments,2.2,B USD,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results narrative,SEC exhibit says approximately 2.2 billion of new investment commitments were funded.,Shows funding actually reached borrowers rather than remaining only commitments.,Reconcile with principal amount of investments funded in 10-Q.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-10q,Ares Capital,Q2 2026,principal amount of investments funded,2.927,B USD,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Portfolio and Investment Activity,10-Q table shows total principal amount of investments funded of 2927 million for Q2 2026.,Shows actual funded private-credit investment flow through the BDC.,"Map funded amount by first-lien, second-lien, subordinated debt, preferred equity, and IHAM.",metric-found-local-primary-source
CF-005,arcc-2026q2-sec-10q,Ares Capital,Q2 2026,first lien senior secured funded amount,1.973,B USD,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Portfolio and Investment Activity,10-Q table shows first lien senior secured loans funded of 1973 million.,Shows borrower-facing private-credit exposure is heavily senior secured.,Compare with syndicated loan and bank middle-market categories if available.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,new commitments first lien senior secured share,68,percent,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results narrative,SEC exhibit says 68 percent of new commitments were first lien senior secured loans.,"Shows private-credit flow is largely senior secured lending, closer to bank-like credit than equity risk.",Track first-lien mix over time and compare to losses.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,new commitments floating-rate debt share,94,percent,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results narrative,SEC exhibit says 94 percent of new commitments were in floating-rate debt securities.,Shows rate exposure and spread economics in new private-credit commitments.,Track borrower stress as rates change.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,weighted average yield on new debt and income-producing securities,9.4,percent,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results narrative,SEC exhibit says weighted average yield of funded debt and income-producing securities was 9.4 percent at amortized cost.,Shows borrower cost/yield on new private-credit deployment.,Compare to bank loan yields and syndicated loan spreads.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,non-accrual loans at amortized cost,2.4,percent,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results narrative,SEC exhibit says loans on non-accrual represented 2.4 percent of total investments at amortized cost.,Adds credit-quality/disproof evidence to the private-credit growth claim.,Compare with prior quarters and other BDCs.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,non-accrual loans at fair value,1.4,percent,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,operating results narrative,SEC exhibit says loans on non-accrual represented 1.4 percent of total investments at fair value.,Shows credit issues exist but are not yet dominant by fair-value share.,Track fair-value marks of non-accrual positions.,metric-found-local-primary-source
CF-005,arcc-2026q2-sec-8k-exhibit,Ares Capital,Q2 2026,available borrowing capacity,6.7,B USD,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-q2-2026-8k-exhibit-99-1.html,liquidity and capital resources,SEC exhibit says approximately 6.7 billion available for additional borrowings under credit facilities.,Shows BDC lending capacity also depends on bank-led credit facilities.,"Analyze bank/private-credit interdependence, not only substitution.",metric-found-local-primary-source
