"availability_id","proof_id","pilot_id","company","priority1_question","ledger_source_ids","local_evidence_available","raw_artifact_status","raw_artifact_or_target","workspace_result","next_action","claim_boundary"
"CFPGA-001","CFPGU-001","CF519P2-010","ONEOK, Inc.","Can named project capex be split from aggregate growth and maintenance capex?","OKE-T16; OKE-T17; OKE-T18; OKE-T19","company packet and source ledger available","not present in this workspace raw tree","Q2 2026 10-Q plus Q2 2026 earnings presentation and tables","Source pointers exist, but raw target files are not mounted under this repo; current evidence remains aggregate capex.","Fetch or remount OKE Q2 2026 10-Q, earnings tables, and presentation, then extract project name, capex, in-service timing, and growth/maintenance split.","Do not claim ONEOK project economics until named project capex is extracted."
"CFPGA-002","CFPGU-002","CF519P2-010","ONEOK, Inc.","Can throughput be turned into a segment or project denominator?","OKE-T16; OKE-T17; OKE-T18; OKE-T19","company packet and source ledger available","not present in this workspace raw tree","Q2 2026 earnings tables, presentation, and 10-Q segment schedules","Packet records percentage changes but not the full source table in this workspace.","Fetch or remount OKE Q2 2026 materials and extract NGL raw feed, refined-products shipped, and gas processed by region/segment.","Do not treat percentage volume growth as project utilization."
"CFPGA-003","CFPGU-005","CF519P2-011","MasTec, Inc.","Can backlog be split by segment and contract/funded status?","MTZ-T16; MTZ-T17; MTZ-T18; MTZ-T20","company packet and source ledger available","relative raw paths listed but raw tree absent in this workspace","Q2 2026 results page, earnings release, presentation, and 10-Q","Packet gives total backlog and growth; segment/funded status still needs source-table extraction.","Restore or fetch MasTec Q2 2026 release, presentation, and 10-Q, then extract segment backlog, contract status, and customer concentration.","Do not claim MasTec backlog is funded or high-quality from aggregate backlog alone."
"CFPGA-004","CFPGU-006","CF519P2-011","MasTec, Inc.","Can revenue growth be paired with segment margin?","MTZ-T16; MTZ-T17; MTZ-T18","company packet and source ledger available","relative raw paths listed but raw tree absent in this workspace","Q2 2026 earnings release and presentation segment tables","Packet gives revenue and adjusted EBITDA, but not segment margin table extraction.","Restore or fetch MasTec Q2 2026 materials and extract segment revenue, segment operating income/EBITDA, margin, and backlog change.","Do not infer project returns from consolidated revenue and adjusted EBITDA."
"CFPGA-005","CFPGU-009","CF519P2-012","Plains All American Pipeline, L.P.","Can Cactus III expansion link capacity to capex and contribution?","PAA-T20; PAA-T21; PAA-T22","company packet and source ledger available","not present in this workspace raw tree","Q2 2026 results page, earnings PDF, and Q2 2026 10-Q","Packet identifies Cactus III capacity and raised growth capex, but not project economics.","Fetch or remount Plains Q2 2026 earnings PDF and 10-Q, then extract Cactus III capex, capacity, in-service timing, synergy, and contribution.","Do not claim Cactus III return or economics from capacity alone."
"CFPGA-006","CFPGU-010","CF519P2-012","Plains All American Pipeline, L.P.","Can Cactus III or crude expansion be tied to shippers or tariffs?","PAA-T11; PAA-T20; PAA-T21; PAA-T22","company packet and source ledger available","follow-up source needed","FERC/tariff material, shipper commitments, 10-K commercial sections","The existing packet does not provide shipper/tariff proof for the Cactus III expansion.","Search FERC/tariff and company commercial disclosures for shipper commitment, tariff/rate structure, duration, and reset risk.","Do not claim expansion utilization or pricing durability without contract/tariff evidence."
"CFPGA-007","CFPGU-013","CF519P2-013","Targa Resources Corp.","Can growth capital be allocated to named projects?","TRGP-T15; TRGP-T16; TRGP-T17; TRGP-T19","company packet and source ledger available","not present in this workspace raw tree","Q2 2026 earnings supplement, earnings release exhibit, and 10-Q","Packet lists projects and aggregate growth capital, but not project-level capex extraction.","Fetch or remount Targa Q2 2026 supplement, SEC exhibit, and 10-Q, then extract project name, capex, capacity, in-service date, and segment.","Do not claim Targa project returns from aggregate growth capital."
"CFPGA-008","CFPGU-014","CF519P2-013","Targa Resources Corp.","Can project starts be tied to utilization or volume denominators?","TRGP-T15; TRGP-T16; TRGP-T19","company packet and source ledger available","not present in this workspace raw tree","Q2 2026 earnings supplement volume tables and release exhibit","Packet records record volume categories, but not full volume/capacity tables.","Fetch or remount Targa Q2 2026 supplement and extract Permian inlet, NGL transport, fractionation, LPG export, capacity, and utilization by period.","Do not treat record aggregate volumes as utilization of Train 11, Delaware Express, or East Driver."
"CFPGA-009","CFPGU-017","CF519P2-014","NextEra Energy, Inc.","Can FPL capital employed be tied to approved recovery mechanisms?","NEE-T17; NEE-T18; NEE-T20 plus FPL regulatory dockets","company packet, company analysis, and source ledger available","regulatory follow-up source needed","FPL rate case filings, riders, commission orders, Q2 financial-statements supplement","Packet gives FPL capital employed and EPS; docket/rider/order proof is not yet extracted.","Search FPL docket/rider/order records and financial-statement supplement for approved capital, ROE, rider/base-rate treatment, and customer protections.","Do not claim FPL capital employed is approved recovery by project."
"CFPGA-010","CFPGU-018","CF519P2-014","NextEra Energy, Inc.","Can Energy Resources backlog be split by contract, technology, and in-service status?","NEE-T17; NEE-T18; NEE-T19; NEE-T20","company packet, company analysis, and source ledger available","not present in this workspace raw tree","Q2 2026 earnings presentation, prepared remarks, and financial statements","Packet gives GW additions and backlog scale, but not contract/in-service detail.","Fetch or remount NEE Q2 2026 presentation, remarks, and financial supplement, then extract MW/GW by technology, customer/PPA type, in-service year, and development status.","Do not treat aggregate Energy Resources backlog as project-return proof."
