parser_row_id,schedule,page,source_y,cusip_or_identifier,name_or_description_near_row,actual_cost,fair_value,book_adjusted_carrying_value,unrealized_valuation_change,current_year_depreciation_or_amortization,current_year_other_than_temporary_impairment,capitalized_deferred_interest_and_other,total_foreign_exchange_change,investment_income,commitment_for_additional_investment,percentage_of_ownership,current_status,boundary
CFAASBACP-0001,Schedule BA Part 1,5813,174.4,00264#-AA-5,AP Aristotle Holdings LLC Aristotle Junior Perpetual,"16,122,455","10,783,834","10,783,834","(5,338,621)",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0002,Schedule BA Part 1,5813,188.1,G2973#-AB-4,AP Chia Issuer LLC AP Chia PERP NC10 JR Notes,"118,042","112,655","111,779","(6,262)","9,118",,,,(24),,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0003,Schedule BA Part 1,5813,201.8,G2971@-AA-0,AP Pistachio LP Pistachio Jr Secured Perp Nts,"3,944,526","4,425,152","4,291,472",,,,,"346,946",,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0004,Schedule BA Part 1,5813,232.5,90117P-AQ-8,Avenue of the Americas Tr AOTA E,"85,081,101","77,949,983","77,949,983","(6,856,740)","129,259",,,,"3,463,856",,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0005,Schedule BA Part 1,5813,246.2,04410R-AQ-9,Ashford Hospitality Trust AHT1 2018-ASHF F,"46,997,050","46,962,386","46,962,386","(34,664)","407,905",,,,"4,052,450",,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0006,Schedule BA Part 1,5813,259.8,61764B-AU-7,Morgan Stanley Capital I Trust MSC 2014-150E G,"34,234,162","22,425,000","22,425,000",,"20,409","11,809,162",,,"595,159",,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0007,Schedule BA Part 1,5813,282.5,L0009*-AB-4,AP Dolphin (Luxembourg) S.a.r. AP Dolphin,"33,967,353","37,110,374","37,110,374","(723,954)","4,438,791",,,"3,939,010","1,393,124",,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0008,Schedule BA Part 1,5813,296.2,G2964#-AB-5,AP Grange Holdings LLC AP Grange Tranche B,"429,756,073","411,998,739","411,998,739","(17,743,830)","42,889,185",,,,"31,661,927",,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0009,Schedule BA Part 1,5813,313.1,,"AHVF II Accelerate Co-Invest, SCSp",,,"31,847,414","9,865,713",,,,,,"242,551",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0010,Schedule BA Part 1,5813,321.2,,"AHVF II Accelerate Co-Invest, SCSp Apollo Starmoon CEPF Co-Invest, L.P.",,,"5,521,486","(207,757)",,,,,,"224,639",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0011,Schedule BA Part 1,5813,338.2,,"Athene Momentum Investor, L.P.",,,933,"68,351",,,,,,"90,016",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0012,Schedule BA Part 1,5813,346.2,,"Athene Momentum Investor, L.P. Atlas Securitized Products Holdings LP",,,"87,148,294","70,629,340",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0013,Schedule BA Part 1,5813,354.3,,"Atlas Securitized Products Holdings LP BSI, LLC",,,"84,081","145,079",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0014,Schedule BA Part 1,5813,362.3,,"BSI, LLC CD&R Friends & Family Feeder Fund X L.P.","10,440,367","8,030,544","8,030,544","(445,116)",,,,,"158,047","1,412,624",9.150,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0015,Schedule BA Part 1,5813,370.4,,"CD&R Friends & Family Feeder Fund X L.P. Cibus Fund L.P,","12,994,313","13,374,158","13,374,158","172,151",,,,,,"408,353",5.870,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0016,Schedule BA Part 1,5813,378.4,,"Cibus Fund L.P, Cohesive Capital Partners Fund IV, L.P.",,,"14,067,754","1,985,891",,,,,,"27,601,652",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0017,Schedule BA Part 1,5813,386.4,,"Cohesive Capital Partners Fund IV, L.P. Cohesive Capital Partners II, L.P.",,,"9,796,442","(2,714,701)",,,,,,"1,805,375",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0018,Schedule BA Part 1,5813,394.5,,"Cohesive Capital Partners II, L.P. Cohesive Capital Partners III, L.P.",,,"26,469,983","603,222",,,,,,"3,824,845",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0019,Schedule BA Part 1,5813,402.5,,"Cohesive Capital Partners III, L.P. CSHC Co-Invest Unblocked, LLC",,,"8,345,326","298,518",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0020,Schedule BA Part 1,5813,410.6,,"CSHC Co-Invest Unblocked, LLC GNVA Debt Holdco, LLC","446,133","2,692,269","2,692,269","61,641",,,,,,,4.190,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0021,Schedule BA Part 1,5813,418.6,,"GNVA Debt Holdco, LLC Gryphon Partners IV, L.P.","7,365,233","5,615,154","5,615,154","373,110",,,,,,"910,513",0.949,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0022,Schedule BA Part 1,5813,426.6,,"Gryphon Partners IV, L.P. Haveli Investments Software Fund I, L.P.",,,"59,677,785","2,249,160",,,,,,"106,840,420",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0023,Schedule BA Part 1,5813,434.7,,"Haveli Investments Software Fund I, L.P. Haveli VC Gaming Fund I",,,"10,578,042","2,333,096",,,,,,"11,497,682",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0024,Schedule BA Part 1,5813,448.4,,"Hollyport Secondary Opportunities VI, L.P.","10,901,352","9,501,313","9,501,313","(2,877,341)",,,,,"2,687,475","4,500,000",4.100,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0025,Schedule BA Part 1,5813,463.2,,"Hunter Point Capital Investors Offshore, L.P.",,,"22,433,218","2,043,634",,,,,,"11,745,781",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0026,Schedule BA Part 1,5813,471.3,,"L Catteron VIII Offshore, L.P.","6,356,106","6,156,671","6,156,671","553,856",,,,,"(105,170)","650,771",0.250,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0027,Schedule BA Part 1,5813,479.3,,"L Catteron VIII Offshore, L.P. LBR Co-Invest",,,"1,831,833","221,864",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0028,Schedule BA Part 1,5813,493.0,,Levine Leichtman Capital Partners Europe II SCSp,,,"5,046,330","1,572,232",,,,,,"641,667",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0029,Schedule BA Part 1,5813,501.0,,"SCSp Levine Leichtman Capital Partners V, L.P.",,,"430,127","(246,690)",,,,,,"3,343,154",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0030,Schedule BA Part 1,5813,509.1,,"Levine Leichtman Capital Partners V, L.P. Levine Leichtman Capital Partners VI, L.P.",,,"24,266,175","(255,282)",,,,,,"2,817,766",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0031,Schedule BA Part 1,5813,524.0,,NB Secondary Opportunities Offshore Fund IV LP,"1,750,347","2,297,224","2,297,224","108,536",,,,,"(92,445)","671,889",0.340,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0032,Schedule BA Part 1,5813,532.0,,"New Catalyst Strategic Partners I-A, LP",,,"3,648,354","(507,190)",,,,,,"33,823,012",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0033,Schedule BA Part 1,5813,540.0,,"New Catalyst Strategic Partners I-A, LP NOVA Infrastructure Fund I, L.P.",,,"32,563,138","3,414,684",,,,,,"3,130,822",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0034,Schedule BA Part 1,5813,548.1,,"NOVA Infrastructure Fund I, L.P. NOVA Infrastructure GP I, L.P.",,,"617,368","136,615",,,,,,"3,230",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0035,Schedule BA Part 1,5814,168.6,,"NOVA Infrastructure GP II, L.P.",,,"18,463",(571),,,,,,"42,120",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0036,Schedule BA Part 1,5814,176.7,,"NOVA Infrastructure GP II, L.P. NOVA Infrastructure Holdings, LP",,,"39,858","113,047",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0037,Schedule BA Part 1,5814,190.4,,Perella Weinberg Partners ABV Opportunity Fund III LP,,,"2,119,034","(1,597,043)",,,,,,"452,958",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0038,Schedule BA Part 1,5814,198.4,,"III LP Reservoir Strategic Partners Fund, L.P.",,,"10,793,583","2,509,732",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0039,Schedule BA Part 1,5814,206.4,,"Reservoir Strategic Partners Fund, L.P. Riverside Micro-Cap Fund IV, L.P.","11,886,071","11,926,804","11,926,804","64,222",,,,,"(5,254)","1,736,613",1.540,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0040,Schedule BA Part 1,5814,214.5,,"Riverside Micro-Cap Fund IV, L.P. SCHF US, LP",,,"42,748,043","8,316,084",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0041,Schedule BA Part 1,5814,222.5,,"SCHF US, LP Sofinnova BiovelocITA II SLP",,,"418,434","(189,650)",,,,,,"8,244,692",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0042,Schedule BA Part 1,5814,230.6,,Sofinnova BiovelocITA II SLP Sofinnova Capital XI,,,"1,175,730","(629,644)",,,,,,"43,025,578",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0043,Schedule BA Part 1,5814,238.6,,Sofinnova Capital XI Sofinnova Digital Medicine I,,,"5,584,291","461,808",,,,,,"6,284,888",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0044,Schedule BA Part 1,5814,246.6,,"Sofinnova Digital Medicine I Spiritus Aggregator, LP","8,479,717","8,776,573","8,776,573","296,856",,,,,,"41,520,283",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0045,Schedule BA Part 1,5814,260.3,,Stepstone Secondary Opportunities Fund III Offshore SCSp,"7,154,456","5,243,459","5,243,459","(1,021,108)",,,,,"823,617","1,894,958",1.620,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0046,Schedule BA Part 1,5814,274.0,,Warwick European Opportunities Fund II (USD) LP,,,"2,894,559","266,391",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0047,Schedule BA Part 1,5814,287.7,,Warwick European Opportunities Fund II (USD) LP,"8,458,872","9,055,691","9,055,691","869,529",,,,,,,15.570,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0048,Schedule BA Part 1,5814,301.4,,Warwick European Opportunities Fund III (USD) Limited,"8,086,559","9,368,624","9,368,624","857,003",,,,,,"4,765,904",8.630,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0049,Schedule BA Part 1,5814,318.4,,"A-A AMAPS, L.P.",,,"167,161,611","4,656,627",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0050,Schedule BA Part 1,5814,326.4,,"A-A AMAPS, L.P. AA Concrete Investor, L.P",,,"2,947,328","234,653",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0051,Schedule BA Part 1,5814,334.5,,"AA Concrete Investor, L.P AA Direct, L.P.",,,"14,635,531","2,118,110",,,,,,"11,931,563",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0052,Schedule BA Part 1,5814,342.5,,"AA Direct, L.P. A-A Funding Holdco Offshore I, LLC",,,"119,876,331","(2,759,843)",,,,,,"89,946,870",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0053,Schedule BA Part 1,5814,350.6,,"A-A Funding Holdco Offshore I, LLC A-A Funding Holdco Offshore II, LLC",,,"119,876,331","(2,759,843)",,,,,,"89,946,870",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0054,Schedule BA Part 1,5814,358.6,,"A-A Funding Holdco Offshore II, LLC AA Net Lease, L.P.",,,"389,327,724","27,183,974",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0055,Schedule BA Part 1,5814,366.6,,"AA Net Lease, L.P. A-A Offshore Java L.P.",1,"6,230,154","6,230,154","881,392",,,,,"4,112,628",,80.538,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0056,Schedule BA Part 1,5814,374.7,,"A-A Offshore Java L.P. AA Otter Investor, LP",,,"301,841,739","41,800,715",,,,,,"12,840,094",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0057,Schedule BA Part 1,5814,382.7,,"AA Otter Investor, LP AA RRH, L.P.",,,"642,969,796","87,105,947",,,,,,"44,780,683",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
