extraction_id,proof_layer,page,field,value,units,evidence_text,proof_use,boundary,current_status,next_action
CFKKRGACE-001,asset-base,3,bonds_schedule_d_net_admitted_assets,7318322163,USD,"1. Bonds (Schedule D) ....................................................................................... ............7,318,322,163 ................................... ............7,318,322,163 ............7,716,343,604",legal-entity Schedule D bond base,not issuer-level holdings,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-002,asset-base,3,common_stocks_schedule_d_net_admitted_assets,800482505,USD,"2.2 Common stocks ....................................................................................... ...............800,482,505 ................................... ...............800,482,505 ................738,125,120",equity/common-stock asset base,not security-level stock holdings,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-003,asset-base,3,first_lien_mortgage_loans,1151480925,USD,"3.1 First liens .................................................................................................. ............1,151,480,925 ................................... ............1,151,480,925 ............1,259,381,324",mortgage-loan asset base,not borrower-level loan schedule,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-004,asset-base,3,cash_equivalents_short_term_investments,236260959,USD,"5. Cash ($ ................(11,049,981) , Schedule E - Part 1), cash equivalents",liquidity and cash-equivalent bridge,not source/use allocation,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-005,asset-base,3,schedule_ba_other_invested_assets,339923533,USD,"8. Other invested assets (Schedule BA) ............................................................................339,923,803 .............................270 ................339,923,533 ................293,234,325",Schedule BA other-invested-asset base,not GP/fund-level detail,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-006,liability-base,4,aggregate_reserve_for_life_contracts,5933274992,USD,"1. Aggregate reserve for life contracts $ ............5,933,274,992 (Exh. 5, Line 9999999) less $ ...................................",insurance liability source-pool context,not liability-cost spread,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-007,liability-base,4,deposit_type_contract_liability,258307445,USD,"3. Liability for deposit-type contracts (Exhibit 7, Line 14, Col. 1) (including $ ................................... Modco Reserve) ...... ................258,307,445 ................413,736,542",deposit-type liability source-pool context,not credited-rate or funding cost,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-008,liability-base,4,funds_held_under_coinsurance,4183653692,USD,"24.07 Funds held under coinsurance ........................................................................................................................................ ............4,183,653,692 ............4,075,549,611",coinsurance/funds-held liability route,not treaty cash availability,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-009,income,5,summary_net_investment_income,549713557,USD,"3. Net investment income (Exhibit of Net Investment Income, Line 17) ........................................................................................................549,713,557 ................608,222,318",statutory investment-income bridge,not holding-level income,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-010,income,5,summary_net_income,-86737835,USD,"35. Net income (Line 33 plus Line 34) .............................................................................................................................................................(86,737,835) ..............(162,305,624)",legal-entity earnings endpoint,not asset-level return,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-011,cash-flow,6,cash_flow_net_investment_income,546289441,USD,"2. Net investment income .............................................................................................................................................................................546,289,441 ...............598,881,128",cash-flow support for investment income,not allocated to assets,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-012,cash-flow,6,net_cash_from_operations,-251005185,USD,"11. Net cash from operations (Line 4 minus Line 10) ...................................................................................................................... (251,005,185) (54,384,955)",legal-entity operating cash-flow endpoint,not borrower cash,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-013,cash-flow,6,mortgage_loans_sold_matured_repaid,113578284,USD,"12.3 Mortgage loans ..................................................................................................................................................................................113,578,284 .................30,257,968",mortgage-loan repayment/disposition cash route,not loan-level payback,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-014,income-exhibit,15,affiliate_bond_income_collected,66926995,USD,"1.3 Bonds of affiliates ...................................................................................................................................................................... (a) ..........66,926,995 ..................66,703,377",affiliate bond-income bucket,not affiliate issuer-level income,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-015,income-exhibit,15,mortgage_loan_income_collected,57708561,USD,"3. Mortgage loans .......................................................................................................................................................................... (c) ..........57,708,561 .................59,506,256",mortgage-loan income bucket,not borrower-level receipt,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-016,income-exhibit,15,total_gross_investment_income_collected,605073293,USD,"10. Total gross investment income 605,073,293 606,583,734",gross investment-income denominator,not net spread,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
CFKKRGACE-017,income-exhibit,15,net_investment_income_exhibit,549713557,USD,"17. Net investment income (Line 10 minus Line 16) 549,713,557",income exhibit ties to summary net investment income,not holding-level attribution,summary-field-extracted,reconcile to statement totals and connect to Schedule D sample/detail rows
