determinant_id,scenario,rate_class,projected_sales_at_meter_kwh,projected_billed_kw_at_meter,total_sppcrc_cost_usd,demand_related_cost_usd,customer_related_cost_usd,reported_factor,reported_factor_unit,source_url,source_artifact,current_status,what_is_proven,what_is_not_proven,next_upgrade
FPL-D-001,2026 alternative non-settlement,RS1/RTR1,70148782113,,609445183,37304942,572140241,0.00869,$/kWh,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected residential energy denominator and total SPPCRC allocation are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-002,2026 alternative non-settlement,GS1/GST1,8456898435,,68195641,4101232,64094409,0.00806,$/kWh,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected general-service energy denominator and total SPPCRC allocation are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-003,2026 alternative non-settlement,GSD1/GSDT1/HLFT1/GSD1-EV,29307306672,76549989,120643701,12662261,107981440,1.58,$/kW,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected demand denominator and total SPPCRC allocation are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-004,2026 alternative non-settlement,OS2,14537556,,308419,2868,305552,0.02122,$/kWh,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected energy denominator and total SPPCRC allocation are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-005,2026 alternative non-settlement,GSLD1/GSLDT1/CS1/CST1/HLFT2/GSLD1-EV,10809337393,23558934,37329588,4216836,33112752,1.58,$/kW,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected demand denominator and total SPPCRC allocation are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-006,2026 alternative non-settlement,GSLD2/GSLDT2/CS2/CST2/HLFT3,3971612528,8184169,11935658,1457117,10478541,1.46,$/kW,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected demand denominator and total SPPCRC allocation are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-007,2026 alternative non-settlement,GSLD3/GSLDT3/CS3/CST3,939095087,1829714,312108,312108,0,0.17,$/kW,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected demand denominator and total SPPCRC allocation are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-008,2026 alternative non-settlement,SST1T,106315864,851845,35410,35410,0,0.02,$/kW RDC; 0.01 $/kW SDD,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected demand denominator and both demand-charge factors are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-009,2026 alternative non-settlement,SST1D1/SST1D2/SST1D3,72549,1485,21620,22,21597,0.26,$/kW RDC; 0.12 $/kW SDD,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected demand denominator and both demand-charge factors are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
FPL-D-010,2026 alternative non-settlement,CILC D/CILC G,2574501950,4925875,7225132,893488,6331645,1.47,$/kW,https://www.floridapsc.com/library/FILINGS/2025/03306-2025/03306-2025.pdf,capital-flow-fpl-sppcrc-rate-class-determinant-boundary-2026-09-16.md,public-projection-denominator-visible,Projected demand denominator and total SPPCRC allocation are filed,Not actual billed or collected cash and not Distribution Inspection-specific,actual/estimated class determinant and category receipt ledger
