docket_queue_id,company,linked_normalized_rows,jurisdiction,utility_or_project,regulatory_topic,source_entry_point,source_url,current_evidence_from_company_sources,what_to_extract,acceptance_rule,disproof_or_weakening_signal,next_artifact,status
ADDR-001,AEP,"ADNB-008; ADNB-010",Ohio,AEP Ohio,distribution base case and data-center customer treatment,PUCO AEP Ohio distribution rate case order/news page,https://puco.ohio.gov/wps/portal/gov/puco/news/aep-rate-case-2026,"AEP Q2 presentation cites AEP Ohio distribution base case order, revenue caps, rate reduction, and affordability framing.","PUCO case number; final order date; data-center customer charge/tariff language; rate reduction; distribution investment rider treatment; customer-class impacts.","Accept only if PUCO order or official PUCO case page confirms the customer/tariff and rate-treatment mechanics.","Weakens if the order limits recovery, materially lowers authorized investment, or shifts costs in a way inconsistent with AEP affordability framing.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,ready
ADDR-002,AEP,"ADNB-008; ADNB-010",Ohio,AEP Ohio,data-center tariff and large-load queue,AEP Ohio data-center tariff page,https://www.aepohio.com/company/about/rates/data-center-tariff/,"AEP source tables require large-load tariff validation before 69 GW can be treated as recoverable or customer-protected demand.","tariff structure; study tranche dates; application requirements; deposits/fees; minimum charges; in-service timeline language; queue-study process.","Accept only if tariff terms and dates are captured from AEP Ohio or PUCO source and linked to customer cost-allocation claim.","Weakens if tariff terms are unsettled, nonbinding, or do not protect existing customers from large-load cost shifts.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,ready
ADDR-003,AEP,"ADNB-007; ADNB-010",Indiana,Indiana Michigan Power,Expedited Generation Resource Plan,IURC docketed case details page,https://iurc.portal.in.gov/docketed-case-details/?id=b19a8c53-ff9a-f011-b4cc-001dd803db57,"AEP Q2 presentation cites January 2026 approval of I&M's Expedited Generation Resource Plan and I&M gas-generation additions are part of the 72B-to-78B bridge.","IURC cause/docket number; order date; approved plan scope; eligible resource criteria; accounting/ratemaking relief; project approval path; customer protections.","Accept only if IURC case page/order confirms approval and scope of generation/resource plan.","Weakens if approval is procedural only, excludes key gas projects, or conditions recovery in ways that weaken the capital-plan bridge.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,ready
ADDR-004,AEP,"ADNB-007; ADNB-010",Indiana,Indiana Michigan Power,additional generation filing under approved EGR plan,I&M official filing announcement,https://www.indianamichiganpower.com/company/news/view?releaseID=11898,"AEP source rows need project-level mapping for secured turbines and I&M gas generation.","specific resource filing; MW; fuel/technology; planned in-service date; IURC cause number; relationship to EGR plan; recovery request.","Accept only if a filing or official docket page identifies projects/MW and ratemaking request.","Weakens if projects are not yet filed, not approved, or not tied to secured turbine capacity.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,ready
ADDR-005,AEP,"ADNB-010",Oklahoma,Public Service Company of Oklahoma,PSO base case and SPP transmission cost tracking,AEP Q2 presentation source cue plus Oklahoma docket lookup needed,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,"AEP Q2 slide says PSO reached constructive settlement with select intervenors in June 2026 including full tracking of SPP transmission cost.","Oklahoma Corporation Commission docket number; settlement filing; order status; SPP transmission tracking terms; revenue requirement; customer impact.","Accept only if OCC docket or settlement/order confirms tracking and status.","Weakens if settlement is not approved or tracking is partial/conditional.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,queued-source-lookup
ADDR-006,AEP,"ADNB-007; ADNB-010",Arkansas/Louisiana/Texas,SWEPCO,new natural gas plants and flex-up option,AEP Q2 presentation source cue plus state docket lookup needed,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,"AEP Q2 slide says Arkansas approved SWEPCO natural gas plants including a flex-up option and Louisiana/Texas settlement agreements were filed in July 2026.","Arkansas order; Louisiana/Texas settlement filings; plant names; MW; flex-up terms; recovery status; in-service dates; customer impact.","Accept only if state docket/order documents the approval/settlement and project scope.","Weakens if Louisiana/Texas settlements are not approved or if flex-up option is not recoverable.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,queued-source-lookup
ADDR-007,AEP,"ADNB-010",West Virginia,Appalachian Power,West Virginia base case and MRBC tracker,AEP Q2 presentation source cue plus WV docket lookup needed,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,"AEP Q2 slide cites February 2026 reconsideration increasing authorized ROE to 9.75% and April 2026 MRBC tracker recovery.","PSC case numbers; reconsideration order; MRBC tracker order; approved ROE; recovery period; infrastructure categories.","Accept only if WV PSC orders confirm ROE and tracker recovery terms.","Weakens if recovery is narrower or temporary relative to AEP framing.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,queued-source-lookup
ADDR-008,AEP,"ADNB-010",Virginia,Appalachian Power,Virginia base rate case,AEP Q2 presentation source cue plus VA docket lookup needed,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,"AEP Q2 slide says a Virginia base rate case was filed in May 2026 with the lowest base-rate-request increase in nearly 30 years.","SCC case number; filing date; requested revenue increase; capital drivers; customer impact; order status.","Accept only if VA SCC filing/order confirms requested increase and capital/recovery basis.","Weakens if requested relief is rejected, delayed, or excludes major growth investments.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,queued-source-lookup
ADDR-009,AEP,"ADNB-009",Texas,AEP Texas,DOE loan and transmission financing treatment,AEP Q2 presentation source cue plus DOE/state lookup needed,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,"AEP Q2 slide cites an up to 3.3B USD AEP Texas DOE loan closed in July 2026 and estimated customer savings from lower financing costs.","DOE loan document; project list; PUCT treatment; transmission projects; interest savings; customer allocation; closing terms.","Accept only if DOE/AEP/PUCT source confirms loan amount, project use, and rate treatment.","Weakens if loan savings are not allocated to customers or are not tied to approved projects.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,queued-source-lookup
ADDR-010,Duke,"ADNB-012; ADNB-013; ADNB-014; ADNB-015; ADNB-020",North Carolina,Duke Energy Carolinas,rate case / MYRP / recovery mechanisms,Duke regulatory information page,https://www.duke-energy.com/investor-relations/regulatory-information,"Duke Q1 presentation cites NC rate cases progressing and recovery-mechanism framework for electric capex.","NCUC docket number such as E-7 Sub 1329 where applicable; requested revenue requirement; MYRP terms; customer impact; large-load cost protection; order status.","Accept only if NCUC docket/order confirms recovery mechanism, requested/approved rates, and customer protection details.","Weakens if rate case disallows major capex or does not support large-load/grid recovery.",capital-flow-aep-duke-regulatory-docket-extraction-pass.md,ready
