field,value,context,owner_cash_status
six_month_operating_cash_flow,"$1.595227B","H1 2026","observed"
prior_year_six_month_operating_cash_flow,"$1.040322B","H1 2025","comparison"
development_capex,"$1.477072B","H1 2026 cash basis","growth-capital burden"
enhancement_and_improvements,"$13.673M","H1 2026 cash basis","capital burden"
recurring_capex,"$136.339M","H1 2026 cash basis","definition-sensitive"
total_cash_basis_capex,"$1.627084B","H1 2026 excluding indirect costs","growth-and-maintenance-mixed"
capitalized_indirect_costs,"$157.1M","H1 2026 including $72.7M capitalized interest","capital burden"
ocf_less_cash_basis_capex,"$(31.857)M","OCF less total cash-basis capex","diagnostic only"
acquisition_asset_spend,"approximately $2.170B","H1 2026 versus $218M prior year per investing comparison","acquisition burden"
six_month_affo_per_diluted_share,"$4.39","H1 2026","non-GAAP"
prior_year_six_month_affo_per_diluted_share,"$3.45","H1 2025","comparison"
six_month_ffo_common_and_units,"$1.682303B","H1 2026","non-GAAP"
six_month_diluted_ffo_per_share_and_unit,"$4.73","H1 2026","non-GAAP"
backlog_at_digital_realty_share,"approximately $1.4B","end of Q2 2026 annualized GAAP base rent","not current cash"
q2_bookings_at_digital_realty_share,"$208M","annualized GAAP base rent","not current cash"
year_to_date_atm_net_proceeds,"approximately $2.5B","13.5M shares at $184.94 average","equity funding and dilution"
q2_atm_net_proceeds,"approximately $1.2B","6.2M shares at $191.63 average","equity funding and dilution"
consolidated_debt,"$18.768B","June 30 2026","financing claim"
pro_rata_unconsolidated_secured_debt,"approximately $2.0B","June 30 2026","JV perimeter"
preferred_distributions,"$20.362M","H1 2026","senior claim"
common_distributions_at_op_level,"$877.035M","H1 2026","common-owner distribution"
net_debt_to_adjusted_ebitda,"4.7x","June 30 2026","leverage"
development_project_fund_contribution,"$447M gross proceeds","May 2026; carrying value approximately $439M","private-capital perimeter"
normalized_owner_cash,"not calculated","requires project return, commencement, partner economics, debt, preferred claims, and dilution bridge","missing"
