chase_id,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFURIBBCA-001,abl_reset_availability,"United Rentals July 2025 ABL reset 8-K","SEC 8-K; https://www.sec.gov/Archives/edgar/data/1067701/000110465925067406/tm2520569d1_8k.htm",July 2025,"URI disclosed approximately 2.049B USD drawn and approximately 2.428B USD available for additional borrowings under the ABL Facility, net of letters of credit and subject to borrowing-base limitations.",2.428B USD disclosed availability,availability-disclosure-visible,"The ABL reset public filing gives a dated availability amount after letters of credit and borrowing-base limitations.","It does not provide the borrowing-base certificate, eligible collateral values, reserves, NOLV appraisal, or component calculation.","Closing borrowing-base certificate, availability schedule, L/C schedule, and collateral report.","Pass only if disclosed availability can be reconciled to certificate components and collateral values."
CFURIBBCA-002,closing_certificate_existence,"URI July 2025 ABL Agreement Exhibit 10.1","local SEC exhibit; raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-07-11-tm2520569d1_ex10-1.htm",May 31 2025 / July 2025 closing,"The agreement states Agent and Lenders received a Borrowing Base Certificate prepared as of May 31 2025 as a closing condition.",certificate existed,certificate-existence-visible,"A real borrowing-base certificate existed in the closing package.","The filed agreement does not include populated certificate values or the Exhibit A form table.","May 31 2025 certificate or lender closing package.","Pass only if the certificate itself or equivalent values are public and extracted."
CFURIBBCA-003,minimum_closing_availability,"URI July 2025 ABL Agreement Exhibit 10.1","local SEC exhibit; agreement condition",July 2025 closing,"The agreement required Combined Availability after giving effect to the transaction to be at least 1.000B USD.",1.000B USD minimum,threshold-visible,"The closing had a legal availability floor.","It does not disclose actual Combined Availability above the threshold or the components that produced it.","Closing certificate and availability schedule.","Pass only if actual closing Combined Availability and components are disclosed."
CFURIBBCA-004,certificate_field_map,"URI ABL Borrowing-Base Certificate Source Boundary Pass 1","local derived artifact",current source boundary,"The filed agreement defines the required certificate field families: U.S. Borrowing Base, Canadian Borrowing Base, eligible inventory, eligible rental-equipment NBV, eligible rental-equipment NOLV, reserves, outstandings, caps, Combined Borrowing Base, Combined Availability, and Suppressed Availability.",required fields mapped,field-map-visible,"We know the exact missing fields needed for certificate-grade legal availability proof.","Required fields are not the same as live values.","Actual borrowing-base certificate or collateral availability report.","Pass only if all material certificate inputs and outputs are populated for the period tested."
CFURIBBCA-005,q2_2026_liquidity_proxy,"URI Q2 2026 10-Q and earnings release","local SEC 10-Q and 8-K earnings exhibit",Q2 2026,"Public disclosures show 2.999B USD total liquidity and 112M USD cash, implying about 2.887B USD of combined ABL plus AR securitization availability inside liquidity.",2.887B USD implied combined facility availability,public-proxy-visible,"URI's Q2 liquidity was overwhelmingly facility availability rather than cash.","The implied figure does not split ABL from AR securitization availability and is not a borrowing-base value.","Facility availability schedule split between ABL and AR securitization.","Pass only if public filings split availability by facility and reconcile to legal borrowing-base constraints."
CFURIBBCA-006,abl_draw_intensity,"URI Q2 2026 10-Q debt table","local SEC 10-Q",Q2 2026,"The Q2 2026 debt table shows a 4.500B USD ABL facility and 1.666B USD ABL balance.",37.0 percent simple draw intensity,draw-intensity-visible,"The ABL was materially used and not drawn to stated maximum capacity on a simple balance/facility-size ratio.","Stated unused size is not legal availability because borrowing-base limits, reserves, L/Cs, and definitions apply.","ABL availability schedule and borrowing-base certificate.","Pass only if unused stated capacity is reconciled to actual legal availability."
CFURIBBCA-007,ar_securitization_collateral_pool,"URI Q2 2026 10-Q debt note and June 2026 receivables amendment","local SEC 10-Q and receivables purchase amendment",Q2 2026,"AR securitization borrowings were 1.414B USD and receivables in the collateral pool net of reserves and deductions were 1.779B USD.",125.8 percent collateral-pool coverage,receivables-collateral-visible,"The AR securitization has a real public collateral-pool cushion after reserves and deductions.","It does not prove ABL eligible equipment collateral, ABL borrowing base, customer cash collection, or facility availability after all constraints.","Monthly receivables report, purchaser availability schedule, and ABL certificate.","Pass only if collateral pool, advance constraints, purchaser limits, reserves, and availability are joined."
CFURIBBCA-008,equipment_collateral_proxy,"URI Q2 2026 10-Q and earnings release","local SEC 10-Q and earnings exhibit",Q2 2026,"Rental equipment net book value was 17.350B USD and OEC was 23.8B USD; ABL stated facility size was 4.500B USD.",17.350B USD rental equipment NBV; 23.8B USD OEC,equipment-base-proxy-visible,"URI has a large fleet asset base relative to stated ABL size.","OEC and rental-equipment NBV do not equal eligible collateral, NOLV, or legal borrowing-base availability.","Eligible rental-equipment NBV, NOLV appraisal, ineligible asset exclusions, and reserve schedule.","Pass only if fleet values are filtered through eligibility, appraisal, NOLV, and reserve rules."
CFURIBBCA-009,covenant_availability_threshold,"URI Q2 2026 10-Q and ABL agreement definitions","local SEC 10-Q and ABL agreement",Q2 2026,"URI disclosed covenant compliance and that specified availability exceeded the threshold that would trigger the springing fixed-charge coverage covenant.",threshold exceeded,covenant-threshold-visible,"The company was above a minimum availability stress threshold at Q2 2026.","It does not disclose the exact availability cushion or certificate values.","Covenant compliance certificate and specified availability calculation.","Pass only if specified availability is quantified and reconciled to the covenant test."
CFURIBBCA-010,public_certificate_search_result,"Targeted public search for URI borrowing-base certificate, rating reports, and SEC exhibits","public web/SEC search plus local rg-file inventory",current,"The search surfaced ABL reset availability, SEC agreement definitions, and rating commentary, but no populated public borrowing-base certificate or live collateral certificate values.",certificate not found,certificate-hold,"The public record currently supports a bounded availability/collateral proxy, not certificate-grade proof.","Search failure is not proof the certificate does not exist privately or in lender files.","Rating-agency collateral coverage detail, lender reports, future 8-K exhibits, or SEC-filed certificate forms.","Pass only if a populated certificate or equivalent component-level availability report becomes available."
CFURIBBCA-011,facility_level_availability,"URI Q2 2026 10-Q debt note","raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html",Q2 2026,"The filing reports 2.802B USD of ABL borrowing capacity net of letters of credit.",2.802B USD ABL capacity,facility-availability-visible,"This is a filed facility-level availability amount rather than an inference from total liquidity.","It does not disclose eligible collateral, NOLV, reserves, or the borrowing-base components producing capacity.","Populated borrowing-base certificate and collateral schedule.","Pass only if component values reconcile to the filed capacity."
CFURIBBCA-012,ar_facility_level_availability,"URI Q2 2026 10-Q debt note","raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html",Q2 2026,"The filing reports 85M USD of accounts receivable securitization borrowing capacity.",85M USD AR capacity,facility-availability-visible,"The AR facility share of the liquidity bridge is now directly disclosed.","It does not prove the AR purchaser formula, current receivables eligibility, or ABL collateral.","AR monthly report and purchaser availability schedule.","Pass only if AR capacity and collateral deductions are joined."
CFURIBBCA-013,facility_availability_reconciliation,"URI Q2 2026 10-Q","raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html",Q2 2026,"2.802B USD ABL capacity plus 85M USD AR capacity equals 2.887B USD, which equals 2.999B USD total liquidity less 112M USD cash.",2.887B USD reconciled availability,availability-reconciliation-visible,"The facility split and total-liquidity bridge now agree arithmetically.","Arithmetic reconciliation is not a live certificate, legal Combined Availability calculation, or source-of-funds proof.","Borrowing-base certificate, reserves, L/C schedule, and source-to-purchase ledger.","Pass only if legal availability components and funding use are disclosed."
