comparison_id,rate_class,source_original,source_corrected,period,projected_sales_kwh,original_gncp_at_meter_kw,corrected_gncp_at_meter_kw,gncp_at_meter_delta_kw,original_gncp_at_generation_kw,corrected_gncp_at_generation_kw,gncp_at_generation_delta_kw,original_gncp_pct,corrected_gncp_pct,gncp_pct_delta,original_total_sppcrc_cost_usd,corrected_total_sppcrc_cost_usd,total_cost_delta_usd,original_spp_factor,corrected_spp_factor,factor_type,factor_change,current_status,what_changed,cash_proof_boundary
CFPL45PC-001,RS1/RTR1/RS-2EV,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,72328786916,15801349,16801602,1000253,16899961,18065452,1165491,71.67850,71.93642,0.25792,784103620,786756641,2653021,0.01084,0.01088,energy,0.01084 to 0.01088,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-002,GS1/GST1,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,8577607556,1813210,1878779,65569,1949604,2020104,70500,8.08870,8.00415,-0.08455,88552992,87683409,-869583,0.01032,0.01022,energy,0.01032 to 0.01022,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-003,GSD1/GSDT1/HLFT1/GSD1-EV,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,29753417392,5217033,5410825,193792,5608899,5817246,208347,13.73130,13.43956,-0.29174,156762703,153762091,-3000612,2.76,1.98,demand,2.76 to 1.98,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-004,OS2,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,14613717,10525,15975,5450,10957,16631,5674,0.03150,0.04058,0.00908,327272,420660,93388,0.02239,0.02879,energy,0.02239 to 0.02879,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-005,GSLD1/GSLDT1/CS1/CST1/HLFT2/GSLD-1EV,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,10690787335,1636601,1779416,142815,1757145,1910480,153335,3.92970,3.99902,0.06932,45316716,46029635,712919,2.49,1.98,demand,2.49 to 1.98,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-006,GSLD2/GSLDT2/CS2/CST2/HLFT3/GSLD-2EV,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,4185394895,612420,631275,18855,649893,669902,20009,1.39150,1.34981,-0.04169,16102603,15673728,-428875,2.40,1.82,demand,2.40 to 1.82,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-007,GSLD3/GSLDT3/CS3/CST3/LLCS-1/LLCS-2,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,882755115,130529,140462,9933,133621,143789,10168,0.00000,0.00000,0.00000,346629,346630,1,0.26,0.20,demand,0.26 to 0.20,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-008,SST1T,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,192271978,55007,81964,26957,56310,83905,27595,0.00000,0.00000,0.00000,62061,62061,0,0.02 / 0.01,0.02 / 0.01,demand_and_energy,unchanged,corrected-factor-compared,Allocation inputs changed but displayed SPP factor unchanged.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-009,SST1D1/SST1D2/SST1D3,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,2896962,2174,3261,1087,2263,3395,1132,0.00580,0.00760,0.00180,60761,79274,18513,0.34 / 0.16,0.33 / 0.16,demand_and_energy,0.34 / 0.16 to 0.33 / 0.16,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
CFPL45PC-010,CILC D/CILC G,DN 02560-2026 Form 4P/5P,DN 03227-2026 corrected Form 4P/5P,Jan-Dec 2027,2392972385,323411,332022,8611,342926,352057,9131,0.75120,0.72669,-0.02451,8667752,8415570,-252182,2.37,1.83,demand,2.37 to 1.83,corrected-factor-compared,Corrected GNCP/load-factor allocation changed class cost allocation and displayed SPP factor.,Corrected factor math is projected billing-base evidence only; not actual billed revenue or collected customer cash.
