"metric_id","workbench_gate_id","source_id","company","proof_channel","form","period","metric_family","metric_label","metric_value","unit","current_status","source_anchor","what_it_says","what_it_does_not_say"
"CFPLFO-001","CFPGW-003;CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","PSC order","November 24 2025","order identity","Order PSC-2025-0439-FOF-EI","2025-0439","order number","final-factor-order-visible","Page 1 identifies Order No. PSC-2025-0439-FOF-EI, issued November 24, 2025, in Docket 20250010-EI.","The FPL factor approval source is no longer only a search route; the official order PDF is locally fetched and extracted.","It is not the later 2027 true-up order or a customer cash receipt ledger."
"CFPLFO-002","CFPGW-003;CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","PSC order","January 2026 through December 2026","order scope","storm cost recovery amounts related tariffs and factors approved","2026","year","final-factor-order-visible","Page 1 titles the order as approving storm cost recovery amounts and related tariffs and establishing storm cost recovery factors for January 2026 through December 2026.","The order approves the annual SPPCRC factor framework for the 2026 billing period.","It does not by itself prove every later billed dollar was collected."
"CFPLFO-003","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 4A","2026 projection","total cost recovery amount with true-up settlement-approved scenario","settlement-approved cost recovery amount","984.084441","USD millions","approved-scenario-cost-recovery-visible","Page 8 Issue 4A lists projected total SPPCRC jurisdictional revenue requirement including true-up amounts of $984,084,441 if the 2025 Rate Case Settlement Agreement is approved.","The order bridges the filed Form 5P factor math to an approved cost-recovery amount scenario.","The order also includes an alternate settlement-declined scenario, so this row must not be treated as the only possible factor base without rate-case disposition context."
"CFPLFO-004","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 4A","2026 projection","total cost recovery amount with true-up settlement-declined scenario","settlement-declined cost recovery amount","858.030231","USD millions","approved-scenario-cost-recovery-visible","Page 8 Issue 4A lists projected total SPPCRC jurisdictional revenue requirement including true-up amounts of $858,030,231 if the 2025 Rate Case Settlement Agreement is declined.","The final order preserves the alternate factor-base scenario tied to rate-case disposition.","It is not proof of final customer receipts or project earnings."
"CFPLFO-005","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 7A","2026 factor","rate-class factor","RS1/RTR1 factor settlement-declined table","0.00868","USD per kWh","approved-rate-class-factor-visible","Page 13 Issue 7A lists RS1/RTR1 at 0.00868 under the settlement-declined factor table.","A residential-class SPPCRC factor is visible in the final order.","It is not a bill calculation for a named customer."
"CFPLFO-006","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 7A","2026 factor","rate-class factor","GS1/GST1 factor settlement-declined table","0.00805","USD per kWh","approved-rate-class-factor-visible","Page 13 Issue 7A lists GS1/GST1 at 0.00805 under the settlement-declined factor table.","A general-service energy factor is visible in the final order.","It does not show billed kWh or realized collections."
"CFPLFO-007","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 7A","2026 factor","rate-class factor","GSD1/GSDT1/HLFT1/GSD1-EV demand factor","1.57","USD per kW","approved-rate-class-factor-visible","Page 13 Issue 7A lists GSD1/GSDT1/HLFT1/GSD1-EV at 1.57 in the demand-factor column under the settlement-declined table.","A demand-class SPPCRC factor is visible in the final order.","It does not prove a particular customer demand charge."
"CFPLFO-008","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 7A","2026 factor","rate-class factor","GSLD1/GSLDT1/CS1/CST1/HLFT2/GSLD1-EV demand factor","1.58","USD per kW","approved-rate-class-factor-visible","Page 13 Issue 7A lists GSLD1/GSLDT1/CS1/CST1/HLFT2/GSLD1-EV at 1.58 in the demand-factor column under the settlement-declined table.","A large-demand SPPCRC factor is visible in the final order.","It does not disclose customer-specific billing determinants."
"CFPLFO-009","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 7A","2026 factor","rate-class factor","GSLD2/GSLDT2/CS2/CST2/HLFT3 demand factor","1.46","USD per kW","approved-rate-class-factor-visible","Page 13 Issue 7A lists GSLD2/GSLDT2/CS2/CST2/HLFT3 at 1.46 in the demand-factor column under the settlement-declined table.","A second large-demand class factor is visible in the final order.","It does not prove realized class collections."
"CFPLFO-010","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 7A","2026 factor","rate-class factor","MET demand factor","1.89","USD per kW","approved-rate-class-factor-visible","Page 13 Issue 7A lists MET at 1.89 in the demand-factor column under the settlement-declined table.","The final order includes meter/service-class factor evidence beyond residential classes.","It does not identify customer counts or usage."
"CFPLFO-011","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 7A","2026 factor","rate-class factor","OL1/SL1/SL1M/PL1/OSI/II lighting factor","0.00278","USD per kWh","approved-rate-class-factor-visible","Page 13 Issue 7A lists OL1/SL1/SL1M/PL1/OSI/II at 0.00278 in the energy-factor column under the settlement-declined table.","Lighting-service factor evidence is visible in the final order.","It is not streetlight revenue or customer-level cash evidence."
"CFPLFO-012","CFPGW-005","fpl-2026-sppcrc-factor-order-psc-2025-0439","NextEra Energy, Inc.","regulated recovery","Issue 7A","2026 factor","rate-class factor","SL2/SL2M/GSCU1 lighting factor","0.02290","USD per kWh","approved-rate-class-factor-visible","Page 13 Issue 7A lists SL2/SL2M/GSCU1 at 0.02290 in the energy-factor column under the settlement-declined table.","Another lighting/service-class factor is visible in the final order.","It does not prove total charge revenue."
