theme_id,theme_family,plain_english_question,why_it_matters,best_current_evidence_pages,best_companies_or_cases,current_proof_level,strongest_evidence,missing_documents,next_extraction,writing_safe_claim,do_not_claim_yet,priority
CFARTOM-001,power_grid_data_center_load,"Who funds the grid, power, and data-center buildout, and who gets paid as load becomes infrastructure?","This is one of the clearest real-economy capital destinations: money has to become generation, transmission, distribution, substations, data centers, contractors, and equipment.","capital-flow-big-money-destination-lane-map-pass-1.md; capital-flow-operating-return-frontier-pass-1.md; capital-flow-aep-duke-approved-recovery-bridge-pass-1.md; capital-flow-fpl-billing-determinant-category-receipt-proof-chase-pass-1.md","FPL/NextEra; AEP; Duke; Blackstone/Brookfield infrastructure comparison route; Sterling and MasTec as contractor beneficiaries",theme_and_recovery_route_visible,"Utility dockets, recovery routes, category cost/recovery proxies, load/resource-plan evidence, and contractor backlog/cash-proxy evidence are visible.","Billing determinants, collected customer receipts, signed hyperscaler/customer contracts, project source/use, in-service status, earned-return workpapers, and project-level return model.","Build a power/grid/data-center customer-cash map joining utility recovery filings, customer/load obligations, contractor backlog, and equipment supplier beneficiaries.","Power/grid and data-center demand is visible as a capital destination, and selected utility recovery routes are document-backed.","Data-center or AI load has already produced full project cash returns, or every utility/customer/contractor dollar is proven.",1
CFARTOM-002,insurance_retirement_private_credit_engine,"How do insurance and retirement liabilities become credit assets, and what cash comes back to the legal entity?","This is the cleanest way to see big platforms below the marketing layer: statutory entities disclose assets, income, credit quality, and sometimes proceeds.","capital-flow-theme-package-with-exhibits-pass-1.md; capital-flow-insurance-legal-entity-statutory-proof-chase-pass-1.md; capital-flow-apollo-athene-statutory-source-acquisition-pass-1.md; capital-flow-kkr-global-atlantic-accordia-owned-bond-income-bridge-pass-1.md","KKR/Global Atlantic / Accordia; Apollo/Athene; Brookfield Wealth Solutions; Blackstone insurance-client channel",strong_bridge_named_cash_hold,"Accordia has a 7.318321094B USD owned-bond book, 229.507957M USD statutory interest received, same-CUSIP continuity rows, and selected disposal consideration columns.","Bank/custodian settlement, borrower use, liability-cost spread, reinsurance/funds-held waterfall, collateral, NAIC migration, and return model.","Finish Accordia disposal proof packet, then repeat the statutory Schedule D/BA income and credit-quality bridge for Apollo/Athene and other insurance entities.","Insurance statutory filings can show legal-entity assets and cash-back proxy evidence at a much higher resolution than platform AUM claims.","Policyholder dollars are directly allocated to each asset, or statutory interest/proceeds columns prove full platform profit.",2
CFARTOM-003,asset_backed_collateral_securitization,"What collateral backs the money, and does asset-level cash support the borrowing?","Collateral lanes are where annual reports can expose the legal borrowing base: fleet, receivables, inventory, ABS, and securitization wrappers.","capital-flow-big-money-destination-lane-map-pass-1.md; capital-flow-uri-borrowing-base-collateral-availability-proof-chase-pass-1.md; capital-flow-operating-return-frontier-pass-1.md","United Rentals; Accordia ABS/private-marker rows; Target; Zebra; Pool; MSC Industrial; Global Industrial",collateral_and_cash_proxy_visible,"URI has fleet, ABL, AR securitization, liquidity, rental revenue, OCF, and capex coverage evidence; insurance statutory schedules surface ABS-style assets.","Populated borrowing-base certificates, eligible collateral tapes, NOLV/reserve deductions, trustee remittance reports, receivable collections, and asset-class lifecycle ROIC.","Build the collateral proof lane: URI borrowing-base certificate chase plus receivable/inventory extraction for selected distributors and retailers.","Asset-backed and collateral channels are visible, but borrowing capacity must be separated from actual eligible collateral and cash conversion.","Reported assets or liquidity prove collateral availability, trustee cash, or asset-level return.",3
CFARTOM-004,private_credit_borrower_facility,"Which private borrowers received money, what facility carried it, and what did they do with it?","This is the direct answer to who is investing where, but it usually needs documents beyond ordinary annual reports.","capital-flow-platform-proof-chase-matrix-pass-1.md; capital-flow-ares-borrower-facility-use-cash-proof-stack-pass-1.md; capital-flow-ares-frontline-borrower-facility-use-proceeds-proof-chase-pass-1.md; capital-flow-bdc-industry-lane-evidence.md","Ares/Frontline; Auctane; Medallia; Atwell; selected BDC borrower schedules; BlackRock/HPS and Blackstone borrower candidates",named_borrower_route_visible,"Borrower and holder rows are visible across BDC/private-credit evidence, and Ares has the strongest named borrower route in the local stack.","Credit agreement, total facility size, lender allocation, closing funds-flow, borrower bank receipt, use of proceeds, collateral package, debt service, and repayment.","Pick one Ares/Frontline-style borrower and create a source request packet plus public credit-agreement/rating-report search log.","Private-credit destination evidence exists at borrower/holder level; cash receipt and use remain the decisive proof gap.","Private credit has broadly replaced banks, or holder fair value equals borrower cash received.",4
CFARTOM-005,capital_intensive_infrastructure_energy,"How does corporate cash, debt, or project finance become LNG, midstream, fleet, and construction capacity?","This lane ties financing to physical output: trains, cargoes, pipelines, terminals, fleets, backlog, and construction execution.","capital-flow-capital-intensive-project-funding-map-pass-1.md; capital-flow-capital-intensive-project-denominator-workbench-pass-1.md; capital-flow-cheniere-train-source-use-return-bridge-pass-1.md; capital-flow-energy-midstream-project-cash-contribution-proof-chase-pass-1.md","Cheniere; Energy Transfer; ONEOK; Targa; United Rentals; Sterling",project_output_and_cash_proxy_visible,"Company cash capacity, credit facilities, growth capex, output/cargo/throughput, fleet OEC, backlog, and EBITDA/DCF proxies are visible.","Project source/use, customer/offtake billing, debt waterfalls, restricted accounts, project EBITDA/DCF contribution, and IRR/NPV/payback.","Create an energy/infrastructure named-project registry for Cheniere trains and Energy Transfer/Nederland/Lone Star capacity rows.","Capital-intensive annual reports show where physical buildout is happening and which companies have cash/facility capacity around it.","Company EBITDA plus capex proves named-project cash return.",5
CFARTOM-006,regulated_recovery_customer_funding,"When utilities spend capital, how does that become customer bills, collections, and earned return?","This is the public-document route most likely to expose receipts because regulatory dockets sometimes show cost categories, factors, billing bases, and audits.","capital-flow-fpl-2026-discovery-audit-receipt-proof-route-pass-1.md; capital-flow-fpl-billing-determinant-category-receipt-proof-chase-pass-1.md; capital-flow-aep-duke-approved-recovery-bridge-pass-1.md","FPL/NextEra; AEP; Duke",regulated_recovery_proxy_visible,"FPL has a strong public docket/recovery route with category costs, factor support, aggregate SPPCRC revenue, discovery, and audit path.","Actual billed and collected receipts by category/rate class/month, category allocation workpapers, legal-entity booking, source-of-funds allocation, and earned-return support.","Run FPL billing-determinant and receipt proof chase as a standalone receipt lane.","Regulated recovery filings can bridge utility spending to authorized customer recovery mechanisms.","Aggregate clause revenue proves a named category's collected cash or earned return.",6
CFARTOM-007,streaming_resource_finance,"When a financing platform pays upfront for future commodity delivery, does the delivery and settlement cash justify the investment?","Streaming gives a cleaner two-sided transaction than many themes: payer cash out, recipient cash in, delivery obligation, and later cash-back mechanics.","capital-flow-wheaton-antamina-cash-return-proof-stack-pass-1.md; capital-flow-wheaton-antamina-debt-waterfall-return-proof-chase-pass-1.md; capital-flow-antamina-proof-package-acquisition-pass-1.md","Wheaton; BHP; Antamina",two_sided_transaction_cash_back_proxy_visible,"Wheaton/BHP Antamina shows a 4.300B USD named PMPA cash out/receipt route and delivery/cash-back mechanics.","PMPA-only settlement ledger, BHP use allocation, lender draw/use waterfall, tax/interest allocation, reserve-backed IRR/NPV/payback.","Build Antamina settlement-waterfall-return model request packet and public-source limit memo.","Streaming finance has one of the strongest named transaction bridges in the corpus.","The combined stream cash flow proves BHP PMPA-only settlement or full investment return.",7
CFARTOM-008,acquisition_finance_rollups_backlog,"Who funds acquisitions and backlog growth, and does it convert to revenue, margin, and cash?","This lane explains how platforms and operators buy capacity, customers, routes, contracts, and backlog rather than building everything organically.","capital-flow-operating-return-frontier-pass-1.md; capital-flow-capital-intensive-project-funding-map-pass-1.md; capital-flow-mai-acquisition-financing-map-pass-1.md; capital-flow-sterling-backlog-return-risk-pass-1.md","Sterling; MasTec; URI/Yak; Core Main; MAI; Frontline; Relation; Atwell",backlog_revenue_cash_proxy_visible,"Sterling and MasTec show backlog/RPO, revenue, adjusted EBITDA, operating cash, credit capacity, and acquisition/platform signals.","Deal funds-flow, purchase accounting, acquired revenue/margin, backlog aging, cancellation risk, retainage collection, project-owner funding, and post-close cash return.","Run backlog/acquisition conversion table for Sterling, MasTec, and one distributor/rollup case.","Backlog and acquisition lanes show capital being converted into operating scale, but project/deal-level return remains unresolved.","Backlog equals signed funded revenue, or acquisition consideration proves later cash return.",8
CFARTOM-009,refinancing_debt_reshaping,"When companies refinance or reshape debt, who supplies the new cash and who gets paid off?","This lane is useful because the money path is often more documentable than operating-growth cases: proceeds, redemption, trustee, paying agent, fees, and coupon relief.","capital-flow-debt-refinancing-sec-source-denominator-pass-1.md; capital-flow-debt-refinancing-use-return-frontier-pass-1.md; capital-flow-pbf-proof-package-acquisition-pass-1.md; capital-flow-matador-named-cash-proof-source-availability-pass-1.md","PBF; Matador; Devon; Liberty Broadband; Verizon",transaction_source_use_proxy_visible,"PBF and Matador show source/use/refinancing proxies and concrete document families for settlement proof.","Trustee settlement statement, paying-agent transfer, borrowing notice, accrued interest, fees, taxes, liquidity impact, after-tax NPV, and operating cash effect.","Select PBF as the refinancing proof case and chase trustee/paying-agent settlement plus value model.","Refinancing filings can get close to a clean source/use proof stack.","Debt redemption principal proves full refinancing economics or shareholder value creation.",9
CFARTOM-010,wealth_alternatives_secondaries_private_market_liquidity,"How does wealth and institutional money enter private markets, and where does liquidity come from when assets stay private longer?","This is a major annual-report theme around asset managers, but it needs named transaction proof before it becomes cash evidence.","capital-flow-big-money-destination-lane-map-pass-1.md; capital-flow-platform-proof-chase-matrix-pass-1.md; capital-flow-big-money-player-map-pass-1.md","Blackstone; KKR; Apollo; Ares; Carlyle/AlpInvest; BlackRock",platform_map_visible_hold,"The platform map and destination-lane map show wealth alternatives, secondaries, continuation vehicles, and private-market liquidity as major channels.","Investor subscriptions/redemptions, vehicle allocation, named transaction statement, seller cash receipt, fees, distributions, realization, DPI/TVPI/IRR.","Pick Carlyle/AlpInvest or a semi-liquid credit vehicle as a named liquidity case only after source availability is confirmed.","Wealth alternatives and secondaries are important capital-source channels in the platform story.","Platform fundraising or AUM proves cash reached a named borrower or seller.",10
