diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFAASCSCRPDG-001,summary_rows,10,count,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-002,detail_rows,26,count,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-003,selected_holding_rows,10,count,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-004,selected_disposal_rows,16,count,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-005,selected_disposal_consideration,2943066208.000000,USD,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-006,selected_cash_like_disposal_consideration,2930192972.000000,USD,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-007,selected_noncash_or_transfer_hold_consideration,12873236.000000,USD,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-008,selected_cash_like_share,0.995626,ratio,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-009,selected_year_end_book_value,3509210632.000000,USD,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-010,selected_consideration_to_year_end_book_ratio,0.838669,ratio,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-011,selected_safe_realized_gain_loss,-27.000000,USD,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-012,selected_disposal_interest_or_dividends_received,93704267.000000,USD,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-013,dominant_economic_class_count__market-sale-or-counterparty-cash-candidate,8,count,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-014,dominant_economic_class_count__principal-paydown-cash-candidate,1,count,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
CFAASCSCRPDG-015,dominant_economic_class_count__tax-free-exchange-hold,1,count,controls the safe cash-like same-CUSIP row proof packet,"diagnostic supports targeted row inspection, not borrower receipt, liability spread, or final return proof",inspect PDF rows and resolve borrower/use/return support for the selected same-CUSIP candidates
