row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URITRTM-001,Q2 2026 / Q1 2026 / Q2 2025 / Q4 2025,United Rentals,URI,capital-intensive real-economy buildout,transcript rate time mix commentary,Source boundary,web-verified-transcript-commentary,text,"https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-tops-q2-2026-estimates-and-lifts-outlook-93CH-4809228; https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-q1-2026-earnings-beat-expectations-93CH-4632968; https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-q2-2025-earnings-show-revenue-growth-93CH-4151233; raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/earnings-transcripts/2025-q4-fool-transcript.html","Transcript page inspection and local Q4 2025 cache","Investing transcript pages were web-accessible but shell curl returned placeholders; Q4 Motley Fool page was cached locally",source-boundary,"Transcript commentary is now source-visible, but only the Q4 2025 source is locally cached as full HTML.","This is not an official company transcript archive and not every transcript is locally cached.","Official webcast archive or licensed transcript PDF"
URITRTM-002,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,aggregate productivity commentary,Fleet productivity,3.4,percent,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-tops-q2-2026-estimates-and-lifts-outlook-93CH-4809228,Investing transcript summary and transcript lines,"Transcript page says average fleet size rose 7.1%, fleet productivity rose 3.4%, and equipment rental growth was helped by demand, disciplined pricing, and efficient fleet deployment",aggregate-productivity-commentary-visible,"Q2 2026 commentary supports positive aggregate productivity and disciplined pricing/deployment language.","It does not split the 3.4% into rate, time utilization, and mix.","Official transcript or call audio; Q&A detail"
URITRTM-003,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ancillary commentary,Ancillary and re-rent growth,28,approx percent,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-tops-q2-2026-estimates-and-lifts-outlook-93CH-4809228,Investing transcript lines 56 and 137,"Transcript page says ancillary and re-rent grew nearly 28%, roughly three times OER, adding 188M USD",transcript-driver-commentary-visible,"Q2 2026 ancillary/re-rent growth was unusually strong and helps explain the deck's 3.7-point ancillary/re-rent contribution.","It does not say ancillary growth is owned-equipment utilization or quantify rate/time/mix.","Ancillary category detail and transcript Q&A"
URITRTM-004,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,margin commentary,Core margin view excluding ancillary and re-rent,40,basis points,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-tops-q2-2026-estimates-and-lifts-outlook-93CH-4809228,Investing transcript line 139,"Management said excluding gain on sale and outsized ancillary/re-rent growth gives better insight into core cost performance; margin increased 40 bps year over year",transcript-driver-commentary-visible,"Ancillary/re-rent mix can obscure core margin performance.","It does not quantify the rate/time/mix productivity split.","Segment margin bridge and ancillary mix detail"
URITRTM-005,Q1 2026,United Rentals,URI,capital-intensive real-economy buildout,aggregate productivity commentary,Fleet productivity,2.3,percent,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-q1-2026-earnings-beat-expectations-93CH-4632968,Investing transcript lines 100-111,"Transcript says fleet productivity of 2.3% contributed to OER growth of 6.5%; OER increase was driven by 5.7% average fleet size growth and 2.3% fleet productivity, partially offset by 1.5% fleet inflation",aggregate-productivity-commentary-visible,"Q1 2026 commentary matches the deck bridge and confirms positive aggregate productivity.","It does not split rate, time utilization, and mix.","Q1 Q&A detail"
URITRTM-006,Q1 2026,United Rentals,URI,capital-intensive real-economy buildout,demand commentary,Large projects and key verticals,driver named,text,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-q1-2026-earnings-beat-expectations-93CH-4632968,Investing transcript lines 56 and 100-102,"Transcript says record rental revenue was driven by large projects and key verticals; specialty grew 14% and power posted double-digit growth",driver-visible,"Large projects and key verticals are part of the demand context behind productivity and fleet deployment.","It does not quantify fleet mix contribution.","Vertical revenue detail and project/customer mix"
URITRTM-007,Q2 2025,United Rentals,URI,capital-intensive real-economy buildout,aggregate productivity commentary,Fleet productivity,3.3,percent,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-q2-2025-earnings-show-revenue-growth-93CH-4151233,Investing transcript lines 98 and 117-118,"Transcript says Q2 2025 fleet productivity increased 3.3%; OER increased 5.4% driven by 3.6% average fleet size growth and 3.3% fleet productivity, offset by 1.5% assumed fleet inflation",aggregate-productivity-commentary-visible,"Q2 2025 commentary matches the deck bridge.","It does not split rate, time utilization, and mix.","Q2 2025 Q&A detail"
URITRTM-008,Q2 2025,United Rentals,URI,capital-intensive real-economy buildout,ancillary commentary,Ancillary and re-rent growth,10,approx percent,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-q2-2025-earnings-show-revenue-growth-93CH-4151233,Investing transcript lines 118-119,"Transcript says ancillary and re-rent grew roughly 10% year over year and added 59M USD of revenue; growth was driven largely by specialty where value-added services are central",transcript-driver-commentary-visible,"Ancillary growth is tied to specialty and customer service strategy.","It does not equal owned-equipment utilization.","Specialty ancillary category detail"
URITRTM-009,Q2 2025,United Rentals,URI,capital-intensive real-economy buildout,margin and utilization commentary,Fleet repositioning cost,15,M USD,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-q2-2025-earnings-show-revenue-growth-93CH-4151233,Investing transcript lines 149-152,"Management linked delivery/ancillary and moving fleet across the network; estimated roughly 15M USD of fleet movement supported high time utilization and efficient capital utilization",transcript-driver-commentary-visible,"Fleet movement spending was framed as supporting high time utilization and efficient capital utilization.","It does not disclose the actual utilization percentage or prove the spending return.","Actual time utilization metric and fleet movement cost trend"
URITRTM-010,Q2 2025,United Rentals,URI,capital-intensive real-economy buildout,price cost commentary,Price/rate discipline,driver named,text,https://www.investing.com/news/transcripts/earnings-call-transcript-united-rentals-q2-2025-earnings-show-revenue-growth-93CH-4151233,Investing transcript lines 149-156,"Management said price/rate and costs were in line with expectations and market discipline remained good; ancillary normalization was expected to be the biggest mover for second-half incrementals",qualitative-rate-commentary-visible,"Rate discipline was positive qualitatively in Q2 2025.","It does not quantify rate contribution inside fleet productivity.","Rate realization detail"
