acquisition_id,legal_entity,period,statement_type,source_url,local_path,source_status,file_size_bytes,pdf_probe,proof_effect,boundary,next_action
CFKKRGASA-001,Accordia Life and Annuity Company,Q2 2026,U.S. quarterly statutory statement,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2026/Accordia_2Q_2026_Quarterly_Statement_Verifications.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/statutory/2026/Accordia_2Q_2026_Quarterly_Statement_Verifications.pdf,downloaded-local-extraction-pending,1047094,pdf-header-visible; pages=52,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for Q2 2026 accordia-life-and-annuity-company.
CFKKRGASA-002,Commonwealth Annuity and Life Insurance Company,Q2 2026,U.S. quarterly statutory statement,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2026/CWA_2Q_2026_Quarterly_Statements_Verifications.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/statutory/2026/CWA_2Q_2026_Quarterly_Statements_Verifications.pdf,downloaded-local-extraction-pending,1037821,pdf-header-visible; pages=57,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for Q2 2026 commonwealth-annuity-and-life-insurance-company.
CFKKRGASA-003,First Allmerica Financial Life Insurance Company,Q2 2026,U.S. quarterly statutory statement,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2026/FAFLIC_2Q_2026_Quarterly_Statements_Verifications.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/statutory/2026/FAFLIC_2Q_2026_Quarterly_Statements_Verifications.pdf,downloaded-local-extraction-pending,1002674,pdf-header-visible; pages=55,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for Q2 2026 first-allmerica-financial-life-insurance-company.
CFKKRGASA-004,Forethought Life Insurance Company,Q2 2026,U.S. quarterly statutory statement,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2026/FLIC_2Q_2026_Quarterly_Statements_Verifications.PDF,raw/primary-sources/capital-flow/kkr/global-atlantic/statutory/2026/FLIC_2Q_2026_Quarterly_Statements_Verifications.PDF,downloaded-local-extraction-pending,1045900,pdf-header-visible; pages=58,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for Q2 2026 forethought-life-insurance-company.
CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2025/Accordia_4Q_2025_Quarterly_Statements.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/statutory/2025/Accordia_4Q_2025_Quarterly_Statements.pdf,downloaded-local-extraction-pending,8644493,pdf-header-visible; pages=464,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for Q4 2025 accordia-life-and-annuity-company.
CFKKRGASA-006,Commonwealth Annuity and Life Insurance Company,Q4 2025,U.S. annual statutory statement,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2025/CWA_4Q_2025_Quarterly_Statements_Verifications.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/statutory/2025/CWA_4Q_2025_Quarterly_Statements_Verifications.pdf,downloaded-local-extraction-pending,2657944,pdf-header-visible; pages=170,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for Q4 2025 commonwealth-annuity-and-life-insurance-company.
CFKKRGASA-007,First Allmerica Financial Life Insurance Company,Q4 2025,U.S. annual statutory statement,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2025/FAFLIC_4Q_2025_Quarterly_Statements_Verifications.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/statutory/2025/FAFLIC_4Q_2025_Quarterly_Statements_Verifications.pdf,downloaded-local-extraction-pending,2452264,pdf-header-visible; pages=163,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for Q4 2025 first-allmerica-financial-life-insurance-company.
CFKKRGASA-008,Forethought Life Insurance Company,Q4 2025,U.S. annual statutory statement,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2025/FLIC_4Q_2025_Quarterly_Statements_Verifications.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/statutory/2025/FLIC_4Q_2025_Quarterly_Statements_Verifications.pdf,downloaded-local-extraction-pending,2295673,pdf-header-visible; pages=156,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for Q4 2025 forethought-life-insurance-company.
CFKKRGASA-009,Global Atlantic Re Limited,FY 2025,Bermuda statutory financial statements,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2025/GA_Re_12.31.2025_BSTAT_Financial_Statements.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/bermuda/2025/GA_Re_12.31.2025_BSTAT_Financial_Statements.pdf,downloaded-local-extraction-pending,387259,pdf-header-visible; pages=29,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for FY 2025 global-atlantic-re-limited.
CFKKRGASA-010,Global Atlantic Assurance Limited,FY 2025,Bermuda statutory financial statements,https://www.globalatlantic.com/sites/globalatlantic/files/PDFs/Financial_Statements/FY2025/GAAL_12.31.2025_BSTAT_Financial_Statements.pdf,raw/primary-sources/capital-flow/kkr/global-atlantic/bermuda/2025/GAAL_12.31.2025_BSTAT_Financial_Statements.pdf,downloaded-local-extraction-pending,359187,pdf-header-visible; pages=22,Global Atlantic legal-entity source filing acquired locally for statutory schedule locator.,"Acquisition proves document availability, not Schedule D/BA holdings, named borrower allocation, cash receipts, liability spread, or return.",Run statutory schedule locator for FY 2025 global-atlantic-assurance-limited.
