control_row_id,schedule,page,control_code,raw_control_text,numeric_tokens,current_status,boundary
CFAASBAC-0001,Schedule BA Part 1,5813,0499999,Debt securities that do not qualify as bonds - debt securities that do not reflect a creditor relationship in substance - NAIC Designation not assigned by the,,source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0002,Schedule BA Part 1,5813,0599999,"Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by the SVO - unaffiliated 166,312,313 147,337,369 147,337,369 (6,891,404) 557,573 11,809,162 8,111,465 XXX","166,312,313; 147,337,369; 147,337,369; (6,891,404); 557,573; 11,809,162; 8,111,465",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0003,Schedule BA Part 1,5813,0699999,"Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by the SVO - affiliated 463,723,426 449,109,113 449,109,113 (18,467,784) 47,327,976 3,939,010 33,055,051 XXX","463,723,426; 449,109,113; 449,109,113; (18,467,784); 47,327,976; 3,939,010; 33,055,051",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0004,Schedule BA Part 1,5813,1899999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - preferred stocks - affiliated 37,368,900 9,657,956 467,190 XXX","37,368,900; 9,657,956; 467,190",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0005,Schedule BA Part 1,5814,1999999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - common stocks - unaffiliated 94,319,526 92,038,484 464,835,664 90,241,316 3,466,270 323,687,566 XXX","94,319,526; 92,038,484; 464,835,664; 90,241,316; 3,466,270; 323,687,566",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0006,Schedule BA Part 1,5815,2099999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - common stocks - affiliated 8,568,957,924 11,419,937,777 6,324,497,580 769,257,715 23,484,496 1,575,015,296 XXX","8,568,957,924; 11,419,937,777; 6,324,497,580; 769,257,715; 23,484,496; 1,575,015,296",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0007,Schedule BA Part 1,5815,2199999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - real estate - unaffiliated 432,994,419 (23,257,092) 88,913,621 XXX","432,994,419; (23,257,092); 88,913,621",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0008,Schedule BA Part 1,5816,2299999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - real estate - affiliated 514,017,947 460,145,846 712,672,070 (70,009,305) 9,636,787 163,483,021 XXX","514,017,947; 460,145,846; 712,672,070; (70,009,305); 9,636,787; 163,483,021",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0009,Schedule BA Part 1,5816,2499999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - mortgage loans - affiliated 321,405,174 422,760,170 422,760,170 32,305,514 36,844,133 171,543,773 XXX","321,405,174; 422,760,170; 422,760,170; 32,305,514; 36,844,133; 171,543,773",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0010,Schedule BA Part 1,5816,2599999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - other - unaffiliated 131,524,154 7,468,683 48,495,611 XXX","131,524,154; 7,468,683; 48,495,611",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
