chapter_id,section_or_company,role,hard_evidence,what_it_proves,what_it_does_not_prove,proof_grade,needed_for_upgrade,writing_use
ARDCC-001,Opening thesis,Chapter frame,"More online work commerce security AI traffic developer activity and participatory worlds create more need for permission routing execution and governance",The chapter can explain digital control as a scarce operating layer,It does not prove durable operating leverage product-level cash conversion or long-cycle retention by theme alone,synthesis-ready,Company evidence table and digital control proof ladder,Use as the plain-English chapter opening.
ARDCC-002,Digital control proof ladder,Proof discipline,"Activity visibility; control-point visibility; demand visibility; conversion visibility; durable-control proof",The chapter can separate digital activity growth from proof of economic durability,The ladder does not upgrade ARR RPO bookings or traffic into cash-conversion proof,writing-control,Cohort retention product-level margin workload profitability customer cash conversion AI traffic monetization and renewal economics,Use to keep the chapter bounded.
ARDCC-003,Cloudflare,Broad traffic-control platform,"Q2 2026 revenue grew 36 percent; current RPO grew 35 percent; performance security Zero Trust developer runtime and AI traffic governance evidence visible",Cloudflare shows a broad internet traffic checkpoint with multiple products attached to the same path,It does not prove product-level margin AI traffic monetization or durable operating leverage,traffic-control-visible-boundary,Product cohort economics gross margin by product retention AI workload revenue and FCF bridge,Use as the broad traffic-control example.
ARDCC-004,Akamai,Legacy edge transition,"Fiscal 2025 security revenue reached 2.243B USD; delivery revenue fell to 1.257B USD; Q1 2026 included a 1.8B USD seven-year CIS commitment",Akamai shows an edge network moving from delivery toward security and distributed cloud contracts,It does not prove CIS profitability security growth fully offsets delivery pressure or workload-level economics,transition-visible-boundary,CIS margin delivery runoff security retention workload profitability and renewal data,Use as the transition example.
ARDCC-005,Fastly,Programmable edge execution,"Q2 2026 revenue grew 23 percent; RPO grew 38 percent; top-ten customers were 37 percent of revenue",Fastly shows developer and enterprise demand for programmable performance security compute and observability near users,It does not prove diversified demand customer-retention durability or edge workload profitability,programmable-edge-boundary,Customer concentration trend cohort retention edge workload margin and cash conversion,Use as the focused edge and concentration-risk example.
ARDCC-006,Zscaler,Cloud access policy,"FY2026 Q3 ARR reached 3.525B USD; RPO about 6.459B USD; access policy across users devices workloads apps data and AI agents visible",Zscaler shows distributed access control becoming recurring enterprise policy infrastructure,It does not prove all RPO converts profitably or that platform bundling and acquisition complexity will preserve pricing,policy-utility-visible,ARR cohort retention billings RPO conversion product attach rates margin and FCF bridge,Use as the access-policy example.
ARDCC-007,Fortinet,Hardware-attached security enforcement,"Fiscal 2025 service revenue 4.58B USD; free cash flow 2.21B USD; deferred revenue 7.12B USD",Fortinet shows security enforcement tied to branches networks carriers OT and infrastructure environments,It does not prove hardware-attached moat durability or SASE and OT expansion economics by product,enforcement-cash-visible-boundary,Product-service cohort renewal hardware refresh SASE OT margin and deferred-revenue conversion,Use as the physical enforcement and cash-flow example.
ARDCC-008,DigitalOcean,Builder-access cloud and AI infrastructure,"Q2 2026 AI customer ARR reached 234M USD; RPO reached 894M USD",DigitalOcean shows AI and cloud infrastructure demand among developers startups SMBs and smaller builders,It does not prove AI inference margin capacity efficiency or durable larger-customer retention,builder-cloud-visible-boundary,Infrastructure utilization AI gross margin churn cohort economics capex needs and customer concentration,Use as the builder-access infrastructure example.
ARDCC-009,Roblox,Participation governance platform,"Fiscal 2025 bookings grew 55 percent to 6.8B USD; DAUs averaged 127M; developer exchange fees exceeded 1.5B USD",Roblox shows a digital world where users creators identity payments discovery safety and monetization are governed together,It does not prove safety adequacy creator economics durability operating leverage or age-policy resilience,participation-visible-boundary,Bookings cohort retention safety cost creator payout economics moderation outcomes and FCF conversion,Use as the participatory digital-world example.
ARDCC-010,Digital control conclusion,Chapter verdict,"Cross-company evidence links digital activity to traffic control edge placement access policy security enforcement builder infrastructure and participation governance",Digital control is a broad operating control point visible across annual reports,It does not prove every control point becomes durable high-margin growth,publication-ready-with-boundaries,One ARR/RPO conversion exhibit and one safety/security cost exhibit,Use as the chapter close and bridge to value retail.
ARDCC-011,Operating leverage boundary,Proof standard,"ARR RPO deferred revenue traffic bookings and AI customer ARR are strong demand signals but not automatic cash-conversion proof",The research standard can distinguish control-point demand from durable operating economics,It does not mean the digital control thesis is false; it means demand evidence and proof-grade economics are different,proof-standard-control,FCF conversion margin bridge cohort retention workload profitability and governance-cost evidence,Use as a proof box inside the chapter.
