claim_id,company,period,metric_name,metric_value,units,source_document_type,primary_source_url,evidence_direction,derived_claim,verification_status,next_needed
CF-004,Apollo,Q2 2026,AUM,1.05,T USD,issuer press release,https://ir.apollo.com/news-events/press-releases/detail/640/apollo-reports-second-quarter-2026-results,evidence-to-claim,"Apollo has trillion-dollar platform scale behind the retirement/private-credit channel.",metric-found-primary-source,"Pull Q2 2026 supplement and 10-Q for fee-generating AUM, retirement-services detail, and credit quality."
CF-004,Apollo,FY2025,originations,300,B USD,SEC 8-K exhibit,https://www.sec.gov/Archives/edgar/data/1858681/000185868126000007/erex9914q2025.htm,claim-to-evidence,"Apollo is manufacturing private credit and investment-grade assets at very large scale.",metric-found-primary-source,"Confirm exact origination composition by asset type and Athene channel."
CF-004,Apollo,FY2025,inflows,225,B USD,SEC 8-K exhibit,https://www.sec.gov/Archives/edgar/data/1858681/000185868126000007/erex9914q2025.htm,claim-to-evidence,"Apollo is gathering enough capital to feed the credit-origination engine.",metric-found-primary-source,"Split inflows by asset management, retirement services, and third-party capital."
CF-004,Apollo,FY2025,AUM,938,B USD,SEC 8-K exhibit,https://www.sec.gov/Archives/edgar/data/1858681/000185868126000007/erex9914q2025.htm,evidence-to-claim,"Apollo's AUM scale was already near one trillion before Q2 2026.",metric-found-primary-source,"Compare AUM, FGAUM, and retirement-services assets over FY2025 to Q2 2026."
CF-005,Ares,Q2 2026,AUM,671.3,B USD,issuer earnings presentation,https://ir.ares.com/media/document/222f2520-e378-4363-ab8f-b7dfe8995e3c/assets/Q2-26_Earnings_Presentation_Website_Updated.pdf?disposition=inline,evidence-to-claim,"Ares has large-scale alternatives and private-credit routing capacity.",metric-found-primary-source,"Break AUM into credit, real assets, secondaries, and private equity."
CF-005,Ares,Q2 2026,FPAUM,409.9,B USD,issuer earnings presentation,https://ir.ares.com/media/document/222f2520-e378-4363-ab8f-b7dfe8995e3c/assets/Q2-26_Earnings_Presentation_Website_Updated.pdf?disposition=inline,claim-to-evidence,"Ares's claim as a recurring-fee platform is supported by fee-paying AUM scale.",metric-found-primary-source,"Compare FPAUM growth against management-fee growth."
CF-005,Ares,Q2 2026,available capital,170.0,B USD,issuer earnings presentation,https://ir.ares.com/media/document/222f2520-e378-4363-ab8f-b7dfe8995e3c/assets/Q2-26_Earnings_Presentation_Website_Updated.pdf?disposition=inline,claim-to-evidence,"Ares has large future investment and lending capacity.",metric-found-primary-source,"Identify portion of available capital tied to direct lending and private credit."
CF-005,Ares,Q2 2026,gross fundraising,36.4,B USD,issuer earnings presentation,https://ir.ares.com/media/document/222f2520-e378-4363-ab8f-b7dfe8995e3c/assets/Q2-26_Earnings_Presentation_Website_Updated.pdf?disposition=inline,evidence-to-claim,"Investor demand for Ares-managed private assets remained strong in Q2 2026.",metric-found-primary-source,"Split fundraising by credit, real assets, secondaries, wealth, and insurance channels."
CF-005,Ares,Q2 2026,net inflows,34.4,B USD,issuer earnings presentation,https://ir.ares.com/media/document/222f2520-e378-4363-ab8f-b7dfe8995e3c/assets/Q2-26_Earnings_Presentation_Website_Updated.pdf?disposition=inline,evidence-to-claim,"Ares had strong net capital formation, not just gross commitments.",metric-found-primary-source,"Compare net inflows against redemptions and realizations."
CF-005,Ares,Q2 2026,capital deployment,35.9,B USD,issuer earnings presentation,https://ir.ares.com/media/document/222f2520-e378-4363-ab8f-b7dfe8995e3c/assets/Q2-26_Earnings_Presentation_Website_Updated.pdf?disposition=inline,evidence-to-claim,"Ares converted capital demand into actual deployment during the quarter.",metric-found-primary-source,"Map deployment by borrower type and asset class."
CF-005,Ares,Q2 2026,fee-related earnings,491.1,M USD,issuer earnings presentation,https://ir.ares.com/media/document/222f2520-e378-4363-ab8f-b7dfe8995e3c/assets/Q2-26_Earnings_Presentation_Website_Updated.pdf?disposition=inline,claim-to-evidence,"Ares's fee-paying asset base is converting into recurring earnings.",metric-found-primary-source,"Compare FRE margin and management fees by segment."
CF-005,Ares,Q2 2026,realized income,521.5,M USD,issuer earnings presentation,https://ir.ares.com/media/document/222f2520-e378-4363-ab8f-b7dfe8995e3c/assets/Q2-26_Earnings_Presentation_Website_Updated.pdf?disposition=inline,evidence-to-claim,"Ares's Q2 2026 platform scale also translated into realized earnings.",metric-found-primary-source,"Separate realized performance income from management-fee driven earnings."
