bridge_id,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFWAPRB-001,PMPA close and effective date,Wheaton/BHP Antamina closing and Q2 2026 materials,public transaction materials and local 6-K extraction,April 1 2026,BHP Antamina PMPA was effective/closed and tied to the upfront cash payment,4.300B USD upfront payment,named-use-and-effective-date-visible,Named use and post-close measurement window are visible,Does not prove delivered ounces invoices cash receipts or returns,PMPA closing settlement and post-close receipt schedule,Upgrade if settlement and receipt schedules reconcile to the PMPA effective date
CFWAPRB-002,first delivery timing,Wheaton Q1 2026 results release,public company release,Q2 2026 expectation,First deliveries under the BHP Antamina PMPA were anticipated at the end of May 2026,end of May 2026 anticipated first deliveries,delivery-timing-context-visible,Identifies when actual delivery evidence should begin,Anticipated delivery is not a delivered-ounce or cash receipt ledger,Delivered-ounce schedule and settlement support,Upgrade if actual delivered ounces and cash receipts are disclosed by period
CFWAPRB-003,Q2 production,Wheaton Q2 2026 results release,public company release,Q2 2026,Antamina produced attributable silver ounces after the BHP PMPA became effective,2.3M attributable silver ounces,post-close-production-visible,Post-close production output is visible,Production is not delivered ounces sold ounces invoiced cash or collected cash,Mine-by-mine delivered/sold ounce schedule and invoice support,Upgrade if production reconciles to delivered/sold ounces realized price and cash receipt
CFWAPRB-004,BHP PMPA production link,Wheaton Q2 2026 results release,public company release,Q2 2026,Wheaton linked the Q2 production increase primarily to the newly acquired BHP Antamina PMPA increasing its share from 33.75% to 67.5%,33.75% to 67.5% share effective April 1 2026,pmpa-production-link-visible,The BHP PMPA is connected to the production increase,Does not separate BHP PMPA ounces from legacy Glencore stream ounces,BHP PMPA-only production/delivery allocation schedule,Upgrade if PMPA-only ounces are separated from existing Antamina stream volumes
CFWAPRB-005,stream economics,Wheaton Q2 2026 financial statements and local PMPA economics pass,local 6-K extraction,H1 2026,Antamina stream revenue cost depletion profit OCF proxy and asset base are visible,277.563M USD revenue; 222.223M USD OCF proxy; 4.708329B USD assets,stream-cash-proxy-visible,Named stream economics are visible,Does not reconcile production to delivered/sold ounces invoices realized price or collected cash,Antamina receipt table and realized price bridge,Upgrade if stream revenue and cost reconcile to delivered ounces settlement price and cash received
CFWAPRB-006,cash payment formula,BHP/Wheaton Antamina PMPA materials,public transaction materials,April 2026 onward,Ongoing payments are 20% of spot/price received and payable silver uses a fixed 90% payable factor,20% ongoing payment; 90% payable factor,cash-cost-formula-visible,Formula for delivery cash cost is visible,Does not show actual per-delivery settlement or cash payment,Invoice/settlement detail and spot-price reconciliation,Upgrade if actual settlement rows apply the formula to delivered ounces and realized prices
CFWAPRB-007,debt channel,Wheaton local debt waterfall chase and public counsel note,local derived extraction and public counsel route,Q2 2026,Company-level debt draw/repayment and Bank of Montreal administrative-agent term-loan context are visible,1.500B USD term loan; 472M USD revolver debt; Bank of Montreal agent context,debt-channel-context-visible,Funding channel context is visible,Does not prove Antamina-specific lender allocation interest or debt-service payback,Term-loan agreement lender schedule borrowing notices and repayment waterfall,Upgrade if debt-service and lender records allocate financing and payback to Antamina PMPA funding
CFWAPRB-008,return proxy,Wheaton net cash-return and proof-stack passes,local derived extraction,H1 2026,Mechanical OCF/upfront-payment and profit/upfront-payment return proxies exist,10.336% annualized OCF/upfront-payment proxy; 9.675 year simple payback proxy,return-proxy-visible,Return proxy can be screened,Does not prove IRR NPV reserve-life sufficiency tax or financing-adjusted return,Reserve-backed delivery curve tax/interest allocation and PMPA valuation model,Upgrade if source-backed delivery curve and after-tax financing-adjusted IRR/NPV are available
CFWAPRB-009,receipt proof,Public/current local source search,no delivered cash receipt ledger found,current,No current source found for Antamina delivered-ounce receipt ledger invoice settlement cash or realized-price reconciliation,not found,receipt-proof-hold,Identifies the decisive cash receipt gap,Does not prove delivered ounces sold ounces invoices cash receipts or realized price,Mine-by-mine delivery table sales table invoices and cash receipt support,Upgrade only if delivered/sold ounces and cash receipts reconcile to Antamina stream revenue
CFWAPRB-010,full named return proof,Combined Wheaton Antamina local passes and public search,no complete return package found,current,No current source joins PMPA use production receipts debt service tax interest reserve life and IRR/NPV,not found,full-return-proof-hold,Identifies final proof package still missing,Does not prove full cash return lender payback after-tax return or discounted return,Delivered-ounce receipts lender waterfall tax allocation reserve report and IRR/NPV model,Upgrade only if the same named Antamina row joins source use production/delivery cash receipts payback and return math
