yield_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFURIFCYST-001,CFE2EGUQ-006,queue-decision,capital-flow-end-to-end-graph-upgrade-queue-pass-1.csv,executed-local-boundary-pass-1,current synthesis,United Rentals fleet was the sixth end-to-end graph upgrade target,priority 6,boundary-pass,"Question is whether capital invested in rental fleet can be tied to fleet-class cash yield and collateral support.","The row was only partial-local before this pass.",URI 10-K/10-Q tables investor decks ABL and AR securitization records fleet category schedules and used-equipment tables,URI is ready for fleet-cash-yield testing but not full fleet ROIC.
CFURIFCYST-002,CFE2EGUQ-006,fleet-denominator,capital-flow-uri-fleet-return-bridge-pass-1.csv,source-table-extracted,Q2 2026,OEC,23.8B USD,fleet-denominator-visible,"Capital is sitting in a large rental fleet cost base that can be tested against revenue and cash proxies.","OEC is not net invested capital eligible collateral or fleet-class capital.",Segment or asset-class OEC and average OEC schedule,URI has a public fleet-cost denominator.
CFURIFCYST-003,CFE2EGUQ-006,use-of-funds,capital-flow-uri-borrowing-base-fleet-collateral-pass-1.csv,filed-source-table,H1 2026,Payments for purchases of rental equipment,2.720B USD,cash-use-visible,"Cash moved into rental equipment purchases during H1 2026.","The payment line does not split growth from replacement or identify funding source.",Fleet capex split and cash source/use bridge,URI has direct rental-equipment cash-use evidence.
CFURIFCYST-004,CFE2EGUQ-006,use-of-funds,capital-flow-uri-borrowing-base-fleet-collateral-pass-1.csv,source-table-backed,H1 2026,Gross rental capital expenditures,2.931B USD,fleet-investment-visible,"Gross rental capex shows material capital deployment into the fleet cycle.","Gross rental capex is not pure growth capex and not fleet-class-specific.",Growth versus replacement capex and fleet category schedule,URI has material fleet-investment evidence.
CFURIFCYST-005,CFE2EGUQ-006,recycling-cash,capital-flow-uri-borrowing-base-fleet-collateral-pass-1.csv,filed-source-table,H1 2026,Proceeds from sales of rental equipment,680M USD,cash-recycling-visible,"Used-equipment sales recycle cash back from the asset base.","Sale proceeds do not prove asset-class residual value or life-cycle return.",Used-equipment sale margin recovery rate and fleet age by class,URI has visible fleet recycling cash.
CFURIFCYST-006,CFE2EGUQ-006,net-investment,capital-flow-uri-borrowing-base-fleet-collateral-pass-1.csv,derived-filed-source,H1 2026,Net cash rental-equipment investment after sale proceeds,2.040B USD,net-cash-investment-visible,"After recycling proceeds URI still made a large net cash investment in fleet.","Net investment is not a return metric and not growth-only.",Depreciation gains on sale and growth/replacement bridge,URI has a net fleet cash investment denominator.
CFURIFCYST-007,CFE2EGUQ-006,owned-rental-output,capital-flow-uri-owned-rental-segment-economics-pass-1.csv,filed-source-table,Q2 2026,Owned equipment rentals,2.991B USD,owned-output-visible,"The 10-Q separates owned-equipment rental revenue from re-rent and ancillary revenue.","Owned-equipment revenue still does not split rate time utilization and mix.",Owned-rental rate time mix and category schedule,URI has owned-rental output evidence.
CFURIFCYST-008,CFE2EGUQ-006,owned-rental-output,capital-flow-uri-owned-rental-segment-economics-pass-1.csv,proxy-derived,H1 2026,Owned equipment rentals share of equipment rentals,78.1%,owned-output-visible,"Most equipment-rental revenue is generated by owned fleet rather than re-rent.","Owned-rental share does not prove fleet-class return or utilization.",Owned-fleet OEC and utilization by category,URI's output proxy is mostly tied to owned assets.
CFURIFCYST-009,CFE2EGUQ-006,revenue-productivity,capital-flow-uri-fleet-return-bridge-pass-1.csv,proxy-derived,Q2 2026,Rental revenue divided by OEC,16.2%,fleet-output-proxy-visible,"Rental revenue is large relative to the OEC denominator in the quarter.","This is not ROIC utilization or asset-level cash yield.",TTM owned-rental revenue and average OEC by fleet class,URI has fleet revenue productivity proxy evidence.
CFURIFCYST-010,CFE2EGUQ-006,profitability-proxy,capital-flow-uri-fleet-return-bridge-pass-1.csv,proxy-derived,Q2 2026,Adjusted EBITDA divided by OEC,8.6%,company-profit-proxy-visible,"Company-level EBITDA is high relative to the fleet-cost denominator.","Adjusted EBITDA is not fleet operating profit or ROIC.",Segment EBITDA operating profit and fleet-class capital denominator,URI has company profit proxy evidence but not asset-level return.
CFURIFCYST-011,CFE2EGUQ-006,segment-margin,capital-flow-uri-owned-rental-segment-economics-pass-1.csv,filed-source-table,H1 2026,Specialty equipment-rentals gross margin versus General Rentals,43.1% versus 34.8%,segment-margin-visible,"The 10-Q exposes different segment gross-margin profiles for rental economics.","Gross margin omits SG&A interest tax depreciation and full capital denominator.",Segment operating profit EBITDA and OEC by segment,URI has segment margin evidence but not segment ROIC.
CFURIFCYST-012,CFE2EGUQ-006,segment-asset-proxy,capital-flow-uri-fleet-return-bridge-pass-1.csv,proxy-derived,H1 2026,Specialty annualized equipment-rentals gross profit / average segment assets versus General Rentals,26.4% versus 14.7%,segment-asset-productivity-proxy-visible,"Specialty produces more equipment-rentals gross profit per filed segment asset than General Rentals in the current proxy.","Segment assets are not fleet OEC and gross profit is not operating income.",Segment OEC operating profit average invested capital and category mix,URI has bounded segment asset-productivity proxy evidence.
CFURIFCYST-013,CFE2EGUQ-006,cash-coverage,capital-flow-uri-fleet-capital-durability-pass-1.csv,proxy-derived,H1 2026,Operating cash flow divided by gross rental capex,112.8%,cash-coverage-visible,"Company operating cash flow covered gross rental capex in H1 2026.","Company OCF does not prove each fleet purchase was internally funded or high-return.",Quarterly cash-flow bridge with debt draws repayments and fleet purchase classes,URI has same-period cash coverage evidence.
CFURIFCYST-014,CFE2EGUQ-006,cash-coverage,capital-flow-uri-fleet-capital-durability-pass-1.csv,proxy-derived,H1 2026,Operating cash flow divided by net fleet cash investment,162.0%,cash-coverage-visible,"Operating cash flow covered net fleet cash investment after equipment-sale proceeds.","Net fleet investment depends on sale proceeds and does not identify asset class.",Growth/replacement split sale proceeds bridge and asset-class recovery,URI has stronger cash coverage after recycling proceeds.
CFURIFCYST-015,CFE2EGUQ-006,collateral-support,capital-flow-uri-borrowing-base-fleet-collateral-pass-1.csv,filed-term-summary,Q2 2026,AR collateral-pool coverage of AR securitization borrowings,125.8%,collateral-support-visible,"URI's funding stack has visible receivables collateral support alongside fleet investment.","AR collateral coverage is not ABL borrowing-base proof legal availability or fleet collateral value.",Borrowing-base certificate reserves advance rates eligible collateral and availability schedule,URI has collateral support but not legal borrowing-base proof.
