funding_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,period,metric,value,unit,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
STRLFC-001,SATX-005; FTH-004,Sterling Infrastructure,STRL,Capital-intensive buildout,L/C capacity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,2026-07-02,new L/C sublimit,600.0,M USD,Agreement definition and Section 2.3,agreement-term-visible,"The new facility has 600.0M USD of L/C capacity, showing the revolver is also a guarantee-support tool for execution risk.","This is capacity, not actual outstanding L/C usage.","Find post-closing L/C outstanding disclosure or compliance certificate."
STRLFC-002,CIFCTS-019; SATX-005,Sterling Infrastructure,STRL,Capital-intensive buildout,L/C capacity,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,old L/C sublimit,75.0,M USD,Q2 debt note,filed-term-summary,"Before the July 2026 reset, the old revolver had a 75.0M USD L/C limit.","This does not disclose actual L/C usage.","Compare old and new L/C usage if future disclosures provide it."
STRLFC-003,STRLFC-001; STRLFC-002,Sterling Infrastructure,STRL,Capital-intensive buildout,L/C capacity,derived from agreement and Q2 10-Q,derived metric,2026-07-02,L/C sublimit increase,8.0,x,600.0M USD divided by 75.0M USD,derived-capacity-change,"The L/C sublimit increased 8.0x, which fits a larger backlog/acquisition execution platform.","This still does not prove demand for the full L/C capacity.","Pull actual outstanding L/C amounts after closing."
STRLFC-004,SATX-003; CIFCTS-019,Sterling Infrastructure,STRL,Capital-intensive buildout,Revolver capacity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm; raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,agreement plus 10-Q,2026-07-02,revolver capacity increase,10.0,x,1.500B USD new revolver divided by 150.0M USD old revolver,derived-capacity-change,"The revolver expanded 10.0x, showing a much larger liquidity wrapper after CEC and Stone Ridge.","Headline capacity is not the same as availability after covenants, usage, and collateral terms.","Pull availability and draw history."
STRLFC-005,SATX-005; SATX-006,Sterling Infrastructure,STRL,Capital-intensive buildout,L/C and swing-line mix,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,2026-07-02,L/C sublimit share of revolver,40.0,percent,600.0M USD divided by 1.500B USD,derived-agreement-mix,"L/C capacity equals 40.0% of the revolver, which is high enough to matter to a project-execution model.","It does not show that the full 40.0% will be used.","Measure L/C usage as a share of revolver usage."
STRLFC-006,SATX-006,Sterling Infrastructure,STRL,Capital-intensive buildout,Short-term liquidity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,2026-07-02,swing-line sublimit,50.0,M USD,Agreement definition and Section 2.4,agreement-term-visible,"The 50.0M USD swing-line supports very short-term liquidity needs inside the broader revolver.","This does not show actual swing-line usage.","Pull borrowing notices or revolver usage tables."
STRLFC-007,FTH-004; STRLCF-022,Sterling Infrastructure,STRL,Capital-intensive buildout,L/C usage boundary,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm; raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,Q2 2026 10-Q and agreement,2026-06-30 to 2026-07-02,actual L/C outstanding amount,not disclosed,status,Source review of Q2 10-Q and agreement,missing-usage-disclosure,"The sources disclose L/C capacity and fees on outstanding instruments, but not a clear actual post-reset L/C outstanding amount.","Without actual L/C usage, we cannot prove how much backlog is being guaranteed through bank L/Cs.","Pull next 10-Q debt note, liquidity table, or compliance certificate."
STRLFC-008,FTH-004; STRLCF-022,Sterling Infrastructure,STRL,Capital-intensive buildout,Bonding exposure,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,FY2025 10-K,FY2025,bid bond range,5-10,percent of bid amount,Insurance and bonding disclosure,filed-operating-risk-visible,"Transportation bidders generally must post bid bonds of 5% to 10% of the bid amount.","This is a general operating requirement, not a contract-by-contract exposure schedule.","Pull bonded backlog amount and surety capacity if disclosed."
STRLFC-009,FTH-004; STRLCF-022,Sterling Infrastructure,STRL,Capital-intensive buildout,Bonding exposure,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,FY2025 10-K,FY2025,performance and payment bond potential,100.0,percent of construction cost,Insurance and bonding disclosure,filed-operating-risk-visible,"After award, some contracts may require performance and payment bonds for up to 100% of the costs to construct.","This does not say all backlog is bonded or that surety risk equals expected loss.","Pull contract mix and bonded backlog."
STRLFC-010,FTH-004; STRLCF-022,Sterling Infrastructure,STRL,Capital-intensive buildout,Surety collateral,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,surety security interest,accounts receivable and contract rights,status,Guarantees note,filed-operating-risk-visible,"Travelers bonding arrangements are supported by indemnity and a security interest in accounts receivable and contract rights.","This is not bank debt collateral valuation or a surety exposure amount.","Pull surety agreement and bonded contract schedule if available."
STRLFC-011,FTH-004; STRLCF-008,Sterling Infrastructure,STRL,Capital-intensive buildout,Cancellation boundary,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,RPO cancellation/modification language,customer compensation through termination,status,Revenue note,filed-risk-boundary,"RPO projects may be canceled or modified, but customers are obligated to compensate Sterling for work performed through termination and applicable contractual costs.","This does not eliminate cancellation risk or prove margin on terminated work.","Track cancellations, claims, and conversion history."
STRLFC-012,STRLCF-008,Sterling Infrastructure,STRL,Capital-intensive buildout,RPO conversion,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,RPO expected within 12 months,74.0,percent,RPO disclosure,filed-conversion-timing,"About 74% of Q2 2026 RPOs were expected to convert to revenue during the next 12 months.","Revenue conversion timing is not cash collection or margin proof.","Compare next four quarters of revenue, cash, and backlog burn."
STRLFC-013,STRLCF-012; STRLCF-013,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog quality,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,unsigned awards share of combined backlog,22.9,percent,(5.620B USD minus 4.3336B USD) divided by 5.620B USD,derived-risk-boundary,"About 22.9% of combined backlog was unsigned awards, so the combined backlog headline mixes contract-grade and non-contract-grade visibility.","This does not say the unsigned awards are bad; it says they need conversion proof.","Track unsigned-award conversion into signed contracts."
STRLFC-014,SATX-013; STRLCF-018,Sterling Infrastructure,STRL,Capital-intensive buildout,Covenant cushion,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm; raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-ex99-earnings-release.html,Q2 2026 10-Q and release,2026-06-30,Q2 total debt to FY2026 adjusted EBITDA guide midpoint,0.32,x,285.305M USD total debt divided by 903.5M USD FY2026 adjusted EBITDA guide midpoint,derived-directional-cushion,"Q2 total debt was only about 0.32x the FY2026 adjusted EBITDA guide midpoint, directionally far below the 3.50x leverage covenant ceiling.","This is not the formal Total Net Leverage Ratio because covenant EBITDA, cash netting, post-closing borrowings, and compliance-certificate adjustments are not available.","Pull compliance certificate Schedule I."
STRLFC-015,SATX-013; SATX-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Covenant capacity,derived from agreement and FY2026 guide,derived metric,2026-06-30,standard leverage ceiling implied debt using guide EBITDA,3162.25,M USD,3.50x multiplied by 903.5M USD FY2026 adjusted EBITDA guide midpoint,derived-directional-cushion,"Using guide midpoint as a rough denominator, the 3.50x ceiling implies 3.162B USD of debt capacity before covenant adjustments.","This is not legal availability and ignores cash netting, exclusions, definitions, and actual EBITDA.","Use formal covenant EBITDA and funded debt."
STRLFC-016,SATX-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Acquisition covenant capacity,derived from agreement and FY2026 guide,derived metric,2026-06-30,acquisition holiday leverage ceiling implied debt using guide EBITDA,3614.0,M USD,4.00x multiplied by 903.5M USD FY2026 adjusted EBITDA guide midpoint,derived-directional-cushion,"The acquisition holiday framework is directionally consistent with room for material acquisitions if EBITDA and leverage remain strong.","This does not prove any acquisition can be funded or will pass pro forma tests.","Pull acquisition financing and pro forma covenant calculations."
STRLFC-017,SATX-016; STRLCF-018,Sterling Infrastructure,STRL,Capital-intensive buildout,Cash netting,derived from Q2 2026 10-Q and agreement,derived metric,2026-06-30,cash netting cap using guide EBITDA,451.75,M USD,50% of 903.5M USD FY2026 adjusted EBITDA guide midpoint,derived-directional-cushion,"The agreement allows cash netting only up to 50% of EBITDA; using guide midpoint, the cap would be about 451.75M USD versus 464.451M USD of Q2 cash.","This is an approximation and not the formal covenant calculation.","Use actual four-quarter covenant EBITDA."
