claim_id,source_id,reporting_entity,period,metric_category,metric_name,value,unit,source_url,local_path,source_location,what_it_proves,what_it_does_not_prove,status
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,balance sheet,total investments at fair value,29349,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,consolidated balance sheets page 3,"ARCC reported 29.349B USD of total investments at fair value at June 30 2026.","This is ARCC balance-sheet scale, not borrower-specific facility size.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,balance sheet,total assets,30498,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,consolidated balance sheets page 3,"ARCC reported 30.498B USD of total assets at June 30 2026.","This does not identify ultimate shareholders or debt investors.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,balance sheet,debt carrying value,15773,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,consolidated balance sheets page 3,"ARCC reported 15.773B USD of debt carrying value at June 30 2026.","This is balance-sheet leverage and not direct borrower-level lender allocation.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,balance sheet,total liabilities,16607,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,consolidated balance sheets page 3,"ARCC reported 16.607B USD of total liabilities at June 30 2026.","This does not map liabilities to individual borrower loans.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,balance sheet,total stockholders equity,13891,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,consolidated balance sheets page 3,"ARCC reported 13.891B USD of stockholders' equity at June 30 2026.","This identifies public-BDC equity capital but not individual shareholder composition.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,balance sheet,net asset value per share,19.35,USD per share,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,consolidated balance sheets page 3,"ARCC reported 19.35 USD net asset value per share at June 30 2026.","This is a public-BDC valuation metric, not source-of-funds allocation.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,capital structure,senior securities principal outstanding,15924,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,debt note page 184,"ARCC reported 15.924B USD aggregate principal amount of senior securities outstanding at June 30 2026.","This is total ARCC senior securities, not the amount funding any single borrower.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,capital structure,asset coverage ratio,186,percent,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,debt note page 184,"ARCC reported 186% asset coverage at June 30 2026.","Asset coverage shows regulatory leverage cushion, not ultimate capital source.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,debt stack,total aggregate committed or outstanding debt instruments,22666,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,debt table page 184,"ARCC's debt table reported 22.666B USD of aggregate committed or outstanding debt instruments.","This combines facility commitments and notes outstanding and should not be treated as debt outstanding.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,debt stack,total principal amount outstanding,15924,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,debt table page 184,"ARCC's debt table reported 15.924B USD of principal amount outstanding.","This does not identify which debt instrument funds which portfolio company.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,debt stack,total carrying value of debt,15773,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,debt table page 184,"ARCC's debt table reconciled to 15.773B USD carrying value of debt.","This is not a borrower-specific allocation.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,debt instrument,revolving credit facility principal outstanding,1566,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,debt table page 184,"ARCC reported 1.566B USD outstanding under its revolving credit facility.","This facility supports ARCC liquidity generally and does not map to a specific borrower row.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,debt instrument,revolving funding facility principal outstanding,1086,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,debt table page 184,"ARCC reported 1.086B USD outstanding under its revolving funding facility.","This is vehicle-level financing, not borrower-level lender identity.",extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,Q2 2026,debt instrument,SMBC funding facility principal outstanding,728,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,debt table page 184,"ARCC reported 728M USD outstanding under the SMBC funding facility.","This does not prove SMBC funded any named portfolio-company loan.",extracted
