bridge_id,layer,metric,period,value,unit,evidence_page,evidence_status,what_it_says,what_it_does_not_say,next_source
"CFSBRR-001","credit wrapper","Revolving commitments","July 2026","1.500","B USD","capital-flow-sterling-agreement-term-extraction-pass-1.md","filed-credit-agreement","Sterling has a broad corporate revolver sized for refinancing, working capital, acquisitions, capex, letters of credit, and general corporate purposes.","This is not project-level debt and does not identify which backlog projects used the revolver.","Post-close revolver utilization and borrowing-base or covenant compliance certificate."
"CFSBRR-002","credit wrapper","L/C sublimit","July 2026","600.000","M USD","capital-flow-sterling-agreement-term-extraction-pass-1.md","filed-credit-agreement","The July 2026 credit wrapper includes large letter-of-credit capacity that fits construction/project guarantee needs.","It does not disclose actual outstanding L/C usage or beneficiaries.","Quarterly L/C outstanding table or bank-agreement schedule."
"CFSBRR-003","credit wrapper","L/C sublimit share of revolver","July 2026","40.0","percent","capital-flow-sterling-lc-surety-usage-boundary-pass-1.md","derived-from-filed-agreement","The guarantee wrapper is material relative to total revolver capacity.","It does not prove bonded backlog or project-owner credit quality.","L/C and surety outstanding by project or segment."
"CFSBRR-004","credit wrapper","L/C capacity increase from old agreement to new agreement","July 2026","8.0","x","capital-flow-sterling-lc-surety-usage-boundary-pass-1.md","derived-from-filed-agreement","The new credit platform greatly expands standby credit capacity versus the prior 75M USD L/C limit.","It does not show whether the expanded capacity was needed immediately or kept as reserve.","Pre/post L/C usage and unused availability disclosure."
"CFSBRR-005","contract timing","Q2 net contract-liability timing","Q2 2026","646.306","M USD","capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md","company-filing-extraction","Customer/project timing is visibly important to Sterling's working-capital model.","It does not prove project margin or full cash collection.","Contract asset/liability roll-forward and aging."
"CFSBRR-006","backlog scale","RPO","Q2 2026","4.233618","B USD","capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md","company-filing-extraction","Sterling has large contracted performance obligations visible in filings.","RPO is not full backlog quality, margin, or certainty of collection.","RPO by segment, margin band, cancellation terms, and burn schedule."
"CFSBRR-007","backlog scale","RPO growth from Q3 2024 to Q2 2026","Q3 2024 to Q2 2026","106.0","percent","capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md","derived-from-company-filings","RPO more than doubled over the observed period.","Growth does not distinguish organic quality from acquisition contribution or unsigned awards.","Organic/acquired backlog roll-forward by quarter."
"CFSBRR-008","backlog timing","RPO expected within 12 months","Q2 2026","74.0","percent","capital-flow-sterling-funded-backlog-covenant-cushion-pass-1.md","company-filing-extraction","Most visible RPO is near-term enough to test against revenue and cash conversion.","It does not prove profitability or lack of execution strain.","Quarterly backlog burn to revenue and gross margin."
"CFSBRR-009","backlog scale","Signed backlog","Q2 2026","4.3336","B USD","capital-flow-sterling-backlog-customer-funding-pass-1.md","company-release-extraction","Signed backlog is large and bigger than RPO alone.","Signed backlog can still include cancellation, margin, retainage, timing, or execution risk.","Backlog terms and cancellation/termination disclosure."
"CFSBRR-010","backlog risk","Unsigned awards","Q2 2026","1.280","B USD","capital-flow-sterling-backlog-customer-funding-pass-1.md","company-release-extraction","Unsigned awards add substantial visibility beyond signed backlog.","Unsigned awards are not signed backlog and should not be treated as equivalent risk.","Award conversion history and contract execution dates."
