theme_id,theme,core_bottleneck,plain_question,money_path,example_companies,evidence_strength,main_subthemes,proof_gap,safe_use
ARWET-001,Power scarcity,electricity capacity and grid reliability,Can growth happen if power cannot reach the load?,customer demand -> capital plan -> generation/transmission/distribution work -> regulated recovery or contracted revenue -> operating cash,NextEra/FPL; Duke; AEP; MasTec; Sterling,high but bounded,data-center demand; grid modernization; regulated recovery; contractor capacity; customer-cash boundary,"billing determinants, customer receipts, project-level returns, and financing source/use by project","Use as power-as-growth-constraint evidence, not final customer-cash proof."
ARWET-002,Capital platforms,routes from savings and insurance liabilities into assets,Who gathers the money and where does it legally go?,"investor or policyholder capital -> fund/account/insurer/BDC/CLO -> borrower/asset/project/security -> fees, interest, spread, repayment, sale proceeds",BlackRock; Blackstone; Apollo/Athene; KKR/Global Atlantic; Brookfield,high but bounded,private credit; insurance balance sheets; fee-bearing AUM; spread income; legal-entity proof gap,"receipts, legal-entity schedules, debt waterfalls, collateral files, borrower source/use, and return models","Use as capital-routing evidence, not proof that every platform dollar reached a named borrower."
ARWET-003,Industrial uptime,"equipment, parts, and support needed to keep physical work running",Who gets paid when downtime is too costly?,"customer operating need -> rental/parts/service/distribution supplier -> fleet, branch, inventory, technician, or onsite system -> customer uptime -> revenue and cash collection",United Rentals; Fastenal; WESCO; Grainger; Applied Industrial,medium,rental over ownership; MRO distribution; branch density; vendor-managed inventory; cash-conversion risk,"inventory turns, receivable collection, customer retention, branch economics, and product/category margins",Use as physical-uptime theme evidence; expand distributors before making sector-wide claims.
ARWET-004,Healthcare access,organized access to care under reimbursement and labor pressure,Who controls the route from patient need to paid care?,"patient need -> payer/PBM/provider/care-site operator -> authorized service, prescription, dialysis, home visit, or infusion -> premium or reimbursement -> operating cash",UnitedHealth; Cigna; DaVita; Addus; Option Care,high first-pass,payer routing; chronic care; alternate-site care; labor constraint; reimbursement boundary,"service-line cash collection, reimbursement durability, labor cost, patient outcome, and quality evidence","Use as healthcare-access system evidence, not patient-outcome or care-quality proof."
ARWET-005,Built-environment upkeep,"repair and replacement needs in homes, buildings, and civic infrastructure",Who gets paid because the physical world wears out?,owner/contractor/builder/municipality need -> retailer/distributor/manufacturer/branch channel -> product or service input -> upkeep or project completion -> margin and cash,Home Depot; Lowe’s; Core & Main; Builders FirstSource; Sherwin-Williams,high first-pass,repair and maintenance; Pro channel; water infrastructure; surface renewal; working-capital proof,"ticket/transaction split, Pro/DIY mix, inventory, receivables, branch economics, municipal funding, and free cash flow",Use as upkeep-economy evidence while preserving company-specific cash-quality gaps.
ARWET-006,Digital control,"security, routing, identity, access, and governance for online systems",Who gets paid because digital activity must be controlled?,"digital activity -> need for speed/security/policy/governance -> control-layer provider -> subscription, usage, hardware/software, or platform fee -> revenue, billings, RPO, FCF",Cloudflare; Akamai; Zscaler; Fortinet; Roblox,high first-pass,access policy; edge routing; security enforcement; platform governance; operating leverage boundary,"gross retention, net retention, usage margin, contract durability, safety cost, and free-cash-flow conversion","Use as digital-control evidence, not proof every platform has durable operating leverage."
ARWET-007,Value retail,household affordability and shopping-trip trust,Where does money go when households need their paychecks to stretch?,"household pressure -> shopping-trip choice -> retailer format/membership/private label/off-price/essential basket -> traffic, basket, margin, membership or ad revenue -> cash",Costco; Walmart; Target; Dollar General; Burlington,high first-pass,membership value; trade-down; off-price discovery; essentials vs discretionary; inventory quality,"traffic/ticket split, shrink, inventory markdowns, fulfillment costs, membership renewal, and operating-cash-flow quality",Use as pressured-consumer evidence while separating each retailer format.
ARWET-008,Services and cultural consumption,"time, experience, convenience, status, and routine",What do people keep paying for beyond physical goods?,"consumer desire -> hotel/platform/restaurant/venue/casino/loyalty system -> stay, meal, trip, entertainment, or service occasion -> take rate, room revenue, franchise fee, food margin, or gaming revenue",Marriott; Booking; McDonald’s; Starbucks; MGM,candidate-level,experience spending; habit loops; loyalty systems; platform take rates; discretionary fragility,"company extractions, traffic, occupancy, RevPAR, same-store sales, loyalty economics, and margin/cash conversion",Use as a writing candidate until company extraction is completed.
ARWET-009,Consumer goods and household identity,"trusted routines, brands, taste, family identity, and self-presentation",Why do small repeat purchases carry pricing power?,"household routine or identity need -> brand manufacturer -> retailer/distributor/direct route -> product purchase -> price/mix, volume, margin, repeat purchase, and cash",P&G; Colgate; Estee Lauder; Coca-Cola; Hasbro,candidate-level,trusted routine; brand price power; beauty/status; child/family culture; volume boundary,"company extractions, price/volume split, organic volume, gross margin, promotion, retailer power, and cash conversion",Use as a brand-and-routine candidate; do not infer durable volume until extracted.
ARWET-010,Basic materials and input scarcity,"physical inputs needed for construction, electrification, agriculture, and industry",What happens when growth needs scarce inputs?,"end-market demand -> mine/mill/plant/quarry/fertilizer producer -> physical input sold -> realized price, shipment volume, margin, and cash",Freeport-McMoRan; Nucor; Steel Dynamics; Vulcan; CF Industries,medium,copper constraint; steel cycle; aggregates scarcity; fertilizer/food; commodity boundary,"non-STLD extractions, shipment/mix, realized price, cost curve, end-market linkage, and through-cycle cash",Use as physical-input evidence while separating commodity price from durable cash quality.
ARWET-011,Real estate and scarce locations,sites that cannot easily be replicated,Where does location become a control point?,"tenant/user demand -> tower/warehouse/data-center/medical/retail/housing site -> lease, rent, occupancy, renewal, escalation, or service payment -> property cash flow",American Tower; Prologis; Equinix; Welltower; Realty Income,candidate-level,network sites; logistics location; care location; triple-net durability; rate boundary,"company extractions, occupancy, rent growth, renewals, tenant health, debt cost, cap rates, and AFFO quality",Use as a location-scarcity candidate until property-level evidence is extracted.
