handoff_id,item,status,evidence_artifact,what_it_proves,what_it_does_not_prove,next_action,priority,owner_state,publication_state
ARIFH-001,Broad project goal,done,annual-report-broad-theme-end-to-end-goal-pass-1.md,"Defines the project as social cultural industrial financial and investment synthesis with cash proof as one verification layer.","Does not complete all sector proof.",Use as project charter,low,complete,internal-ready
ARIFH-002,Undercovered industry work order,done,annual-report-undercovered-industry-deep-dive-work-order-pass-1.md,"Ranks the biggest remaining industry gaps and defines execution questions.","Does not complete the theme writeups.",Keep as audit trail,low,complete,internal-ready
ARIFH-003,Undercovered industry synthesis,done,annual-report-undercovered-industry-theme-synthesis-pass-1.md,"Adds services consumer goods materials real estate broad tech healthcare infrastructure energy and ordinary finance themes.","Does not attach public citations or named-cash proof.",Use as expansion support,low,complete,internal-ready
ARIFH-004,Final integrated theme map,done,annual-report-final-integrated-theme-map-pass-1.md,"Combines 7 core themes and 8 expansion themes into one 15-theme article map.","Does not prove every company has deep analysis.",Use as article structure,low,complete,internal-ready
ARIFH-005,Integrated final publication draft,done-for-internal-review,annual-report-integrated-final-publication-draft-pass-1.md,"Provides the current reader-facing article using the full 15-theme map and final reader-edit additions.","Does not make the article externally citation-complete.",Public citation attachment,high,ready,internal-ready-public-not-ready
ARIFH-006,Citation and overclaim gate,done,annual-report-integrated-draft-citation-overclaim-gate-pass-1.md,"Reviews every section for citation need and overclaim risk.","Does not attach citations.",Use as editorial gate,high,ready,internal-ready
ARIFH-007,15-theme public citation queue,done,annual-report-integrated-15-theme-public-citation-queue-pass-1.md,"Defines the public source packet needed for opening map 15 themes and proof boundary.","Does not fetch or attach citations.",Execute citation attachment,high,ready,public-blocker
ARIFH-008,Source-note appendix,done-with-refresh-gaps,annual-report-integrated-article-source-note-appendix-pass-1.md,"Maps themes to usable local anchors and citation refresh gaps.","Does not verify every old source pointer.",Refresh broad-sector source paths,high,ready,public-blocker
ARIFH-009,Public citations attached,section-anchor-done,annual-report-integrated-priority1-citation-attachment-pass-1.md; annual-report-integrated-priority2-citation-attachment-pass-1.md; annual-report-integrated-priority3-citation-attachment-pass-1.md,"Representative source anchors are attached for all 15 article themes plus the proof rule.","Sentence-level metric citations and final citation formatting are not done.",Format citations and verify named metrics,high,open,public-hardening
ARIFH-010,External-publication readiness,release-candidate-link-clean,annual-report-integrated-release-link-check-pass-1.md,"Current gates show section-anchor citation coverage internal reader readiness sentence-level metric-risk audit release-candidate formatting and 58 of 58 URLs opening.","External publication still needs venue-specific citation style and final link recheck immediately before release.",Adapt citation style and recheck links before release,high,ready,release-candidate-link-clean
ARIFH-011,Named-cash proof appendix,optional-future-work,cash-realization proof artifacts,"Hard proof lanes exist for exact money-movement claims.","Not required for every broad synthesis claim.",Run only for selected exact claims,medium,optional,appendix-only
ARIFH-012,Final stop condition,clear,this handoff checklist,"Further broad theme expansion is optional; the next real work is citation hardening source refresh public formatting or proof appendix.","Does not mean public release is complete.",Choose citation attachment or optional named-cash appendix,next,ready,internal-ready
