review_id,screen_tier,cusip_or_identifier,part3_page,part1_pages,part2_pages,part3_name,part1_book_value_sum,part3_book_value,part3_book_minus_part1_book,disposal_consideration,total_gain_loss_on_disposal,part2_acquisition_cost_sum,part2_additional_investment_sum,part1_source_terms,part2_source_terms,part3_source_terms,part3_nature_signal,part3_acquired_date_signal,part3_disposal_date_signal,part2_cost_to_part3_book_ratio,part2_population_screen,continuity_status,review_boundary
CFAASBALRQ-001,exact-within-$1,309601-AE-2,5831,5817,5826,Farmers Insurance Exchange Subordinated CA......... Los Angeles,"$4,000,000","$4,000,000",$0,"$4,000,000",$0,$0,"$4,000,000","Farmers Insurance Exchange Subordinated 4.747% 11/01/57 ..................................... .......... Los Angeles ........................ ......... CA......... ................................................. ....... 2.A ........ ....10/10/2017 ... ....... ....... ....... 4,000,000 ........3,398,578 ....... 4,000,000 ................... ................. ................. ................. ................. ........141,883 ................. ......0.000","Farmers Insurance Exchange Subordinated 4.747% 11/01/57 ................................... Los Angeles ...................................... ......... CA......... ................................................................................................. ....10/10/2017 ... ....... ....... .............................. ..................4,000,000 .............................. .................0.000","Farmers Insurance Exchange Subordinated 4.747% 11/01/57 ................................... Los Angeles ....................... ......... CA......... Sale ............................................ . 10/10/2017 ... 09/30/2025 .......4,000,000 ................ ................ ................ ................ ................ ................ ........4,000,000 ........4,000,000 ................ ................ ................ ................",Sale,10/10/2017,09/30/2025,,no-Part2-cost,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-002,exact-within-$1,05565A-DW-0,5832,5819,5827,BNP Paribas SA Junior Subordinated .........FRA........ Perpet.,"$4,499,375","$4,499,375",$0,"$4,499,375",$0,"$8,998,750",$0,"BNP Paribas SA Junior Subordinated 5.125% Perpet. ................................................ .......... ...................................... .........FRA........ ................................................. ....... 2.C ........ ....01/01/2025 ... ....... ....... ........4,499,375 ........4,917,093 ........4,499,375 ................... ................. ................. ................. ................. ........128,125 ................. ......0.000","BNP Paribas SA Junior Subordinated 5.125% Perpet. ........................................... .................................................... .........FRA........ Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... .................. 8,998,750 .............................. .............................. .................0.000","BNP Paribas SA Junior Subordinated 5.125% Perpet. .............................................. ..................................... .........FRA........ ................................................. . 01/01/2025 ... 02/28/2025 ................... ................ ................ ................ ................ ................ ................ ........ 4,499,375 ........ 4,499,375 ................ ................ ................ .......128,125",blank-or-not-visible-in-compact-row,01/01/2025,02/28/2025,2.000,Part2-cost-materially-exceeds-Part3-book-review-multi-row-or-multi-lot,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-003,exact-within-$1,539439-BF-5,5833,5819,5828,Lloyds Banking Group PLC Junior Subordinated .........GBR........ Perpet.,"$800,000","$800,000",$0,"$793,592","$-6,408","$1,600,000",$0,"Lloyds Banking Group PLC Junior Subordinated 6.625% Perpet. ....................................... .......... ...................................... .........GBR........ Lloyds Bank Corporate Markets ............ ....... 2.C ........ ....10/27/2025 ... ....... ....... ..........800,000 ..........801,508 ..........800,000 ................... ................. ................. ................. ................. .......... 6,404 ................. ......0.000 ................ Lloyds Banking Group PLC Junior Subordinated 7.500% Perpet. ....................................... .......... ...................................... .........GBR........ Morgan Stanley & Co. International ..... ....... 2.C ........ ....10/08/2025 ... ....... ....... ......18,686,076 ...... 18,981,457 ...... 18,981,457 ..........185,078 ................. ................. ................. ........110,303 ........302,149 ................. ......0.000 E07.6","Lloyds Banking Group PLC Junior Subordinated 6.625% Perpet. .............................. .................................................... .........GBR........ Lloyds Bank Corporate Markets ............................................................ ....10/27/2025 ... ....... ....... ..................1,600,000 .............................. .............................. .................0.000 ....................... Lloyds Banking Group PLC Junior Subordinated 7.500% Perpet. .............................. .................................................... .........GBR........ Morgan Stanley ............................................................................... ....10/08/2025 ... ....... ....... .................18,686,076 .............................. .............................. .................0.000","Lloyds Banking Group PLC Junior Subordinated 6.625% Perpet. ..................................... ..................................... .........GBR........ Sale ............................................ . 10/27/2025 ... 12/01/2025 ................... ................ ................ ................ ................ ................ ................ ...........800,000 ...........793,592 ................ ........(6,408) ........(6,408) ..........6,404",Sale,10/27/2025,12/01/2025,2.000,Part2-cost-materially-exceeds-Part3-book-review-multi-row-or-multi-lot,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-004,exact-within-$1,639057-AT-5,5833,5820,5828,NatWest Group PLC Junior Subordinated .........GBR........ Perpet.,"$6,245,304","$6,245,304",$0,"$6,245,304",$0,"$12,490,608",$0,"NatWest Group PLC Junior Subordinated 7.300% Perpet. ................................................ .......... ...................................... .........GBR........ Barclays ....................................... ....... 2.C ........ ....10/08/2025 ... ....... ....... ........6,245,304 ........6,283,190 ........6,245,304 ................... ................. ................. ................. ................. .........49,218 ................. ......0.000","NatWest Group PLC Junior Subordinated 7.300% Perpet. ....................................... .................................................... .........GBR........ Barclays ....................................................................................... ....10/08/2025 ... ....... ....... .................12,490,608 .............................. .............................. .................0.000","NatWest Group PLC Junior Subordinated 7.300% Perpet. ..................................... ..................................... .........GBR........ ................................................. . 10/08/2025 ... 12/01/2025 ................... ................ ................ ................ ................ ................ ................ ........ 6,245,304 ........ 6,245,304 ................ ................ ................ ........ 49,218",blank-or-not-visible-in-compact-row,10/08/2025,12/01/2025,2.000,Part2-cost-materially-exceeds-Part3-book-review-multi-row-or-multi-lot,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-005,near-within-$1M,401378-AB-0,5831,5817,5826,Guardian Life Insurance Co of Subordinated NY......... New York,"$9,937,749","$9,937,809",$60,"$9,937,809",$0,$0,"$9,937,809","Guardian Life Insurance Co of Subordinated 4.875% 06/19/64 ..................................... .......... New York ............................ ......... NY......... ................................................. ....... 1.D ........ ....01/26/2017 ... ....... ....... ........9,939,699 ........8,474,927 ........9,937,749 ................... ........(16,737)................. ................. ................. ........396,825 ................. ......0.000","Guardian Life Insurance Co of Subordinated 4.875% 06/19/64 ............................... New York .......................................... ......... NY......... ................................................................................................. ....01/26/2017 ... ....... ....... .............................. .................. 9,937,809 .............................. .................0.000","Guardian Life Insurance Co of Subordinated 4.875% 06/19/64 .................................... New York ........................... ......... NY......... Sale ............................................ . 01/26/2017 ... 10/27/2025 .......9,937,809 ................ .......(16,737) ................ ................ .......(16,737) ................ ........ 9,937,809 ........ 9,937,809 ................ ................ ................ ................",Sale,01/26/2017,10/27/2025,,no-Part2-cost,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-006,near-within-$1M,89116C-4H-7,5834,5820,5828,Toronto-Dominion Bank/The TORONTO-DOMINION .........CAN........ BANK,"$35,027,139","$35,026,679",$-460,"$35,026,679",$0,"$70,053,818",$0,"Toronto-Dominion Bank/The TORONTO-DOMINION BANK 6.35% 31 6.350% 10/31/85 ................. .......... ...................................... .........CAN......... TD Securities (USA) LLC ................... ....... 2.B ........ ....09/12/2025 ... ....... ....... ...... 35,026,569 ...... 35,522,386 ...... 35,027,139 ................... .............285 ................. ................. ................. ........302,509 ................. ......0.000","Toronto-Dominion Bank/The TORONTO-DOMINION BANK 6.35% 31 6.350% 10/31/85 ............. .................................................... .........CAN......... TD Securities (USA) LLC ................................................................... ....09/12/2025 ... ....... ....... .................70,053,818 .............................. .............................. .................0.000","Toronto-Dominion Bank/The TORONTO-DOMINION BANK 6.35% 31 6.350% 10/31/85 ............... ..................................... .........CAN........ ................................................. . 09/12/2025 ... 09/30/2025 ................... ................ ............285 ................ ................ ............285 ................ .......35,026,679 .......35,026,679 ................ ................ ................ .......302,509",blank-or-not-visible-in-compact-row,09/12/2025,09/30/2025,2.000,Part2-cost-materially-exceeds-Part3-book-review-multi-row-or-multi-lot,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-007,near-within-$1M,401378-AA-2,5831,5817,5826,Guardian Life Insurance Co of Subordinated NY......... New York,"$3,852,349","$3,857,948","$5,599","$3,857,948",$0,$0,"$3,857,948","Guardian Life Insurance Co of Subordinated 7.375% 09/30/39 ..................................... .......... New York ............................ ......... NY......... Direct ......................................... ....... 1.D ........ ....03/07/2018 ... ....... ....... ........4,170,245 ........3,471,949 ........3,852,349 ................... ........(34,185)................. ................. ................. ........192,180 ................. ......0.000","Guardian Life Insurance Co of Subordinated 7.375% 09/30/39 ............................... New York .......................................... ......... NY......... Direct ......................................................................................... ....03/07/2018 ... ....... ....... .............................. .................. 3,857,948 .............................. .................0.000","Guardian Life Insurance Co of Subordinated 7.375% 09/30/39 .................................... New York ........................... ......... NY......... Sale ............................................ . 03/07/2018 ... 11/19/2025 .......3,857,948 ................ .......(34,234)................ ................ .......(34,234)................ ........ 3,857,948 ........ 3,857,948 ................ ................ ................ ................",Sale,03/07/2018,11/19/2025,,no-Part2-cost,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-008,near-within-$1M,018820-AE-0,5832,5818,5827,Allianz SE .........DEU........ Allianz SE Unsecured Perpet.,"$45,009,348","$45,025,653","$16,305","$45,025,653",$0,"$90,035,001",$0,,"Allianz SE Unsecured 6.550% Perpet. ............................................................ .................................................... .........DEU......... Citigroup ...................................................................................... ....08/19/2025 ... ....... ....... .................90,035,001 .............................. .............................. .................0.000 ....................... ASR Nederland NV Junior Subordinated 6.500% Perpet. ........................................ .................................................... .........NLD......... Bank of America .............................................................................. ....10/17/2025 ... ....... ....... .................12,433,087 .............................. .............................. .................0.000 ....................... ASR Nederland NV Subordinated 4.625% Perpet. ................................................. .................................................... .........NLD......... Goldman Sachs ................................................................................ ....10/08/2025 ... ....... ....... .................. 9,762,142 .............................. .............................. .................0.000","Allianz SE Unsecured 6.550% Perpet. ....... ..................................... .........DEU........ ................................................. . 08/19/2025 ... 10/21/2025 ................... ................ ........ (5,227) ................ ................ ........ (5,227) ................ .......45,025,653 .......45,025,653 ................ ................ ................ .......511,626 ................... ASR Nederland NV Junior Subordinated 6.500% Perpet. .............................................. ..................................... .........NLD........ ................................................. . 10/17/2025 ... 10/31/2025 ................... ................ ............(12) ................ ................ ............(12) ................ ............12,110 ............12,110 ................ ................ ................ .......149,609",blank-or-not-visible-in-compact-row,08/19/2025,10/21/2025,2.000,Part2-cost-materially-exceeds-Part3-book-review-multi-row-or-multi-lot,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-009,near-within-$1M,05254H-AA-2,5832,5818,5827,Australia & New Zealand Bankin Junior .........AUS........ Subordinated Perpet.,"$12,564,401","$12,835,599","$271,198","$12,835,599",$0,"$25,400,000",$0,"Australia & New Zealand Bankin Junior Subordinated 6.750% Perpet. ................... .......... ...................................... .........AUS......... ................................................. ....... 2.B ........ ....01/01/2025 ... ....... ....... ......12,700,000 ...... 12,628,464 ...... 12,564,401 ................... ........(79,031)................. ................. ................. ........417,371 ................. ......0.000","Australia & New Zealand Bankin Junior Subordinated 6.750% Perpet. ...................... .................................................... .........AUS......... Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... .................25,400,000 .............................. .............................. .................0.000 ....................... Aviva PLC Junior Subordinated 6.875% Perpet. ................................................. .................................................... .........GBR........ Various ........................................................................................ ....01/01/2025 ... ....... ....... .................11,664,023 .................66,649,488 .............................. .................0.000 ....................... Aviva PLC Junior Subordinated 7.750% Perpet. ................................................. .................................................... .........GBR........ Morgan Stanley ............................................................................... ....10/08/2025 ... ....... ....... .................. 6,249,115 .............................. .............................. .................0.000 ....................... AXA SA AXA SA 6.375% Perpet. ..................................................................... .","Australia & New Zealand Bankin Junior Subordinated 6.750% Perpet. .................. ..................................... .........AUS........ ................................................. . 01/01/2025 ... 02/28/2025 ................... ................ .......(80,737) ................ ................ .......(80,737) ................ .......12,835,599 .......12,835,599 ................ ................ ................ .......417,371 ................... Aviva PLC Junior Subordinated 6.875% Perpet. .............................................. ..................................... .........GBR........ ................................................. . 01/01/2025 ... 02/28/2025 ................... ................ ................ ................ ................ ................ ................ ........ 5,832,011 ........ 5,832,011 .......151,075 ................ .......151,075 .... 3,872,069 ................... AXA SA AXA SA 6.375% Perpet. ................ ..................................... .........FRA........ ................................................. . 04/07/2025 ... 05/31/2025 ................... ................ ............(20) ................ ................ ............(20) ................ ............33,889 ............33,889 ........ 87,274 ................ ........ 87,274 .... 2,508,187 ................... Banco de Sabadell SA Junior Subordinat",blank-or-not-visible-in-compact-row,01/01/2025,02/28/2025,1.979,Part2-cost-materially-exceeds-Part3-book-review-multi-row-or-multi-lot,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
CFAASBALRQ-010,near-within-$1M,37187A-AL-8,5834,5821,5829,Genesis Financial Gnfl GNFL F DE......... Wilmington,"$1,484,423","$1,032,840","$-451,583","$1,032,840",$0,$0,$302,,Genesis Financial Gnfl 20 GNFL 2020 F 18.960% 01/1 5/31 ..................................... Wilmington ....................................... ......... DE......... ................................................................................................. ....06/13/2023 ... ....... ....... .............................. ..........................302 .............................. .................0.000,"Genesis Financial Gnfl 20 GNFL 2020 F 18.960% 01/15/31 .................................. Wilmington ......................... ......... DE......... Sale ............................................ . 06/13/2023 ... 12/31/2025 .......1,033,239 ...........(399).......(11,588) ................ ................ .......(11,987) ................ ........ 1,032,840 ........ 1,032,840 ................ ................ ................ .......279,698",Sale,06/13/2023,12/31/2025,,no-Part2-cost,same-cusip-part1-and-part2-and-part3-visible,"Prioritized same-identifier book-value screen only; verify page row, dates, disposal nature, lot terms, and settlement before treating as an economic-lot or cash-flow bridge."
