schema_id,input_family,model_field,current_status,current_observation,unit_or_denominator,model_use,exact_upgrade_document,source_artifact,proof_grade
RET-INPUT-001,reported-denominator,net_sales,observed,Net sales are reported for the common-period retail matrix,USD millions,Revenue denominator for cash intensity and per-share screens,Next TJX Target and Walmart comparable filing,analysis/company-first-principles/combined-investment-research-pilot-02-retail-common-period-cash-matrix.md,observed
RET-INPUT-002,reported-denominator,operating_cash_flow,observed,Operating cash flow is reported for each selected company-period,USD millions,Starting cash-flow numerator before normalization,Next comparable quarterly or annual filing,analysis/company-first-principles/combined-investment-research-pilot-02-retail-owner-cash-bridge.md,observed
RET-INPUT-003,reported-denominator,total_property_spending,observed,Property spending is reported for each selected company-period,USD millions,First cash-after-property screen,Next filing with period-matched capex detail,analysis/company-first-principles/combined-investment-research-pilot-02-retail-common-period-cash-matrix.md,observed
RET-INPUT-004,working-capital,inventory_change,observed,Inventory changes are available for the common-period cohort screen,USD millions,Normalize inventory timing and seasonal working capital,Subsequent filings with comparable inventory and cash-flow detail,analysis/company-first-principles/combined-investment-research-pilot-02-retail-margin-working-capital-normalization.md,observed
RET-INPUT-005,working-capital,accounts_payable_change,observed,Accounts payable changes are available for the common-period cohort screen,USD millions,Normalize vendor-term contribution to operating cash,Subsequent filings and vendor-income notes,analysis/company-first-principles/combined-investment-research-pilot-02-retail-margin-working-capital-normalization.md,observed
RET-INPUT-006,working-capital,supplier_finance_obligation_change,partial,Target and Walmart comparative supplier-finance movements plus FY2025/FY2026 confirmed-invoice-paid roll-forwards are disclosed; annual settlement flow is visible but current H1 allocation is not,USD millions,Test supplier-finance settlement and avoid treating obligation growth as cash,Matched-period supplier-finance roll-forward and settlement disclosure,analysis/company-first-principles/combined-investment-research-pilot-02-retail-supplier-finance-roll-forward-2026-09-16.md,partial
RET-INPUT-007,temporary-effects,temporary_support_or_refund,partial,TJX and Walmart support/refund observations are bounded; recurrence and full allocation remain open,USD millions,Run support-removal sensitivity without promoting recurring cash,Subsequent filing separating support reversal and cash timing,analysis/company-first-principles/combined-investment-research-pilot-02-retail-margin-support-transition-2026-09-16.md,partial
RET-INPUT-008,noncash-effects,stock_based_compensation,observed,Stock compensation is disclosed and used as a sensitivity item,USD millions,Show dilution/noncash compensation burden separately from operating cash,Next filing with period-matched issuance and dilution detail,analysis/company-first-principles/combined-investment-research-pilot-02-retail-burden-normalization.md,observed
RET-INPUT-009,claims,operating_lease_cash_paid,missing,The interim public search did not locate matched H1 cash-paid lease lines,USD millions,Do not add annual lease cash to H1 without period matching,Annual and interim lease-cash schedule,analysis/company-first-principles/combined-investment-research-pilot-02-retail-interim-lease-tax-search-boundary-2026-09-16.md,missing
RET-INPUT-010,claims,cash_taxes_paid,missing,The interim public search did not locate matched H1 cash-tax lines,USD millions,Separate tax provision from cash taxes in owner-cash bridge,Annual and interim cash-tax schedule,analysis/company-first-principles/combined-investment-research-pilot-02-retail-interim-lease-tax-search-boundary-2026-09-16.md,missing
RET-INPUT-011,reinvestment,maintenance_capex,missing,No company supplies a quantified selected-period maintenance-capital schedule,USD millions,Determine recurring reinvestment deduction or range,Company maintenance-capital schedule with project classification,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,missing
RET-INPUT-012,reinvestment,growth_capex,partial,Walmart identifies a narrow new-store floor; TJX and Target provide category or direction but not full selected-period dollar allocation,USD millions,Separate growth spending from maintenance without treating remainder as maintenance,Next project-level capex schedule,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,partial
RET-INPUT-013,attached-services,allocated_service_cost_and_cash,missing,Service revenue and aggregate cost buckets are visible but service-specific costs and collection are not allocated,USD millions,Prevent advertising membership marketplace or card revenue from entering owner cash one-for-one,Service-level cost working-capital tax and collection disclosure,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,missing
RET-INPUT-014,senior-claims,debt_principal_and_other_claims,partial,Selected debt repayment and post-financing screens exist but timing and full claim allocation remain incomplete,USD millions,Show residual after senior claims without double counting operating cash effects,Period-matched debt-principal and claim schedule,analysis/company-first-principles/combined-investment-research-pilot-02-retail-post-financing-residual-screen-2026-09-15.md,partial
RET-INPUT-015,per-share,diluted_shares,observed,Diluted share counts are reported for selected company-periods,Millions of shares,Convert residual cash to a consistent per-share denominator,Next comparable filing and equity-claim schedule,analysis/company-first-principles/combined-investment-research-pilot-02-retail-common-period-cash-matrix.md,observed
RET-INPUT-016,final-residual,normalized_owner_cash,missing,No single normalized owner-cash result is promoted for the cohort,USD millions and per diluted share,Final CA-06 promotion output after all required joins,All missing upgrade documents above,analysis/company-first-principles/combined-investment-research-pilot-02-retail-owner-cash-bridge.md,missing
