interface_type,company_name,ticker,sector,industry,company_packet_path,strongest_current_evidence,main_open_gap_or_next_move,annual_report_collected,annual_filing_collected,q_latest_collected,q_minus_1_collected,q_minus_2_collected,call_transcript_latest,last_updated,status
"Hyperscale AI and cloud interface","Microsoft Corporation",MSFT,Technology,"Application Software","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/application-software/microsoft-corporation/company-packet.md","Azure above 100B annual revenue Microsoft 365 Copilot above 30M paid seats and commercial RPO above 625B","The next useful move is adding another hyperscale or enterprise-data platform comparison rather than raw archive repair",yes,yes,yes,yes,yes,no,2026-08-09,in-progress
"Hyperscale AI and cloud interface","Alphabet Inc.",GOOGL,Technology,"Internet Information Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-information-providers/alphabet-inc/company-packet.md","Cloud backlog above 500B YouTube above 60B annual revenue subscriptions above 325M and capex guidance near 200B","The next useful move is adding another consumer-plus-enterprise AI distribution comparison rather than repairing the current packet",yes,yes,yes,yes,yes,no,2026-08-09,in-progress
"Enterprise workflow and control interface","ServiceNow, Inc.",NOW,Technology,"Information Technology Services","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/information-technology-services/servicenow-inc/company-packet.md","subscription revenue cRPO and RPO progression plus ServiceNow AI crossing 1B ACV","No local standalone transcript artifact is saved; another control-layer software name could sharpen the workflow bucket later",yes,yes,yes,yes,yes,no,2026-08-09,in-progress
"Enterprise workflow and control interface","Adobe Inc.",ADBE,Technology,"Application Software","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/application-software/adobe-inc/company-packet.md","ARR progression from 25.20B to 27.10B steady RPO around 22B and AI-first ARR above 500M","No local Adobe-hosted annual-report binary is saved; one more document or design-workflow comparison could test how broad this bucket really is",no,yes,yes,yes,yes,no,2026-08-09,in-progress
"Security and trust interface","Palo Alto Networks, Inc.",PANW,Technology,"Networking & Communication Devices","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/networking-communication-devices/palo-alto-networks-inc/company-packet.md","subscription-and-support mix at 80.5% of revenue with NGS ARR up to 8.1B and RPO up to 18.4B","The next useful move is another security or observability comparison rather than more archive repair on this name",yes,yes,yes,yes,yes,yes,2026-08-09,in-progress
"Security and trust interface","Cisco Systems Inc.",CSCO,Technology,"Communication Equipment","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/communication-equipment/cisco-systems-inc/company-packet.md","recurring revenue above half of sales and AI infrastructure order expectations raised from above 2B to 9B","No standalone transcript artifact is saved locally; a second networking-control comparison would help separate AI diffusion from company-specific execution",yes,yes,yes,yes,yes,no,2026-08-09,in-progress
"Consumer ecosystem and attention interface","Apple Inc.",AAPL,Technology,"Consumer Services","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/consumer-services/apple-inc/company-packet.md","installed base above 2.5B active devices Services gross margin at 75.4% and continued holiday-scale earnings power","Direct annual-report PDF artifact is still not saved locally; the next useful move is another premium ecosystem comparison rather than more collection repair",no,yes,yes,yes,yes,no,2026-08-09,in-progress
"Consumer ecosystem and attention interface","Meta Platforms, Inc.",META,Technology,"Internet Information Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-information-providers/meta-platforms-inc/company-packet.md","3.58B DAP revenue above 200B and explicit willingness to fund very large AI infrastructure from the same attention base","AnnualReports still lagged on the 2025 package as of 2026-08-09; another consumer-attention platform would improve the contrast set",yes,yes,yes,yes,yes,yes,2026-08-09,in-progress
"Consumer ecosystem and attention interface","Spotify Technology S.A.",SPOT,Technology,"Internet Information Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-information-providers/spotify-technology-sa/company-packet.md","300M Premium subscribers 777M MAUs improving operating income and two-sided monetization through subscriptions plus ads","Direct annual-report binary is still not saved locally; one more cultural-distribution platform would test whether this pattern extends beyond audio",no,yes,yes,yes,yes,no,2026-08-09,in-progress
"Consumer ecosystem and attention interface","Snap Inc.",SNAP,Technology,"Internet Information Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-information-providers/snap-inc/company-packet.md","useful lower-moat contrast with revenue scale near 6B but continued losses and weaker monetization structure","The next useful move is not archive repair but a stronger comparison name that clarifies what durable attention ownership looks like",yes,yes,yes,yes,yes,yes,2026-08-09,in-progress
