extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARCOFOF-001,Capital One Financial Corporation,COF,2025,annual report availability,2025 Annual Report listed on official Capital One annual reports page,source availability,https://ir-capitalone.gcs-web.com/financial-results/annual-reports,Capital One has an official 2025 annual-report source route available for ordinary-finance extraction.,"The current workspace did not contain a local Capital One packet, so this row is source-route evidence rather than local packet evidence.",source-visible-with-boundary
ARCOFOF-002,Capital One Financial Corporation,COF,Q1 2026,net income and diluted EPS,2.2B USD net income; 3.34 USD diluted EPS; 4.42 USD adjusted diluted EPS,USD,Capital One Q1 2026 earnings release,Capital One remained profitable in Q1 2026 after adjusting-item context.,Profitability does not prove borrower repayment quality or loss-adjusted return.,source-visible-with-boundary
ARCOFOF-003,Capital One Financial Corporation,COF,Q1 2026,total net revenue,"15.2B USD, down 2% sequentially",USD and percent,Capital One Q1 2026 earnings release,Consumer credit and banking revenue scale is visible.,"Revenue decline/growth does not separate loan yield, interchange, funding cost, or credit losses.",source-visible-with-boundary
ARCOFOF-004,Capital One Financial Corporation,COF,Q1 2026,pre-provision earnings,"6.8B USD, up 8% sequentially",USD and percent,Capital One Q1 2026 earnings release,Pre-credit-loss earning power is visible.,Pre-provision earnings can be consumed by charge-offs and reserve builds.,source-visible-with-boundary
ARCOFOF-005,Capital One Financial Corporation,COF,Q1 2026,provision for credit losses,4.1B USD; down 74M USD sequentially,USD,Capital One Q1 2026 earnings release,Credit-loss cost is explicit and large relative to pre-provision earnings.,"Provision level does not by itself prove future losses, reserve adequacy, or portfolio quality.",source-visible-with-boundary
ARCOFOF-006,Capital One Financial Corporation,COF,Q1 2026,net charge-offs and loan reserve build,3.8B USD net charge-offs; 230M USD loan reserve build,USD,Capital One Q1 2026 earnings release,The ordinary-finance stress signal is visible through realized losses and reserve movement.,"Charge-off totals need rates, segment mix, vintage, delinquency, and allowance coverage for cash-quality proof.",source-visible-with-boundary
ARCOFOF-007,Capital One Financial Corporation,COF,Q1 2026,net interest margin,"7.87%, down 39 basis points sequentially",percent and basis points,Capital One Q1 2026 earnings release,Funding cost and loan-yield pressure are visible through NIM movement.,NIM alone does not prove deposit durability or risk-adjusted loan profitability.,source-visible-with-boundary
ARCOFOF-008,Capital One Financial Corporation,COF,2026-03-31,CET1 ratio,14.4%,percent,Capital One Q1 2026 earnings release,Capital buffer visibility exists at quarter end.,CET1 does not prove stress-cycle sufficiency without risk-weighted asset and loss scenario detail.,source-visible-with-boundary
ARCOFOF-009,Capital One Financial Corporation,COF,2026-03-31,period-end loans held for investment,447.8B USD total; 270.6B USD Credit Card; 254.0B USD Domestic Card; 86.9B USD Consumer Banking; 85.7B USD Auto; 90.3B USD Commercial Banking,USD,Capital One Q1 2026 earnings release,"Capital One gives ordinary finance a direct consumer-credit, card-loan, auto-loan, and commercial-loan exposure map.","Loan balances do not prove repayment, delinquency, charge-off rate, or collateral quality.",source-visible-with-boundary
ARCOFOF-010,Capital One Financial Corporation,COF,2026-03-31,deposits and interest-bearing deposit rate,489.1B USD period-end deposits; 480.0B USD average deposits; 3.00% interest-bearing deposits rate paid,USD and percent,Capital One Q1 2026 earnings release,Deposit funding and funding-cost evidence are visible.,"Deposits and rate paid do not prove stickiness, deposit beta, uninsured-deposit risk, or long-run funding advantage.",source-visible-with-boundary
ARCOFOF-011,Capital One Financial Corporation,COF,Q2 2026,"net income, EPS, revenue, and adjusted EPS","3.0B USD net income; 4.73 USD diluted EPS; 15.9B USD total net revenue, up 4%; 5.81 USD adjusted EPS",USD and percent,Capital One Q2 2026 earnings release search result; Q2 2026 earnings release presentation,The latest official Q2 source route shows higher profitability and revenue after Discover/Brex context.,Q2 headline improvement does not prove durable consumer credit recovery or acquisition integration quality.,source-visible-with-boundary
ARCOFOF-012,Capital One Financial Corporation,COF,Q1-Q2 2026,Discover acquisition and payments-provider framing,"Discover integration continuing; leading technology-based financial services company; premier global payments provider and diversified financial institution; Credit Card, Consumer Banking including Global Payment Network, and Commercial Banking",descriptor,Capital One Q1 2026 earnings release,"Capital One is not only a card lender; it now sits across card credit, deposits, auto, commercial banking, and payments-network expansion.","Strategic and acquisition framing does not prove acquisition return, network economics, credit quality, or loss-adjusted profitability.",source-visible-with-boundary
