extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
AROPCHINF-001,"Option Care Health, Inc.",OPCH,Q4 2025,net revenue,1.4654,B USD,analysis/company-first-principles/healthcare/specialized-health-services/option-care-health-inc/company-analysis.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,Option Care entered 2026 with a large alternate-site infusion revenue base.,"Net revenue does not prove therapy-level margin, patient outcomes, reimbursement quality, or cash collection.",q4-net-revenue-visible
AROPCHINF-002,"Option Care Health, Inc.",OPCH,Q4 2025,net revenue growth,8.8,percent,analysis/company-first-principles/healthcare/specialized-health-services/option-care-health-inc/company-analysis.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md,Revenue grew meaningfully at year end.,"Growth does not prove durable payer reimbursement, therapy mix quality, or nurse capacity.",q4-revenue-growth-visible-with-boundary
AROPCHINF-003,"Option Care Health, Inc.",OPCH,Q4 2025 / 2026 setup,cash-generation setup,strong cash generation,qualitative,extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,The local packet describes a constructive cash-generation setup entering 2026.,"Qualitative cash-generation language still needs operating cash flow, free cash flow, receivables, inventory, and debt reconciliation.",cash-generation-language-visible-with-boundary
AROPCHINF-004,"Option Care Health, Inc.",OPCH,Q1 2026,net revenue,1.3507,B USD,analysis/company-first-principles/healthcare/specialized-health-services/option-care-health-inc/company-analysis.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,The platform maintained large quarterly net revenue.,"Net revenue does not show patient count, therapy mix, payer mix, or working-capital quality.",q1-net-revenue-visible
AROPCHINF-005,"Option Care Health, Inc.",OPCH,Q1 2026,GAAP net income,45.3,M USD,extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,GAAP profitability was visible.,Net income does not prove service-line free cash flow or patient access quality.,q1-gaap-profit-visible-with-boundary
AROPCHINF-006,"Option Care Health, Inc.",OPCH,Q1 2026,adjusted EBITDA,104.8,M USD,analysis/company-first-principles/healthcare/specialized-health-services/option-care-health-inc/company-analysis.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,Adjusted operating earnings were visible.,Adjusted EBITDA is not cash and does not prove reimbursement durability.,q1-adjusted-ebitda-visible-with-boundary
AROPCHINF-007,"Option Care Health, Inc.",OPCH,Q1 2026,adjusted diluted EPS,0.40,USD,analysis/company-first-principles/healthcare/specialized-health-services/option-care-health-inc/company-analysis.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md,Per-share adjusted earnings were visible.,Adjusted EPS does not prove payer collections or therapy-level economics.,q1-adjusted-eps-visible-with-boundary
AROPCHINF-008,"Option Care Health, Inc.",OPCH,Q1 2026,revolving credit facility,expanded facility,qualitative,extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,Liquidity and operating flexibility context was visible.,An expanded facility does not prove borrowed funds were used for productive returns or that debt risk is low.,liquidity-context-visible-with-boundary
AROPCHINF-009,"Option Care Health, Inc.",OPCH,Q2 2026,net revenue,1.442,B USD,analysis/company-first-principles/healthcare/specialized-health-services/option-care-health-inc/company-analysis.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,Latest local-quarter net revenue remained large.,"Net revenue does not prove authorization success, patient adherence, or receivable collection.",q2-net-revenue-visible
AROPCHINF-010,"Option Care Health, Inc.",OPCH,Q2 2026,GAAP net income,53.9,M USD,extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,GAAP profitability improved versus Q1 in the local packet.,"Net income does not allocate economics by therapy, payer, or care site.",q2-gaap-profit-visible-with-boundary
AROPCHINF-011,"Option Care Health, Inc.",OPCH,Q2 2026,adjusted EBITDA and adjusted diluted EPS,117.5 / 0.45,M USD / USD,analysis/company-first-principles/healthcare/specialized-health-services/option-care-health-inc/company-analysis.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,Adjusted earnings scale was visible in the latest local quarter.,"Adjusted earnings do not prove clean free cash flow after drug inventory, receivables, labor, and capex.",q2-adjusted-earnings-visible-with-boundary
AROPCHINF-012,"Option Care Health, Inc.",OPCH,Q2 2026 / 2026 outlook,full-year 2026 guidance,updated upward,qualitative,analysis/company-first-principles/healthcare/specialized-health-services/option-care-health-inc/company-analysis.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-packet.md; extracted/healthcare/specialized-health-services/option-care-health-inc/company-profile.md,Management raised the full-year setup after Q2.,"Guidance does not prove reimbursement, labor, therapy mix, drug supply, or patient access risks are solved.",guidance-updated-visible-with-boundary
