finding_id,finding,plain_meaning,money_path,example_companies,proof_boundary
ARBF-001,Demand is not the same as supply,"Many annual-report stories begin with demand, but the harder question is whether the system can actually supply the need.",demand -> capacity/permission/labor/capital/route -> fulfilled output -> revenue/cash,"power, healthcare, housing, AI, materials, energy","Demand signals do not prove supply, customer cash, or returns."
ARBF-002,Companies matter when they control a hard step,A company becomes important when it sits between a real need and completion.,customer burden -> company system -> problem solved -> payment/cash,"utilities, distributors, healthcare platforms, retailers, payment networks, capital platforms",A hard step can still be competed away or fail to convert into durable cash.
ARBF-003,Power is becoming a gatekeeper for growth,"Electricity must be generated, delivered, approved, financed, billed, and recovered before growth can happen.",load -> power/grid investment -> regulated or contracted payment -> cash,"NextEra/FPL, Duke, AEP, Constellation, Vistra, NRG, MasTec, Sterling",Load forecasts and capital plans are not customer receipts or project returns.
ARBF-004,Capital platforms are money-routing systems,"Large asset managers and insurer-linked platforms route savings and liabilities into assets, borrowers, credit, real estate, and infrastructure.","saver/policyholder capital -> platform wrapper -> asset/borrower/project -> fees, interest, spread, repayment, sale proceeds","BlackRock, Blackstone, Apollo/Athene, KKR/Global Atlantic, Brookfield, Ares, Carlyle","AUM and inflows are not proof of borrower receipt, legal-entity cash, collateral, waterfall, or final return."
ARBF-005,Healthcare is an access system,"Healthcare demand is obvious; the scarce part is organized access under reimbursement, labor, pharmacy, and trust pressure.",patient need -> payer/PBM/provider/care-site -> authorized care/drug/service -> reimbursement/premium/service revenue -> cash,"UnitedHealth, Cigna, DaVita, Addus, Option Care, HCA, McKesson, Abbott, Stryker","Revenue and patient volume do not prove care quality, fairness, reimbursement durability, or service-line cash."
ARBF-006,The physical world keeps demanding money,"Homes, buildings, water systems, roads, plants, and stores wear out and need recurring upkeep.",owner/contractor/municipality need -> retailer/distributor/manufacturer/service -> material or repair input -> project/upkeep -> cash,"Home Depot, Lowe’s, Core & Main, Builders FirstSource, Sherwin-Williams, Ferguson, Vulcan, Steel Dynamics","Housing exposure is not one thing; each channel has different margin, inventory, receivable, and cycle risk."
ARBF-007,Industrial uptime is hidden insurance,"Industrial customers pay for equipment, parts, and service because stopping work is expensive.",operating need -> rental/parts/service/distribution supplier -> available equipment/inventory/support -> avoided downtime -> revenue/cash,"United Rentals, Fastenal, WESCO, Grainger, Applied Industrial, MSC, Watsco, MasTec, Sterling","Branch count, fleet size, and backlog do not prove collection, ROIC, collateral value, or project margin."
ARBF-008,Digital growth creates control problems,"More online activity creates more need for security, identity, policy, traffic routing, governance, and fraud control.",digital activity -> control need -> security/routing/platform/workflow provider -> subscription/usage/contract/take-rate -> revenue/cash,"Cloudflare, Akamai, Zscaler, Fortinet, Roblox, Microsoft, NVIDIA, Broadcom, Cisco, ServiceNow","ARR, RPO, users, AI demand, and traffic do not prove free-cash-flow durability or customer ROI."
ARBF-009,The consumer is not one simple story,"Households spend through tradeoffs: price, convenience, habit, identity, relief, quality, and regret reduction.",household income/stress -> shopping/service/brand/experience choice -> retailer/restaurant/platform/brand -> traffic/margin/fees/cash,"Costco, Walmart, Target, Dollar General, Burlington, Marriott, Booking, McDonald’s, Starbucks, P&G, Coca-Cola",Sales do not prove consumer health; price can hide volume weakness and traffic can hide margin pressure.
ARBF-010,Materials and energy are the denominators,"Technology, housing, infrastructure, food, data centers, and industry still need physical inputs and routes.",end demand -> mine/mill/quarry/plant/pipeline/exporter/refiner -> input or energy movement -> price/volume/fee/spread/cash,"Freeport, Nucor, Steel Dynamics, Vulcan, CF Industries, Exxon, Energy Transfer, ONEOK, Plains, Cheniere",Commodity strength can reverse; output and tariffs do not prove asset-level returns.
ARBF-011,Location still matters,"Digital and physical systems still require towers, warehouses, data centers, medical sites, retail nodes, hotels, and tenant cash.",tenant/user demand -> scarce site or property asset -> lease/rent/occupancy/renewal/service payment -> property cash flow,"American Tower, Prologis, Equinix, Welltower, Realty Income, Marriott, MGM","Real estate value depends on tenant health, debt cost, occupancy, leases, cap rates, and refinancing."
ARBF-012,Ordinary finance shows stress moving through daily life,"Deposits, cards, loans, premiums, claims, payment fees, and losses turn daily pressure into measurable financial flows.",transaction -> bank/card issuer/insurer/lender/payment network -> deposit/loan/premium/fee/claim/provision -> earnings/capital/cash,"JPMorgan, American Express, Capital One, Progressive, Visa, Synchrony",Spending does not prove repayment; premium growth does not prove underwriting; volume does not prove merchant health.
