queue_id,theme,priority,source_packet_needed,representative_sources_or_company_sets,why_needed,public_release_action,overclaim_boundary,citation_status,status
AR15CQ-001,Opening thesis and 15-theme map,1,"Synthesis source note for the 519-company packet folder and integrated theme map","519 company packet inventory; final integrated theme map; integrated final draft","Explains that the map is synthesis rather than complete deep proof of every company.","Add source note before the map.","Do not imply exhaustive deep analysis of all 519 companies.",internal-source-note-needed,queued
AR15CQ-002,Power scarcity,1,"Utility reports, large-load disclosures, resource plans, tariffs, rate orders, FPL/PSC filings, contractor backlog, capex disclosures","Constellation; Vistra; NRG; Exelon; Duke; AEP; NextEra/FPL; Sterling; MasTec","Supports the highest-risk physical bottleneck claim.","Attach public filings and docket citations to power section.","Load, tariff, and capex are not receipts or returns.",citation-needed,queued
AR15CQ-003,Capital platforms,1,"Asset-manager reports, AUM disclosures, insurance statutory schedules, BDC schedules, vehicle documents, legal-entity schedules","BlackRock; Blackstone; Apollo/Athene; KKR/Global Atlantic; Brookfield; Ares; Carlyle","Supports the big-money-player and money-routing chapter.","Attach public filings and statutory/BDC citations.","AUM is not named borrower receipt or asset return.",citation-needed,queued
AR15CQ-004,Industrial uptime,2,"Rental fleet, branch, vending, backlog, revenue, margin, OCF, capex, and execution disclosures","United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MSC; Watsco; Sterling; MasTec","Supports physical-work continuity claims.","Attach company annual-report citations.","Scale is not fleet-class ROIC or project collection.",citation-needed,queued
AR15CQ-005,Healthcare access,2,"Payer, provider, pharmacy, dialysis, home-care, infusion, hospice, reimbursement, labor, receivable, and cash-flow disclosures","UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit","Supports organized-care-access claims.","Attach company filing citations and preserve quality boundary.","Volume is not outcomes fairness trust or collection.",citation-needed,queued
AR15CQ-006,Built-environment upkeep,2,"Home-improvement, Pro-channel, building-products, coatings, lumber, waterworks, HVAC/plumbing, distribution, and civic infrastructure disclosures","Home Depot; Lowe's; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core & Main","Supports repair replacement and civic upkeep claims.","Attach annual-report citations by sub-lane.","This is not one generic housing-cycle claim.",citation-needed,queued
AR15CQ-007,Digital control,2,"Cybersecurity, edge network, cloud, platform, ARR, RPO, traffic, customer, usage, retention, cash-flow, and AI-exposure disclosures","Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox","Supports digital permission and control claims.","Attach company filing citations and preserve durability boundary.","Demand metrics are not durable margin proof.",citation-needed,queued
AR15CQ-008,Value retail,2,"Traffic, comps, ticket, basket, membership, inventory, shrink, gross margin, ads, store growth, and format-strategy disclosures","Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollie's","Supports pressured-wallet and low-regret spending claims.","Attach retail annual-report citations.","Traffic and comps are not durable customer quality.",citation-needed,queued
AR15CQ-009,Services and cultural consumption,3,"Lodging, restaurant, resort/casino, airline, advertising, entertainment, staffing, and transportation annual reports","Marriott; Hilton; Hyatt; McDonald's; Starbucks; Domino's; MGM; Las Vegas Sands; Delta; United; Omnicom","Supports time relief travel attention convenience and experience claims.","Attach selected services citations.","Service revenue is not consumer health.",citation-needed,queued
AR15CQ-010,Consumer goods and household identity,3,"Personal products, beauty, packaged food, beverage, apparel, toy, household product, cleaning product, and packaging annual reports","P&G; Colgate; Kimberly-Clark; e.l.f.; Estee Lauder; Coca-Cola; Mondelez; General Mills; Hasbro; Mattel; Levi's; Crocs; Ball; Sonoco","Supports household-routine identity trust and packaging claims.","Attach selected consumer-goods citations.","Sales are not brand durability.",citation-needed,queued
AR15CQ-011,Basic materials and input scarcity,3,"Copper, steel, fertilizer, chemical, aggregates, lumber, uranium, industrial metals, gold, and packaging-input reports","Freeport-McMoRan; Southern Copper; Nucor; Steel Dynamics; CF Industries; Nutrien; Mosaic; Dow; CRH; Vulcan; West Fraser; Cameco","Supports physical-input scarcity behind buildout.","Attach selected materials citations.","End-market demand is not producer return.",citation-needed,queued
AR15CQ-012,Real estate and scarce locations,3,"REIT reports, occupancy, rent spreads, lease terms, renewal rates, tenant concentration, debt maturities, development pipeline, AFFO/cash disclosures","American Tower; Crown Castle; Equinix; Prologis; Welltower; Ventas; Host Hotels; AvalonBay; Simon Property","Supports scarce-site and location-control claims.","Attach selected REIT citations.","Owning property is not pricing power.",citation-needed,queued
AR15CQ-013,Broad technology beyond internet software,3,"Application software, semiconductors, equipment, networking, storage, telecom, hardware, IT-services, AI-infrastructure, retention disclosures","Microsoft; Oracle; Adobe; Snowflake; Nvidia; Broadcom; Cisco; Ciena; Dell; ServiceNow; Accenture","Broadens technology beyond internet software.","Attach selected technology citations.","AI exposure, ARR, traffic, and users are not durable value proof.",citation-needed,queued
AR15CQ-014,Healthcare tools and medical infrastructure,3,"Device, diagnostic, lab, hospital, distributor, drugstore, biotech, medical-supply, inventory, procedure-volume, receivable disclosures","Abbott; Baxter; Becton Dickinson; Boston Scientific; Dexcom; Stryker; Thermo Fisher; Labcorp; McKesson; Cardinal Health; HCA; Regeneron","Supports the medical-infrastructure expansion.","Attach selected healthcare infrastructure citations.","More volume is not outcomes or cash quality.",citation-needed,queued
AR15CQ-015,Energy affordability and supply route,3,"Upstream production, reserves, decline, capex, refining margin, utilization, service activity, equipment demand, midstream, debt, hedge, FCF disclosures","EOG; Devon; Diamondback; EQT; Occidental; Valero; Marathon Petroleum; Phillips 66; PBF; SLB; Halliburton; Baker Hughes","Supports energy affordability and supply-route claims.","Attach selected energy citations.","Volume, price, and margins are not durable cash return.",citation-needed,queued
AR15CQ-016,Ordinary finance,3,"Bank, card, credit service, insurance broker, P&C insurer, payment, exchange, deposit, loan, delinquency, premium, claims, fee disclosures","JPMorgan; Bank of America; Citigroup; American Express; Synchrony; Aon; Gallagher; Marsh McLennan; Chubb; Markel; PNC; Truist","Supports everyday finance and household/business pressure claims.","Attach selected finance citations.","Scale is not customer health or credit quality.",citation-needed,queued
AR15CQ-017,Proof rule and final boundary,1,"Cash-flow statements, source/use tables, billing records, statutory schedules, debt waterfalls, collateral certificates, return models","source documents only where exact claims are made","Keeps the article from overclaiming exact money movement or returns.","Keep proof rule and cite documents for exact examples.","Theme evidence is not named-cash proof.",method-boundary,ready
