queue_id,linked_question_ids,answer_gap,target_cases_or_lanes,why_it_matters,current_evidence,next_source_targets,acceptance_rule,claim_upgrade_if_passes,claim_boundary_if_not_found,priority,status,output_artifact
CFARQ-001,"CFMQ-006; CFMQ-004",Atwell bank-facility resolution,Atwell,"Atwell is the cleanest live test of whether private credit replaced a named bank facility or only added a parallel channel.","Prior 200M USD Bank of America-led facility is visible; KKR/Ares holder rows and 2026 private-credit trail are visible; payoff or coexistence is not proven after pass 1.","2026 credit agreement; debt commitment letter; rating report; UCC termination or amendment; payoff letter; lender list; sponsor/counsel financing summary.","Pass only if old bank facility status and new private-credit facility role are both visible.","Upgrade Atwell from plausible bank-replacement test to documented replacement or documented coexistence.","Keep Atwell as acquisition-finance/private-credit exposure with unresolved bank role.",1,hold-after-pass-1,capital-flow-atwell-bank-replacement-pursuit.md
CFARQ-002,"CFMQ-006; CFMQ-009",Auctane post-close bank role,Auctane / Stamps.com,"Auctane is the strongest confirmed bank-facility termination case, but banks may still retain ancillary roles.","Proxy and closing 8-K evidence ties debt-financing proceeds to termination of the prior Stamps.com credit agreement; 2.775B USD unitranche/direct-lending context exists; post-close ancillary bank roles remain unresolved after pass 1.","Final credit agreement; funds-flow/payoff materials; post-close lender list; UCC updates; administrative-agent details; hedging/treasury evidence; later Auctane/WWEX refinancing documents.","Pass if post-close lender map shows whether banks exited entirely or remained in ancillary roles.","Upgrade from bank-facility termination to fuller private-credit replacement map.","Keep claim limited to prior bank-led credit agreement termination at closing.",2,hold-after-pass-1,capital-flow-auctane-post-close-bank-role-pass-1.md
CFARQ-003,"CFMQ-006; CFMQ-004; CFMQ-009",Medallia lender allocation and repayment map,Medallia,"Medallia can prove acquisition finance plus repayment and later lender-control dynamics if lender identities align.","Proxy repayment language, a 1.8B USD SEC debt commitment, private-credit lender identity, and 2026 lender-led ownership transition evidence are visible; after pass 1, clean final lender allocation and post-close bank-role mapping remain incomplete.","Debt commitment letter; definitive credit agreement; lender allocation schedule; recapitalization agreement; post-close bank-role evidence; UCC/payoff records.","Pass if acquisition debt, bank repayment, and lender group can be mapped in one chain.","Upgrade Medallia to a high-confidence acquisition-finance plus bank-repayment and lender-control case.","Keep it as strong acquisition-finance, bank-credit-repayment, and lender-control evidence without full lender-allocation or full bank-displacement language.",3,hold-after-pass-1,capital-flow-medallia-lender-allocation-repayment-pass-1.md
CFARQ-004,"CFMQ-006; CFMQ-004",Guidehouse primary bank-competition proof,Guidehouse,"Guidehouse is useful for bank-versus-private-credit competition but currently leans on secondary evidence.","5.3B USD transaction evidence and Bloomberg Law bank-competition reporting exist; 3.075B USD debt/facility context and Blackstone/HPS references are visible; after pass 1, primary credit-document proof and post-close bank-role map remain missing.","Primary credit agreement; rating report; lender presentation; debt commitment letter; sponsor financing summary; UCC/payoff records; post-close bank-role evidence.","Pass if primary or high-quality market source identifies bank competition and final private-credit lender group.","Upgrade from secondary-source lead to bank-competition case.","Keep Guidehouse as strongest bank-competition lead with high-quality market-source support, not primary-source-proven bank replacement.",4,hold-after-pass-1,capital-flow-guidehouse-bank-competition-proof-pass-1.md
CFARQ-005,"CFMQ-004; CFMQ-007",Frontline facility-use bridge,Frontline Road Safety,"Frontline has strong borrower destination evidence, but use and facility mapping remain too broad.","Holder rows, Ares transaction-role evidence, Bain/Sterling transaction context, and continued-growth facility language exist; after pass 1, exact use of proceeds, facility size, lender allocation, Ares funded allocation, and bank role remain unproven.","Credit agreement; rating report; lender allocation schedule; Bain financing source; acquisition/use schedule; payoff evidence; UCC records.","Pass if holder rows can be tied to a named facility and use category.","Upgrade to borrower-specific private-credit financing with use-of-proceeds classification.","Keep as holder-visible infrastructure-adjacent continued-growth facility evidence, not exact use-of-proceeds or bank-replacement proof.",5,hold-after-pass-1,capital-flow-frontline-facility-use-bridge-pass-1.md
CFARQ-006,"CFMQ-004; CFMQ-007",Relation holder-to-facility bridge,Relation Insurance,"Relation has acquisition-finance context and large unfunded commitments, but row-to-facility linkage is incomplete.","Holder and commitment rows, Ares transaction-role evidence, Latham financing-source context, and BayPine acquisition context are visible; row-to-facility bridge remains incomplete after pass 1.","Relation/BayPine credit agreement; rating report; lender allocation schedule; UCC record; payoff evidence; counsel financing summary.","Pass if facility purpose and lender/holder link are visible.","Upgrade to acquisition-finance borrower case with mapped commitment/funded exposure.","Keep as acquisition-finance exposure with incomplete holder/commitment-to-facility bridge; do not treat commitments as drawn debt.",6,hold-after-pass-1,capital-flow-relation-holder-to-facility-bridge-pass-1.md
CFARQ-007,"CFMQ-004; CFMQ-005",Valcourt acquisition timeline and operating use,Valcourt,"Valcourt is a large latest-visible exposure, but the use split between growth, acquisition platform, and refinancing is not proven.","Latest visible funded exposure is large, Q2 same-period ARCC row exists, SDLP/Cliffwater history exists, and growth/acquisition-platform context is visible; specific use and refinancing bridge remain incomplete after pass 1.","Rating report; credit amendment; UCC record; lender list; transaction-specific financing release; Littlejohn/Valcourt capital-structure source; acquisition schedule.","Pass if financing can be tied to a specific acquisition, growth program, or refinancing event.","Upgrade Valcourt from exposure/growth context to mapped use-of-proceeds case.","Keep as large holder-visible exposure with broad continued-growth/acquisition-platform context; do not treat mixed-period latest-visible exposure as same-date debt.",7,hold-after-pass-1,capital-flow-valcourt-acquisition-use-timeline-pass-1.md
CFARQ-008,"CFMQ-004; CFMQ-005",MAI acquisition timeline and financing map,MAI Capital,"MAI is a wealth-management consolidation case, but credit rows need to map to acquisition activity or platform funding.","Holder rows, funded and unfunded amounts, Ares continued-M&A-strategy context, and multi-vehicle wrapper evidence exist; acquisition-to-facility map remains incomplete after pass 1.","MAI acquisition timeline; financing release; rating report; credit agreement; lender allocation schedule; UCC evidence.","Pass if borrower financing is tied to acquisition timeline, M&A strategy, or named facility purpose.","Upgrade to consolidation-finance mechanism case.","Keep as holder-visible M&A strategy support without exact use allocation; do not treat mixed-period latest-visible exposure as same-date debt.",8,hold-after-pass-1,capital-flow-mai-acquisition-financing-map-pass-1.md
CFARQ-009,"CFMQ-002; CFMQ-003",Public BDC capital-stack decomposition,"ARCC; FSK; OBDC; GSBD; GSPCC","This is the fastest way to connect borrower holder rows back toward source-of-capital evidence.","Same-period vehicle-level asset base, liabilities/debt, equity or net assets, asset coverage, funding layers, and borrower/commitment links are now normalized for ARCC, FSK, OBDC, GSBD, and GSPCC; GSPCC is handled as a non-listed BDC/private-credit comparator.","Shareholder and noteholder evidence; facility lender tables; subscription and investor-channel disclosures; CLO/SPV collateral notes; borrower credit agreements and rating reports.","Pass if each vehicle has same-period asset base, liabilities, NAV/equity, leverage, and borrower holding link.","Upgrade holder rows from vehicle-visible to source-stack-visible.","Keep ultimate-source allocation bounded; vehicle capital stack does not identify which liability or investor funded a specific borrower loan.",9,upgrade-with-boundary,capital-flow-vehicle-capital-stack-decomposition-pass-1.md
CFARQ-010,"CFMQ-002; CFMQ-003",Non-traded/private-credit vehicle funding stack,"ASIF; New Mountain; CION Ares; Cliffwater; Phillip Street; SDLP","Non-traded and private-credit vehicles are harder to source, but they matter for ultimate capital-source claims.","ASIF and SDLP funding stacks are visible; New Mountain, CION Ares, Cliffwater, and Phillip Street remain vehicle-channel or historical-channel evidence needing source extraction.","Annual reports; registration statements; prospectuses; adviser agreements; subscription disclosures; credit-facility notes; shareholder/noteholder/facility-lender evidence.","Pass if investor base or liability stack is visible for the same vehicle period as borrower exposure.","Upgrade from vehicle taxonomy to source-of-capital bridge.","Keep ultimate-source allocation bounded; for unresolved vehicles, keep as vehicle-classified or historical-channel exposure without funding-stack claims.",10,partial-upgrade-with-boundary,capital-flow-non-traded-private-credit-funding-stack-pass-1.md
