work_order_id,priority,missing_source_id,source_family,affected_graph_ids,affected_cases,affected_count,first_action,source_route,fields_to_extract,pass_test,hold_or_disproof_test,next_artifact,safe_claim
CFRMSWO-001,1,CFRMSI-001,customer receipts and billing support,CFMMPG16-002;CFMMPG16-005;CFMMPG16-006;CFMMPG16-014;CFMMPG16-016,"FPL Distribution Inspection; Sterling backlog; Energy Transfer projects; MasTec backlog; Plains tariff route",5,"Build route-specific search/fetch plan for FPL billing determinants, project collections, tariff billing, and route revenue.",search-and-fetch,"Customer bills; billing determinants; tariff billing records; collection schedules; route revenue; retainage collection; customer payment evidence","Cash receipt or billing record ties customer/payer cash to named category, project, route, or backlog cohort.","Hold if only authorization, tariff, backlog, customer demand, or aggregate revenue is visible.",capital-flow-customer-receipts-billing-source-route-pass-1.md,"Customer receipt work can upgrade multiple rows, but this work-order row is not receipt proof."
CFRMSWO-002,2,CFRMSI-002,source-to-use allocation and funds-flow priority,CFMMPG16-002;CFMMPG16-006;CFMMPG16-011;CFMMPG16-012;CFMMPG16-013;CFMMPG16-015,"FPL Distribution Inspection; Energy Transfer projects; Matador borrowing base; Devon treasury allocation; PBF refinancing; Liberty Broadband holdco",6,"Collect funds-flow statements, borrowing notices, treasury ledgers, and source allocation schedules.",parse-local-and-search,"Funds-flow statements; treasury ledgers; borrowing notices; project allocation schedules; debt/equity/cash source allocation; restricted-cash rollforwards","Specific financing/cash source is tied to specific capex, acquisition, debt repayment, or payout.","Hold if only broad liquidity, cash flow, debt capacity, or aggregate use is visible.",capital-flow-source-to-use-allocation-work-order-pass-1.md,"Source-to-use allocation prevents broad capacity from being overstated as named-use funding."
CFRMSWO-003,3,CFRMSI-003,project or asset EBITDA DCF and cash contribution,CFMMPG16-003;CFMMPG16-006;CFMMPG16-011;CFMMPG16-012;CFMMPG16-013;CFMMPG16-014;CFMMPG16-016,"Cheniere LNG; Energy Transfer projects; Matador borrowing base; Devon treasury allocation; PBF refinancing; MasTec backlog; Plains tariff route",7,"Search for project EBITDA, DCF contribution, route revenue, asset-area cash margin, and segment cash bridges.",search-and-fetch,"Project EBITDA; asset-area production/cash margin; refinery-level cash contribution; route revenue; segment contribution; DCF contribution; acquired-business cash contribution","Funded asset/project has standalone or attributable cash contribution.","Hold if only company-level EBITDA, DCF, OCF, revenue, or margin is visible.",capital-flow-project-asset-cash-contribution-source-route-pass-1.md,"Project/asset contribution is needed to move from company cash proxy to asset return."
CFRMSWO-004,4,CFRMSI-004,debt-service waterfalls and lender allocation,CFMMPG16-001;CFMMPG16-003;CFMMPG16-006;CFMMPG16-011;CFMMPG16-013;CFMMPG16-015;CFMMPG16-016,"Wheaton Antamina; Cheniere LNG; Energy Transfer projects; Matador borrowing base; PBF refinancing; Liberty Broadband holdco; Plains tariff route",7,"Collect indentures, credit agreements, restricted account schedules, lender allocations, and repayment waterfalls.",parse-local-and-search,"Debt-service schedules; lender allocations; borrowing notices; indentures; facility agreements; restricted account schedules; collateral loan documents; repayment waterfalls","Asset/project cash can be tied to debt service or capital-provider payback.","Hold if payback beneficiary remains inferred from broad capital stack.",capital-flow-debt-service-waterfall-source-route-pass-1.md,"Debt-service waterfalls are needed before cash channels can be tied to creditor payback."
CFRMSWO-005,5,CFRMSI-005,borrower facility documents and lender schedules,CFMMPG16-008;CFMMPG16-009;CFMMPG16-010;CFMMPG16-011,"KKR / Global Atlantic channel; Ares borrower exposure; Blackstone credit channel; Matador borrowing base",4,"Search for borrower credit agreements, lender schedules, payoff letters, and borrower financials.",search-and-fetch,"Borrower credit agreements; lender schedules; payoff letters; borrower financials; funded allocation schedules; bank residual-role support","Holder exposure ties to facility size, use of proceeds, lender share, and borrower repayment route.","Hold if only fair value, commitment, AUM, or industry exposure is visible.",capital-flow-borrower-facility-document-source-route-pass-1.md,"Borrower facility documents are the key unlock for private-credit and reserve-backed lending rows."
CFRMSWO-006,6,CFRMSI-006,statutory investment schedules and asset-income detail,CFMMPG16-007;CFMMPG16-008,"Apollo/Athene insurance channel; KKR / Global Atlantic channel",2,"Acquire statutory filings, Schedule D/BA, income schedules, impairments, NAIC designations, and liability-cost schedules.",search-and-fetch,"Statutory filings; Schedule D; Schedule BA; investment income schedules; realized gain/loss schedules; impairments; NAIC designations; liability-cost schedules","Legal-entity holdings and income can be mapped to asset-return and liability-cost spread.","Hold if only platform AUM, invested assets, or aggregate investment income is visible.",capital-flow-insurance-statutory-asset-income-source-route-pass-1.md,"Statutory schedules are decisive for insurance/private-credit balance-sheet proof."
CFRMSWO-007,7,CFRMSI-007,contract pricing customer obligation and tenor evidence,CFMMPG16-003;CFMMPG16-005;CFMMPG16-006;CFMMPG16-009;CFMMPG16-014;CFMMPG16-016,"Cheniere LNG; Sterling backlog; Energy Transfer projects; Ares borrower exposure; MasTec backlog; Plains tariff route",6,"Search for SPA terms, shipper contracts, customer contracts, open-season results, funded awards, and minimum-volume/take-or-pay terms.",search-and-fetch,"SPA price formulas; shipper contracts; customer contracts; open-season results; funded-award evidence; contract tenor; take-or-pay or minimum-volume terms; borrower agreement terms","Durable customer obligation and price economics support cash-quality evidence.","Hold if demand is visible but pricing, tenor, cancellation, or volume commitment is missing.",capital-flow-contract-pricing-obligation-source-route-pass-1.md,"Contract pricing and obligation evidence turns demand signals into cash-quality evidence."
CFRMSWO-008,8,CFRMSI-008,physical output and utilization attribution,CFMMPG16-003;CFMMPG16-004;CFMMPG16-006;CFMMPG16-011;CFMMPG16-016,"Cheniere LNG; United Rentals fleet; Energy Transfer projects; Matador borrowing base; Plains tariff route",5,"Collect cargo-to-train mapping, route throughput, fleet utilization, terminal volume, and asset-area production.",parse-local-and-search,"Cargo-to-train mapping; fleet-class OEC; fleet utilization; route throughput; asset-area production; terminal volumes; project utilization schedules","Output/utilization can be assigned to the funded asset or project.","Hold if aggregate output cannot be attributed to the relevant asset.",capital-flow-output-utilization-attribution-source-route-pass-1.md,"Output attribution is needed before output can support asset-level cash-return proof."
CFRMSWO-009,9,CFRMSI-009,collateral borrowing-base and availability certificates,CFMMPG16-004;CFMMPG16-008;CFMMPG16-011;CFMMPG16-015,"United Rentals fleet; KKR / Global Atlantic channel; Matador borrowing base; Liberty Broadband holdco",4,"Acquire borrowing-base certificates, collateral reports, reserve reports, LTV certificates, and pledged-asset files.",search-and-fetch,"Borrowing-base certificates; collateral reports; reserve reports; pledged-asset files; LTV certificates; FHLB collateral files; availability calculations","Reported collateral or credit capacity is legally available and quantified.","Hold if collateral/capacity remains management context without legal availability proof.",capital-flow-collateral-availability-certificate-source-route-pass-1.md,"Collateral certificates are the proof control for asset-backed and borrowing-base capital channels."
CFRMSWO-010,10,CFRMSI-010,retainage receivable aging and working-capital collection,CFMMPG16-002;CFMMPG16-005;CFMMPG16-014,"FPL Distribution Inspection; Sterling backlog; MasTec backlog",3,"Search for retainage schedules, receivable aging, contract asset/liability rollforwards, and true-up collection support.",parse-local-and-search,"Receivable aging; retainage schedules; customer collection records; contract asset/liability rollforwards; true-up collection support","Project/recovery revenue is collected in cash or collection timing is visible.","Hold if revenue, backlog, or true-up remains uncollected or timing-only proxy.",capital-flow-working-capital-collection-source-route-pass-1.md,"Working-capital collection evidence is required before backlog/recovery can be treated as cash realized."
