"extraction_id","pilot_id","company","ticker","bridge_model","source_family","source_path_or_url","period","metric","value","unit","evidence_status","claim_use","what_it_says","what_it_does_not_say","next_source"
"CFPGP-001","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md","Q2 2026","total 2026 capital-expenditure guidance","2.7 to 3.2","USD billions","source-table-visible","Use as capital-use scale for integrated midstream buildout.","ONEOK kept 2026 capital-expenditure guidance at roughly USD 2.7B to USD 3.2B while reporting stronger Q2 results.","It does not allocate capex by project, prove project returns, or identify external financing source by asset.","2026 Q2 10-Q capex table and earnings presentation project appendix."
"CFPGP-002","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md","Q2 2026","quarterly capital expenditures","613","USD millions","source-table-visible","Use as current-period capital absorption evidence.","ONEOK reported about USD 613M of quarterly capital expenditures, including about USD 101M of maintenance capital.","It does not split growth capex into named assets or show earned return on those assets.","2026 Q2 cash-flow statement and capex footnote."
"CFPGP-003","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md","Q2 2026","operating volume growth signals","15% Gulf Coast/Permian NGL raw feed; 8% refined products shipped; 2% natural gas processed","percent year-over-year","output-proxy-visible","Use as physical-output proxy showing the capital base is carrying more throughput.","ONEOK tied Q2 performance to higher NGL raw feed, refined-product shipping, and gas processing volumes across its integrated network.","It does not prove utilization by project, tariff economics, or incremental return on each asset.","Segment volume table and project-level throughput disclosure."
"CFPGP-004","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","company-packet / annual and Q2 materials","extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md","2025 / Q2 2026","midstream network scale","60,000","pipeline miles","source-pointer-visible","Use as operating-system denominator for integrated logistics scale.","Management describes ONEOK as operating an approximately 60,000-mile pipeline network spanning gathering, processing, fractionation, transportation, storage, and marine export services.","It does not show which miles were funded by current capital or which miles drive incremental EBITDA.","2025 10-K asset table and segment property schedule."
"CFPGP-005","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md","Q2 2026","adjusted EBITDA","2.121","USD billions","cash-proxy-visible","Use as current-period cash-generation proxy paired with capex and throughput evidence.","Q2 2026 adjusted EBITDA was USD 2.121B, up from USD 1.981B a year earlier.","It does not isolate return on new projects or source-of-funds for the capex program.","Segment EBITDA bridge and project contribution disclosure."
"CFPGP-006","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","company-packet / Q2 2026 earnings materials","extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md","Q2 2026","backlog","21.4","USD billions","source-table-visible","Use as demand depth for infrastructure execution work.","MasTec reported record backlog of USD 21.4B, up USD 4.9B year over year and USD 1.1B sequentially.","Backlog is not margin, cash conversion, signed funding, or guaranteed project profit.","Backlog schedule by segment, cancellation terms, margin profile, and funded/backlog split."
"CFPGP-007","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","company-packet / Q2 2026 earnings materials","extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md","Q2 2026","revenue","4.374","USD billions","output-to-revenue-visible","Use as evidence that backlog and project demand are converting into current revenue.","Q2 2026 revenue was USD 4.374B, up 23% year over year.","It does not prove which backlog cohorts converted or whether conversion produced attractive margins.","Q2 2026 segment revenue and backlog roll-forward."
"CFPGP-008","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","company-packet / Q2 2026 earnings materials","extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md","Q2 2026","adjusted EBITDA","384.2","USD millions","cash-proxy-visible","Use as current-period earnings/cash proxy paired with backlog and revenue.","Q2 2026 adjusted EBITDA was USD 384.2M.","It does not provide project-level returns or distinguish high-quality backlog from lower-margin execution risk.","Adjusted EBITDA reconciliation and segment margin tables."
"CFPGP-009","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","company-packet / 2025 annual report","extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md","FY 2025","physical work completed","15,000 telecom network miles; 1,000 oil/gas pipeline miles; 14,000 power T&D miles; 3.6 renewable GW","mixed operating units","output-visible","Use as physical-output proof for the contractor execution lane.","The 2025 annual materials cite large-scale telecom, pipeline, power T&D, and renewable construction output.","It does not attach revenue, margin, or cash recovery to each output category.","2025 annual report segment tables and project examples."
"CFPGP-010","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","company-packet / 2025 annual report","extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md","FY 2025","18-month backlog","19.0","USD billions","source-table-visible","Use as prior-period backlog denominator before Q2 2026 growth.","MasTec ended 2025 with USD 19.0B of 18-month backlog after record annual revenue and earnings.","It does not prove backlog quality, funding certainty, or margin conversion.","10-K backlog disclosure and customer concentration notes."
