"theme_page_id","theme","page","core_claim","subtheme_count","money_path_defined","proof_boundary_defined","source_basis","article_use","status"
"ARTP-001","Power scarcity","annual-report-theme-power-scarcity-pass-1.md","Electricity is becoming permission for growth because demand must become deliverable, financed, approved, billed, and recovered power.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md; annual-report-15-theme-first-principles-deep-dive-pass-1.md","standalone theme essay","ready"
"ARTP-002","Capital platforms","annual-report-theme-capital-platforms-pass-1.md","Large platforms are money-routing systems that convert savings, liabilities, and institutional capital into assets, borrowers, projects, and credit exposure.","7","yes","yes","capital-flow-detailed-theme-and-subtheme-synthesis-pass-1.md; annual-report-15-theme-first-principles-deep-dive-pass-1.md","standalone theme essay","ready"
"ARTP-003","Industrial uptime","annual-report-theme-industrial-uptime-pass-1.md","Industrial companies get paid when they keep physical work from stopping.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-004","Healthcare access","annual-report-theme-healthcare-access-pass-1.md","Medical need becomes economic value only when it can be scheduled, staffed, authorized, delivered, reimbursed, and trusted.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-005","Built-environment upkeep","annual-report-theme-built-environment-upkeep-pass-1.md","Shelter and infrastructure are recurring maintenance systems, not one-time assets.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-006","Digital control","annual-report-theme-digital-control-pass-1.md","Digital activity creates control problems around identity, permission, security, routing, workflow, and participation.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-007","Value retail","annual-report-theme-value-retail-pass-1.md","Pressured households do not only seek low price; they seek lower regret.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-008","Services and cultural consumption","annual-report-theme-services-cultural-consumption-pass-1.md","Services reveal how people buy time, relief, convenience, status, connection, and experience.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-009","Consumer goods and household identity","annual-report-theme-consumer-goods-household-identity-pass-1.md","Households defend routines and identities even when budgets are pressured.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-010","Basic materials and input scarcity","annual-report-theme-basic-materials-input-scarcity-pass-1.md","Every growth story eventually needs physical inputs that must be mined, processed, moved, financed, and delivered.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-011","Real estate and scarce locations","annual-report-theme-real-estate-scarce-locations-pass-1.md","A place becomes valuable when a needed activity cannot easily move and the user can keep paying through the debt cycle.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-012","Broad technology beyond internet software","annual-report-theme-broad-technology-stack-pass-1.md","Digital life feels weightless only because a heavy stack of chips, networks, storage, software, security, hardware, and power keeps it working.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-013","Healthcare tools and medical infrastructure","annual-report-theme-healthcare-tools-infrastructure-pass-1.md","Care delivery depends on devices, diagnostics, drugs, sites, supplies, labor, inventory, compliance, and billing systems.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-014","Energy affordability and supply route","annual-report-theme-energy-affordability-route-pass-1.md","Energy is a route from geology and infrastructure into household and industrial affordability.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
"ARTP-015","Ordinary finance","annual-report-theme-ordinary-finance-pass-1.md","Financial pressure becomes real through cards, deposits, premiums, payments, loans, losses, rates, and refinancing.","6","yes","yes","annual-report-integrated-final-publication-draft-pass-1.md","standalone theme essay","ready"
