row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIORSE-001,Q2/H1 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental and segment economics,Source boundary,filed 10-Q segmentation,text,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q revenue disaggregation and segment note,"Uses filed revenue-by-type and segment equipment-rental tables",filed-source-boundary,"The 10-Q exposes owned-equipment rental revenue and segment equipment-rental economics.","It still does not expose asset-level utilization, rate/time/mix split, growth-versus-replacement capex, or fleet ROIC.","Investor deck, transcript, fleet category schedules, and management discussion"
URIORSE-002,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Owned equipment rentals,2991,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"Owned equipment rentals total for three months ended June 30 2026",filed-source-table,"The 10-Q separates owned-equipment rental revenue from re-rent and ancillary revenue.","Owned-equipment rental revenue still does not split rate versus time utilization versus mix.","Rate/time/mix disclosure"
URIORSE-003,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Re-rent revenue,88,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"Re-rent revenue total for three months ended June 30 2026",filed-source-table,"Re-rent is small relative to owned-rental revenue in Q2 2026.","It does not identify margin or supplier exposure for re-rented assets.","Re-rent expense and margin detail"
URIORSE-004,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Total ancillary and other rental revenues,770,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"Delivery and pick-up 341M plus other ancillary/other rental revenues 429M",filed-source-table,"Ancillary revenue is a meaningful part of equipment rentals revenue.","Ancillary revenue is not owned-fleet rent and can have different margin behavior.","Ancillary margin detail"
URIORSE-005,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Delivery and pick-up revenue,341,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"Delivery and pick-up revenue for three months ended June 30 2026",filed-source-table,"Delivery/pick-up is separately visible inside ancillary rental revenue.","It does not disclose delivery cost or margin by service.","Delivery cost detail"
URIORSE-006,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Other ancillary and other rental revenue,429,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"Other ancillary and other rental revenues for three months ended June 30 2026",filed-source-table,"Other ancillary revenue is separately visible in the Q2 10-Q.","It does not specify asset class or service mix.","Detailed ancillary revenue schedule"
URIORSE-007,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Total equipment rentals revenue,3849,M USD,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"Total equipment rentals revenue for three months ended June 30 2026",filed-source-table,"The 10-Q reconciles owned rentals, re-rent, and ancillary items to equipment rentals revenue.","Total equipment rentals is not pure owned-fleet rental revenue.","Owned-rental only bridge"
URIORSE-008,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Owned equipment rentals share of equipment rentals,77.7,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"2991M / 3849M",proxy-derived,"Owned rentals made up 77.7% of Q2 equipment rentals revenue.","It does not prove utilization or asset-level return.","Owned-rental rate/time/mix split"
URIORSE-009,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Re-rent share of equipment rentals,2.3,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"88M / 3849M",proxy-derived,"Re-rent was only 2.3% of Q2 equipment rentals revenue.","It does not prove re-rent economics are immaterial to margin.","Re-rent margin detail"
URIORSE-010,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,owned-rental revenue,Ancillary share of equipment rentals,20.0,percent,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,Revenue by type table,"770M / 3849M",proxy-derived,"Ancillary and other rental revenue was 20.0% of Q2 equipment rentals revenue.","It does not behave like owned-equipment rental revenue for return analysis.","Ancillary cost and margin detail"
