bridge_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFMTZPCC-001,CFE2EGUQ-012,backlog-denominator,capital-flow-power-grid-pilot-source-table-extraction-pass-1.csv,visible,Q2 2026,total 18-month backlog,21.4 USD billions,passes-backlog-denominator,"MasTec has a large visible backlog denominator for infrastructure project execution demand.","Backlog is not proof of owner funding, non-cancellable status, project margin, or cash collection.","Backlog definition, contract status, cancellation terms, and customer-funded project records.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-002,CFE2EGUQ-012,backlog-growth,capital-flow-power-grid-pilot-source-table-extraction-pass-1.csv,visible,Q2 2026,backlog growth,up 4.9 USD billions year over year; up 1.1 USD billions sequentially,passes-backlog-momentum,"Backlog expanded materially, indicating incoming project demand and execution runway.","Growth does not prove project quality, funding certainty, margin, or collection timing.","Backlog roll-forward by segment, signed/unsigned split, and customer funding support.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-003,CFE2EGUQ-012,segment-backlog-cei,capital-flow-power-grid-pilot-priority1-metric-extraction-pass-1.csv,visible,Q2 2026,Clean Energy and Infrastructure backlog,7.8 USD billions,passes-segment-backlog,"Clean Energy and Infrastructure backlog identifies one major operating destination for capital-project demand.","Segment backlog does not show funded awards, project margin, or cash conversion.","CE&I backlog aging, project-owner funding, segment margin, receivables, retainage, and collections.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-004,CFE2EGUQ-012,segment-backlog-power,capital-flow-power-grid-pilot-priority1-metric-extraction-pass-1.csv,visible,Q2 2026,Power Delivery backlog,6.3 USD billions,passes-segment-backlog,"Power Delivery backlog identifies another major destination tied to grid and utility capital programs.","Segment backlog does not prove funded status or project profitability.","Power Delivery customer awards, utility budget support, margin, receivables, retainage, and collection schedules.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-005,CFE2EGUQ-012,revenue-conversion,capital-flow-power-grid-pilot-source-table-extraction-pass-1.csv,visible,Q2 2026,revenue,4.374 USD billions,passes-revenue-output-proxy,"MasTec converted project demand into current-period revenue.","Revenue does not identify which backlog cohorts converted or whether they collected cash.","Backlog burn schedule by segment/customer and project cash collection records.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-006,CFE2EGUQ-012,cash-profit-proxy,capital-flow-power-grid-pilot-source-table-extraction-pass-1.csv,visible,Q2 2026,adjusted EBITDA,384.2 USD millions,passes-company-cash-profit-proxy,"Adjusted EBITDA gives a company-level cash-profit proxy alongside backlog and revenue.","It does not prove project-level margin or segment cash conversion.","Segment EBITDA, project margin, cost-to-complete, and change-order detail.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-007,CFE2EGUQ-012,operating-cash,capital-flow-power-grid-pilot-priority1-metric-extraction-pass-2.csv,visible,Six months ended June 30 2026,net cash provided by operating activities,120.322 USD millions,passes-operating-cash-visibility,"MasTec generated positive first-half operating cash flow while carrying a large backlog.","OCF is not allocated by segment, project, customer, or backlog cohort.","Contract asset/liability roll-forward, receivable aging, retainage, and collection schedule.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-008,CFE2EGUQ-012,capex-burden,capital-flow-power-grid-pilot-priority1-metric-extraction-pass-2.csv,visible,Six months ended June 30 2026,capital expenditures,188.312 USD millions,passes-capex-visibility,"MasTec's own capital burden is visible against operating cash flow.","Capex does not show project-level capital needs or returns.","Capex by segment, equipment fleet schedule, project support assets, and cash return by project type.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-009,CFE2EGUQ-012,cash-after-capex,derived from CFMTZPCC-007 and CFMTZPCC-008,calculated-boundary,Six months ended June 30 2026,OCF less capex,-67.990 USD millions,holds-on-cash-after-capex,"H1 operating cash flow did not cover H1 capex on this simple measure.","This is not a full free-cash-flow model because acquisition, working-capital timing, and financing context are not reconciled.","Full cash-flow bridge, acquisition cash-flow effects, working-capital normalization, and capex classification.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
CFMTZPCC-010,CFE2EGUQ-012,contract-liability-proxy,capital-flow-power-grid-pilot-priority1-metric-extraction-pass-2.csv,visible,June 30 2026,contract liabilities,760.912 USD millions,passes-customer-funding-timing-proxy,"Contract liabilities provide a customer-funding/timing proxy for work billed or paid ahead of revenue recognition.","Contract liabilities do not prove funded backlog by segment or project, nor cash collection quality.","Contract asset/liability detail, contract liability aging, customer advances, and project schedules.","MasTec has backlog-to-revenue/cash-proxy evidence, but project-owner funding, retainage, margin, and cash collection remain unproven."
