status_id,theme,subtheme,claim,current_status_bucket,current_claim_grade,strongest_current_evidence,what_this_proves,what_it_does_not_prove,next_status_to_reach,next_required_evidence,overclaim_to_avoid,priority
CTCS-001,Private-credit platforms,Direct lending at scale,"Large alternative managers are operating credit-routing platforms at institutional scale.",financed,Level 4 official platform and deployment proof,"Ares total AUM; Credit Group AUM; U.S. and European direct-lending AUM; Q2 and LTM direct-lending commitments and transaction counts; Apollo/Athene; KKR/Global Atlantic; Blackstone; Brookfield derived metrics.","The platform-scale private-credit channel is real and measurable.","It does not prove borrower-level bank replacement or same-dollar source-to-use matching.",trend-proven,"Repeat the same AUM, inflow, deployment, origination, and direct-lending mix metrics over multiple quarters and years.","Do not call platform AUM bank displacement.",high
CTCS-002,Private-credit platforms,Borrower-level destination proof,"Private credit reaches named operating borrowers in real industries.",financed,Level 4 SEC-holder and transaction-role proof,"BDC schedule rows and transaction-role evidence for Valcourt, AeriTek, Sunvair, MAI, Relation, Frontline, Atwell, Precinmac, Jiffy, Auctane, and Medallia.","Named borrowers and instruments can be tied to disclosed private-credit holders or arrangers.","It does not prove total facility size, all lender roles, or use of proceeds unless borrower documents exist.",claim-grade,"Pull credit agreements, rating reports, UCC records, payoff notices, and borrower 8-Ks for each borrower case.","Do not equate visible fair value with total debt.",high
CTCS-003,Private-credit platforms,Bank replacement,"Private credit can replace or repay specific bank-administered facilities.",approved,Level 5 for isolated cases; Level 2 for broad claim,"Auctane closing 8-K confirms termination of a prior bank-led credit agreement; Medallia has acquisition debt and repayment evidence; Atwell remains a live pursuit case.","Specific borrower-level bank-facility takeout can be proven in some cases.","It does not prove banks are broadly disappearing from lending.",pattern-proven,"Build repeated borrower cases and compare lane-matched private-credit activity to bank C&I, syndicated, and leveraged-lending denominators.","Do not generalize isolated borrower takeouts into a market-wide claim.",high
CTCS-004,Insurance and retirement capital,Liability-to-credit channel,"Insurance and retirement liabilities are a major capital source for credit and private-asset platforms.",financed,Level 4 platform and balance-sheet proof,"Apollo/Athene invested assets and spread earnings; KKR/Global Atlantic credit AUM and insurance investments; Brookfield invested insurance assets and private-credit allocation; Blackstone insurer-client SMA inflows.","Insurance-linked capital is visible as a real funding channel.","It does not show exact liability dollars funding named borrowers.",statutory-proven,"Pull NAIC/statutory Schedule D and Schedule BA, state filings, rating reports, and affiliated-investment details.","Do not say all insurer assets are private credit.",high
CTCS-005,Insurance and retirement capital,Asset quality and risk migration,"Credit risk is moving into insurer-linked and private-credit channels.",announced,Level 2 partial risk evidence,"KKR/Global Atlantic mortgage-loan past-due metric and FHLB pledged-assets metric; Brookfield and Apollo derived allocation metrics; current statutory/rating detail still missing.","Some risk and funding-location clues are visible.","It does not establish full credit quality, capital adequacy, ratings migration, or loss risk.",risk-grade,"Add statutory asset schedules, ratings mix, impairments, non-accruals, liquidity terms, RBC/capital ratios, and rating-agency overlays.","Do not infer safety or danger from scale alone.",high
CTCS-006,Power grid and project finance,Customer-backed large-load demand,"Data-center and electrification demand is moving from commentary into tariffs, service agreements, and customer obligations.",filed,Level 4 for AEP Ohio and Duke ESAs; Level 3 broader lane,"AEP Ohio data-center tariff effective date, PowerClerk/study/LOA/ESA mechanics, collateral, minimum-demand, exit-fee terms; Duke secured ESAs and pipeline; AEP signed and expected load bridge.","Some load is crossing into legal and operational obligation processes.","It does not prove every requested GW is binding, approved, financed, or in service.",approved,"Extract final tariff orders, customer contract treatment, interconnection status, operating-company split, and quarter-by-quarter signed versus expected load definitions.","Do not add signed, expected, late-stage, and under-construction load buckets together.",high
CTCS-007,Power grid and project finance,Recoverable regulated utility capital,"Utility capital plans are becoming regulatory and rate-base capital-flow claims.",filed,Level 3 to Level 4 depending on jurisdiction,"AEP and Duke capital-plan bridges; AEP/Duke docket queue; AEP Ohio tariff path; Duke Anderson County docket and approval release; Duke Carolinas Resource Plan filing.","Regulated utility spend can be tracked through jurisdictional approval channels.","It does not prove every capital-plan dollar is approved, recoverable, or earning allowed returns.",approved,"Pull rate-case orders, CPCN orders, FERC Form 1, allowed ROE, CWIP/rider treatment, equity/debt financing plans, and final order conditions.","Do not treat parent-company capex as automatically rate-base approved.",high
CTCS-008,Power grid and project finance,Generation procurement,"Load and reliability needs are becoming generation procurement, turbine reservations, acquisitions, and project approvals.",approved,Level 4 for Duke Anderson; Level 3 for broader project table,"Duke Anderson County PSCSC approval release and SC PSC docket; AEP I&M approved EGR path with pending 318 MW Big Sandy request; Duke 7,501 MW gas project table; secured turbines.","Some generation capacity additions have named project or regulatory trails.","It does not prove full cost, return, financing stack, or in-service delivery.",under-construction,"Extract final orders, project costs, construction schedules, turbine contracts, ownership shares, financing treatment, and in-service milestones.","Do not treat planning-table MW the same as approved in-service MW.",high
CTCS-009,Power grid and project finance,Buildout service backlog,"Infrastructure capital plans are pulling through to contractors, field crews, civil work, fiber, and building systems.",announced,Level 3 official company-source proof,"MasTec, Dycom, Primoris, and Granite backlog, book-to-bill, CAP, awards, miles, revenue, EBITDA/cash-flow evidence from power/grid extraction passes.","Service-layer demand is visible and broad.","It does not prove backlog is funded, profitable, non-cancellable, or cash generative.",cash-proven,"Extract backlog aging, funded-award status, customer concentration, gross margin, working capital, project reserves, claims, and owner capex links.","Do not treat backlog as profit or cash.",medium
CTCS-010,Power grid and project finance,Midstream and fuel logistics,"Power, LNG, petrochemical, and industrial demand continue pulling capital into midstream logistics.",financed,Level 3 official company-source proof,"ONEOK and Targa capex, EBITDA, volumes, pipeline/logistics assets, project completions, liquidity, and debt evidence.","Midstream remains a measurable capital-absorption lane.","It does not split growth from maintenance capex or prove project-level returns.",project-grade,"Extract project schedules, growth versus maintenance capex, contracted volumes, fee-based share, leverage, maturities, and project economics.","Do not call all midstream capex incremental growth.",medium
