claim_id,company,period,metric,value,unit,source_file,source_location,interpretation,claim_effect,status,next_needed
CF-004,Apollo / Athene,FY2025,direct origination AUM,302.1,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Item 1 Business credit strategies text,Apollo describes direct origination as including large corporate direct origination middle-market direct lending and investment-grade/performance credit mandates.,Supports Apollo credit-manufacturing scale outside generic alternatives AUM.,Tie direct origination to funding source and borrower destination.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,asset-backed finance AUM,282.7,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Item 1 Business credit strategies text,Apollo describes asset-backed finance as supported by contractual cash flows and liquidation value of pools of assets.,Supports ABF as a major credit-routing lane alongside corporate direct lending.,Split mortgages consumer credit receivables aircraft lending and inventory finance where source detail is available.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,opportunistic credit AUM,50.0,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Item 1 Business credit strategies text,Apollo discloses opportunistic credit AUM as a separate credit strategy category.,Supports credit breadth beyond direct lending and ABF.,Identify risk profile and market-cycle sensitivity.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,multi-credit AUM,40.9,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Item 1 Business credit strategies text,Apollo describes multi-credit as investment-grade high-yield senior loan bond corporate credit and ABF investments.,Supports multi-credit as another Apollo credit allocation lane.,Separate public versus private market exposure.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,total AUM,938.0,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Item 1 Business About Apollo text,Apollo disclosed approximately 938B USD of total AUM as of December 31 2025.,Provides the denominator for Athene Accounts share of Apollo platform scale.,Compare with Q2 2026 total AUM and platform growth.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,Athene Accounts AUM,392.2,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Item 1 Business Athene Accounts text,Apollo managed or advised 392.2B USD of AUM in accounts owned by or related to Athene as of December 31 2025.,Directly links Athene-related accounts to Apollo-managed capital scale.,Map Athene Accounts to credit strategy categories and insurance liability sources.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,Athene Accounts fee-generating AUM,386.5,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Item 1 Business Athene Accounts text,Apollo disclosed 386.5B USD of fee-generating AUM in accounts owned by or related to Athene.,Shows Athene-related assets are monetizable managed capital for Apollo.,Reconcile to Q2 2026 fee-generating AUM and management-fee rows.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,gross invested assets,386.973,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,MD&A invested-assets reconciliation,Apollo disclosed 386.973B USD of gross invested assets after adjustments.,Supports the scale of the retirement-services invested-asset base.,Bridge to net invested assets and asset-class composition.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,net invested assets,292.414,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,MD&A invested-assets reconciliation,Apollo disclosed 292.414B USD of net invested assets at year-end 2025.,Supports year-end denominator for Athene asset allocation and spread analysis.,Compare to Q2 2026 net invested assets of 314.090B USD.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,floating rate investments,48.6,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Interest Rate Environment text,Athene net invested asset portfolio included 48.6B USD of floating-rate investments.,Shows interest-rate sensitivity and floating-rate asset exposure in the retirement-services portfolio.,Track spread effect and credit quality of floating-rate assets.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,floating rate investments share of net invested assets,17,percent,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Interest Rate Environment text,Athene floating-rate investments represented 17% of net invested assets.,Provides denominator-normalized floating-rate exposure.,Reconcile the implied denominator with reported net invested assets.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,floating rate liabilities notional,45.1,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Interest Rate Environment text,Athene net reserve liabilities included 45.1B USD of floating-rate liabilities at notional.,Shows liability-side offset against floating-rate assets.,Assess duration and rate-risk management in statutory filings.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,net floating rate assets,3.5,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Interest Rate Environment text,Athene had 3.5B USD of net floating-rate assets after floating-rate liabilities.,Shows the net rate exposure is much smaller than gross floating-rate investments.,Use with net spread and hedge disclosures.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,capital available to deploy,8.6,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Capital available to deploy text,Athene estimated 8.6B USD of capital available to deploy at December 31 2025.,Shows retained capital capacity for growth and deployment beyond current invested assets.,Split between excess equity leverage capacity and ACRA commitments.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,excess equity capital available to deploy,3.2,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Capital available to deploy text,Athene disclosed 3.2B USD of excess equity capital within capital available to deploy.,Supports capital buffer and growth capacity analysis.,Compare to statutory capital and rating agency thresholds.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,untapped leverage capacity available to deploy,2.6,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Capital available to deploy text,Athene disclosed 2.6B USD of untapped leverage capacity assuming adjusted leverage ratio not more than 30%.,Shows leverage-dependent deployment capacity and rating constraint.,Validate against leverage and RBC disclosures.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,available undrawn capital at ACRA,2.8,USD billions,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Capital available to deploy text,Athene disclosed 2.8B USD of available undrawn capital at ACRA.,Shows third-party co-investment support for Athene growth transactions.,Map ACRA ownership and transaction participation.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,Athene economic ownership of ACRA 1 and ACRA 2,37,percent,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,ACRA text,Athene directly owns 37% of the economic interests in ACRA 1 and ACRA 2 and all voting interests.,Shows the insurance platform uses affiliated/on-demand capital vehicles rather than only direct balance-sheet capital.,Trace noncontrolling interests and ADIP investor economics.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,ADIP economic ownership of ACRA 1 and ACRA 2,63,percent,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,ACRA text,ADIP I and ADIP II own the remaining 63% economic interests in ACRA 1 and ACRA 2.,Shows third-party investor capital participates in Athene growth transactions.,Identify ADIP investor source and fee economics.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,internal ceded reinsurance quota-share range,80-100,percent,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Reinsurance Internal Ceded Reinsurance text,Substantially all existing deposits and new deposits from Athene U.S. insurance subsidiaries are reinsured to Bermuda subsidiaries subject to quota shares generally ranging from 80% to 100%.,Shows the liability channel includes internal reinsurance routing and jurisdictional capital structure.,Add Bermuda statutory capital and asset schedules.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,deferred annuity account value with rider benefits,24,percent,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Withdrawal Options for Deferred Annuities text,Approximately 24% of Athene deferred annuity account value contained rider benefits.,Adds liability-behavior context to spread and surrender risk.,Connect to lapse/surrender assumptions and stress sensitivity.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,typical free withdrawal allowance,5-10,percent,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Withdrawal Options for Deferred Annuities text,Policyholders are typically permitted withdrawals up to 5% or 10% of prior-year value after the first year without surrender charge or market value adjustment subject to limitations.,Shows policyholder liquidity terms that affect liability stickiness.,Quantify account value subject to surrender protection.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,surrender charge period,3-20,years,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Withdrawal Options for Deferred Annuities text,Withdrawals above allowed amounts are assessed surrender charge and MVA during a period generally ranging from 3 to 20 years.,Supports the durability of liabilities but also identifies behavioral risk.,Compare surrender behavior under rate stress.,extracted-from-sec-10k-html
CF-004,Apollo / Athene,FY2025,weighted average base surrender charge,6,percent,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,Withdrawal Options for Deferred Annuities text,Weighted average base surrender charge excluding MVA was 6% for Athene deferred annuities at December 31 2025.,Shows measurable friction against policyholder withdrawals.,Track alongside surrender rate and outflow history.,extracted-from-sec-10k-html
