industrial_baseline_id,linked_manifest_id,linked_cipe_id,company,ticker,source_id,source_file,source_type,period,subtheme,exact_metric_label,value,unit,evidence_bucket,safe_claim,boundary,next_source
CIIAB-001,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,fleet-access revenue,Total revenue for the quarter,4.208,B USD,revenue-baseline,United Rentals had Q4 2025 total revenue of 4.208B USD.,Revenue scale alone does not prove fleet productivity or return on fleet capital.,FY2025 10-K revenue and fleet tables
CIIAB-002,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,fleet-access revenue,Rental revenue for the quarter,3.581,B USD,revenue-baseline,United Rentals converted fleet access into 3.581B USD of Q4 rental revenue.,Rental revenue includes owned equipment rentals re-rent and ancillary revenue.,rental revenue component table
CIIAB-003,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,fleet-access revenue,Total revenue for the full year,16.099,B USD,revenue-baseline,United Rentals had FY2025 total revenue of 16.099B USD.,Total revenue does not isolate fleet rental economics or specialty mix.,FY2025 10-K segment and rental revenue tables
CIIAB-004,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,fleet-access profitability,Adjusted EBITDA for FY2025,7.328,B USD,cash-conversion-baseline,United Rentals had FY2025 adjusted EBITDA of 7.328B USD.,Adjusted EBITDA is non-GAAP and needs reconciliation to fleet capex and cash flow.,FY2025 10-K adjusted EBITDA reconciliation
CIIAB-005,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,fleet-access cash conversion,Net cash provided by operating activities,5.190,B USD,cash-conversion-baseline,United Rentals generated 5.190B USD of operating cash flow in FY2025.,Operating cash flow must be read with fleet purchases and used-equipment proceeds.,FY2025 10-K cash-flow statement
CIIAB-006,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,fleet-access cash conversion,Free cash flow including merger and restructuring related payments,2.181,B USD,cash-conversion-baseline,United Rentals generated 2.181B USD of free cash flow while funding a large rental fleet.,Free cash flow is non-GAAP and must be reconciled to rental-equipment purchases and equipment sale proceeds.,FY2025 10-K free cash flow reconciliation
CIIAB-007,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,fleet capex,Full-year gross rental capital expenditures,4.189,B USD,fleet-capex-baseline,United Rentals absorbed 4.189B USD of gross rental capital expenditures in FY2025.,Gross rental capex does not equal net fleet growth without used-equipment sale proceeds and OEC roll-forward.,fleet roll-forward and used-equipment sale table
CIIAB-008,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-10K,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY 2025,fleet capex,Payments for purchases of rental equipment,4.149,B USD,fleet-capex-cash-baseline,The FY2025 10-K confirms 4.149B USD of cash payments for rental-equipment purchases.,Cash purchases differ from management gross rental capex because timing and definitions can differ.,fleet capex reconciliation
CIIAB-009,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-10K,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY 2025,fleet capex,Proceeds from sales of rental equipment,1.413,B USD,fleet-recycling-baseline,United Rentals recycled 1.413B USD of proceeds from rental-equipment sales in FY2025.,Used-equipment proceeds must be paired with OEC recovery and fleet age to assess fleet quality.,used-equipment sales and recovery table
CIIAB-010,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-10K,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY 2025,fleet capex,Net payments for rental capital expenditures,2.736,B USD,net-fleet-capex-baseline,United Rentals' net rental capital expenditures were 2.736B USD in FY2025 after rental-equipment sale proceeds.,Net rental capex still needs OEC movement and utilization to prove attractive incremental return.,fleet OEC and utilization table
CIIAB-011,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-10K,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY 2025,fleet scale,Fleet OEC at December 31 2025,22.48,B USD,fleet-scale-baseline,United Rentals ended 2025 with fleet OEC of 22.48B USD.,OEC is asset scale and not by itself utilization or margin proof.,fleet utilization and productivity methodology
CIIAB-012,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-10K,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY 2025,fleet scale,Equipment units at December 31 2025,1095000,units,fleet-scale-baseline,United Rentals ended 2025 with about 1.095M equipment units.,Unit count mixes very different asset types and ticket sizes.,fleet type mix table
CIIAB-013,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-10K,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY 2025,fleet scale,Fleet age at December 31 2025,49.5,months,fleet-quality-baseline,United Rentals disclosed fleet age of 49.5 months at year-end 2025.,Fleet age needs utilization and maintenance cost to assess quality.,fleet maintenance and utilization metrics
CIIAB-014,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-10K,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY 2025,fleet productivity,Fleet productivity for FY2025,2.2,% YoY,fleet-productivity-baseline,United Rentals' full-year fleet productivity increased 2.2% year over year.,Fleet productivity is a management metric combining rates utilization and mix.,fleet productivity bridge
CIIAB-015,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,funding and leverage,Year-end net leverage ratio,1.9,x,leverage-baseline,United Rentals ended FY2025 at 1.9x net leverage.,Net leverage does not identify facility-level funding for fleet purchases.,debt maturity and facility table
