synthesis_id,area,current_answer,confidence,open_question,working_hypothesis,answer_mechanism,next_artifact,boundary
CFRSAS-001,End-to-end goal,"Prove the chain from original capital source to platform, wrapper, instrument, borrower or asset, use of proceeds, operating output, cash durability, risk, and safe claim.",high,"Can every major claim travel the whole chain without skipping a link?","The useful research product is a mechanism map, not a theme label.","For each row capture role, wrapper, source, amount, period, use, output metric, bank role, proof level, safe sentence, and disproof test.",capital-flow-end-to-end-goal-and-answer-mechanism.md,"Do not imply the full chain is proven for every company."
CFRSAS-002,Capital destination,"Capital is visibly reaching named borrowers, grid and power assets, LNG and midstream systems, fleet and collateral pools, backlog-heavy contractors, acquisition platforms, and sponsor-backed operating companies.",medium-high,"Which dollars are productive capacity versus acquisition, refinancing, liquidity, or control transfer?","The cycle is mixed: some capital builds output, some buys assets, some refinances, and some provides flexibility.","Classify every destination by use-of-proceeds class and keep same-period totals separate from audit rows.",capital-flow-use-of-proceeds-classification-pass-1.md,"Do not treat destination proof as productive-growth proof."
CFRSAS-003,Source of capital,"Visible wrappers include BDCs, insurers, retirement-linked platforms, public debt investors, ABL and AR lenders, private-credit funds, and bank facilities.",medium,"Can ultimate investor or liability sources be tied to named borrower exposure in the same period?","Source proof depends on wrapper type: BDC leverage and equity, insurer liabilities, fund LPs, securitization lenders, noteholders, or banks.","Pull vehicle annual reports, statutory filings, prospectuses, leverage notes, funding notes, and adviser disclosures.",capital-flow-capital-source-to-vehicle-bridge-pass-1.md,"Wrapper visibility is not the same as ultimate-source proof."
CFRSAS-004,Vehicle and wrapper,"The Ares borrower layer classifies public BDCs, non-traded BDC/private-credit funds, registered funds, private funds, direct-lending programs, and transaction-context sources.",high,"Which liabilities or investor bases fund each vehicle's assets?","Vehicle identity is mostly solved for the visible holder layer; capital-stack decomposition is the next proof layer.","Build vehicle capital-stack rows with assets, debt, notes, NAV/equity, leverage, investor base, adviser, and source visibility.",capital-flow-vehicle-capital-stack-decomposition-pass-1.md,"Do not allocate vehicle capital to a borrower without same-period bridge evidence."
CFRSAS-005,Private-credit borrower evidence,"The Ares borrower table has 83 normalized holder/source-taxonomized rows and a 9-row same-period borrower exposure control.",high,"Are holder rows slices of larger facilities or close to complete packages?","Holder evidence is strong for named exposure but weak for full facility size unless reconciled to debt documents.","Use credit agreements, amendments, lender allocations, rating reports, and borrower debt notes to reconstruct facility size.",capital-flow-ares-borrower-holder-expansion-pass-1.md,"BDC fair value is not total borrower debt."
CFRSAS-006,Use of proceeds,"Private-credit borrower flows are mixed: acquisition finance, consolidation, continued-growth facilities, incremental commitments, transaction-only leads, and selected repayment or termination cases are visible.",medium,"Which flows funded organic growth, capex, refinancing, acquisitions, working capital, rescue, or dividends?","Many borrower flows are acquisition/consolidation or refinancing mechanisms rather than clean organic capex.","Upgrade with funds-flow language from credit agreements, merger proxies, rating reports, releases, and capex schedules.",capital-flow-use-of-proceeds-classification-pass-1.md,"Do not infer use of proceeds from borrower name or sector alone."
CFRSAS-007,Bank role,"Selected bank-facility takeout can be proven, while broad bank replacement remains unproven.",medium,"Did banks exit completely or remain through revolvers, agency, treasury, hedging, collateral lending, or securitization support?","Private credit often replaces or supplements bank term debt while banks remain in other roles.","Search payoff notices, terminations, UCC amendments, lender lists, ratings, administrative-agent roles, and pre/post facility maps.",capital-flow-bank-role-after-private-credit-pass-1.md,"Do not say banks are disappearing from corporate lending."
CFRSAS-008,Operating conversion,"URI and Sterling have the strongest operating-conversion evidence; Cheniere has a strong entity/cargo/output bridge; ET has company-level capacity and financing evidence.",medium,"Did financing produce durable output, cash flow, capacity, backlog conversion, utilization, cargoes, rate base, or returns?","The best signals appear where capital-flow evidence meets repeated operating conversion evidence.","Track revenue, EBITDA, cash conversion, OEC, utilization, MW, cargoes, rate-base additions, backlog burn, project milestones, and customer contracts.",capital-flow-operating-conversion-scorecard-pass-1.md,"Proxy-grade output evidence is not project-return proof."
CFRSAS-009,Aggregation control,"Row-level audit evidence, same-period borrower controls, and master-rollup promoted totals are now separated.",high,"Which number is allowed in each external sentence?","Different questions require different denominators and period controls.","Enforce row type, period, duplicate, same-period, rollup, and allowed-use fields in generated tables.",capital-flow-ares-borrower-same-period-exposure-summary-pass-1.csv,"Do not sum mixed-quarter or comparative rows into a current exposure claim."
CFRSAS-010,Publication control,"The publication-ready claim register has 15 rows: 14 publication-ready-bounded and 1 internal-only.",high,"Which claims can move from internal research to external writing?","Publication-ready means bounded sentence control, not complete proof of the thesis.","Use approved sentence, proof level, evidence route, boundary, forbidden sentence, use condition, contrary-role check, and next-proof fields.",capital-flow-publication-ready-claim-register-pass-1.md,"Do not publish internal-only insurance/retirement source-quality claims yet."
