match_row_id,detail_row_id,coordinate_row_id,rank,cusip,cusip_marker_type,issuer_or_description,owned_page,owned_parser_row_id,book_adjusted_carrying_value,interest_received_during_year,interest_income_due_accrued,payment_due_at_maturity,same_cusip_acquired_rows,same_cusip_disposed_rows,same_cusip_acquired_and_disposed_rows,same_cusip_event_rows,same_cusip_event_pages,same_cusip_event_money_tokens,largest_event_money_token,event_money_token_sum,continuity_status,cash_proof_status,proof_use,boundary,next_action
CFKKRGACOBIPCM-001,CFKKRGACOBIBD-001,CFKKRGACEDCOB-1006,1,90231*-AA-0,statutory-private-marker-cusip,,240,,202125000,17419245,6585906,208177521,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-002,CFKKRGACOBIBD-002,CFKKRGACEDCOB-0015,2,54438C-PA-4,standard-cusip-like,LOS ANGELES CALIF CMNTY COLLEGE DIST,218,CFKKRGACEDP-0015,56626113,3093525,1288969,47376763,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-003,CFKKRGACOBIBD-003,CFKKRGACEDCOB-0563,3,458140-BM-1,standard-cusip-like,INTEL CORP,230,CFKKRGACEDP-1704,66417686,2902052,778820,64380157,0,1,0,1,262,8,1815000,7648591,owned-interest-plus-disposal-same-cusip-visible,proceeds-candidate-raw-token-hold,ranked same-CUSIP disposal/proceeds continuity candidate,"same CUSIP appears in owned-interest and disposal sections, but raw disposal tokens are not reconciled to consideration, book value, gain/loss, proceeds, or cash settlement","run coordinate column extraction on the matching disposal page and reconcile consideration, book value, gain/loss, and interest/dividend fields"
CFKKRGACOBIPCM-004,CFKKRGACOBIBD-004,CFKKRGACEDCOB-0981,4,94974B-GU-8,standard-cusip-like,WELLS FARGO & CO,240,CFKKRGACEDP-1496,45705863,2623425,174895,56541713,1,0,0,1,255,3,55230000,101994252,owned-interest-plus-acquisition-same-cusip-visible,same-year-purchase-context-visible-no-proceeds,ranked same-CUSIP acquisition context for owned interest row,"same CUSIP appears in owned-interest and acquisition sections, but acquisition tokens do not prove use of proceeds, borrower receipt, or later cash return","inspect acquisition page columns and issuer documents to test purchase route, wrapper, and borrower/use context"
CFKKRGACOBIPCM-005,CFKKRGACOBIBD-005,CFKKRGACEDCOB-0081,5,78486#-AA-3,statutory-private-marker-cusip,,219,,61250000,2305722,552611,,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-006,CFKKRGACOBIBD-006,CFKKRGACEDCOB-1007,6,L9632@-AA-0,statutory-private-marker-cusip,,240,,21019811,1992125,1252938,22175901,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-007,CFKKRGACOBIBD-007,CFKKRGACEDCOB-0957,7,92343V-DS-0,standard-cusip-like,VERIZON COMMUNICATIONS INC,239,CFKKRGACEDP-0947,37084038,1692452,357295,34614226,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-008,CFKKRGACOBIBD-008,CFKKRGACEDCOB-0747,8,68389X-CK-9,standard-cusip-like,ORACLE CORP,234,CFKKRGACEDP-1391,25630607,1574925,227489,,1,0,0,1,253,3,25667169,48820278,owned-interest-plus-acquisition-same-cusip-visible,same-year-purchase-context-visible-no-proceeds,ranked same-CUSIP acquisition context for owned interest row,"same CUSIP appears in owned-interest and acquisition sections, but acquisition tokens do not prove use of proceeds, borrower receipt, or later cash return","inspect acquisition page columns and issuer documents to test purchase route, wrapper, and borrower/use context"
CFKKRGACOBIPCM-009,CFKKRGACOBIBD-009,CFKKRGACEDCOB-0019,9,072024-NV-0,standard-cusip-like,BAY AREA TOLL AUTH CALIF TOLL BRDG REV,218,CFKKRGACEDP-0019,25657269,1339226,334807,8368855,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-010,CFKKRGACOBIBD-010,CFKKRGACEDCOB-0651,10,58013M-FA-7,standard-cusip-like,MCDONALD'S CORP,232,CFKKRGACEDP-0642,30494597,1322344,80810,10216092,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
