section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARBMEX-001,opening_frame,The Commodity Whiplash Transfer; The Vertical Integration Ratchet; The AI Infrastructure Toll,"Demand does not build anything until the required inputs can be sourced, processed, delivered, financed, and paid for.","society wants more housing/power/food/factories/data centers/defense/infrastructure -> physical input demand -> producer/processor/distributor/quarry/mill/chemical plant/mine/fertilizer plant -> price/cost spread -> working capital/capex/debt -> cash",Freeport; Nucor; Vulcan; Martin Marietta; CF Industries; Steel Dynamics; Dow; Linde,realized price; volume; cash cost; utilization; reserves; capex; pass-through; contract structure; inventory; OCF; FCF,"Use as a no-background materials frame, not as proof that every scarce input creates producer cash."
ARBMEX-002,hidden_denominator,AI Infrastructure Toll; base theme page,"Every real buildout has an input bill, so materials reveal whether an abstract growth story can become physical.",final demand -> input requirement -> material supplier -> price/cost spread -> cash after working capital and capex,Freeport; Nucor; Vulcan; Martin Marietta; CF Industries,copper; steel; aggregates; fertilizer; chemicals; lumber; capex; source documents,Safe claim: materials reveal physical feasibility.
ARBMEX-003,scarcity_vs_cash,all three old dynamics,"Scarcity and cash are not the same thing; scarcity matters only if it survives production cost, capex, utilization, contract lag, and working capital.",scarce input -> higher selling price -> production cost/capex/utilization/contract lag/working capital -> OCF/FCF,all materials companies,unit cost; sustaining capital; utilization; working capital; OCF; FCF; debt,Safe claim: scarcity is useful only if it converts into cash.
ARBMEX-004,commodity_whiplash_transfer,Commodity Whiplash Transfer,"Commodity volatility moves through contracts; it does not land evenly across the chain.",input shock -> contract terms/hedges/pass-through/inventory/customer leverage -> margin shift -> cash effect,CF Industries; Freeport; Cleveland-Cliffs; Crown; Ball; Mondelez,realized price; input cost; contract reset; pass-through clause; gross margin; receivables,Safe claim: commodity volatility is a transfer mechanism.
ARBMEX-005,cost_curve_kings,Commodity Whiplash Transfer,"The low-cost producer keeps more of a high selling price, while the high-cost producer may only survive the same price environment.",market price -> unit cash cost -> sustaining capital -> taxes/royalties -> debt/shareholder returns,Freeport; CF Industries; Nucor; Commercial Metals; Rio Tinto,realized price; unit cash cost; production volume; sustaining capital; grade; OCF; FCF,Safe claim: cost position decides how much price becomes cash.
ARBMEX-006,reserve_and_location_scarcity,AI Infrastructure Toll; base theme page,"Reserve quality and location can be more important than headline demand because material in the wrong place or grade may not solve the customer's problem.",local/high-quality reserve -> hard-to-replace supply position -> price/freight advantage -> margin -> cash after depletion and reinvestment,Vulcan; Martin Marietta; Knife River; Freeport; Rio Tinto; BHP,reserves; quarry location; freight distance; grade; permitting; depletion; capex,Safe claim: location and quality are part of pricing power.
ARBMEX-007,processing_capacity,Vertical Integration Ratchet; AI Infrastructure Toll,"The bottleneck may sit at the conversion layer rather than the raw resource layer.",raw input -> processing plant/mill/converter -> specification/delivery -> customer invoice -> utilization/energy/maintenance/working capital -> cash,Nucor; Steel Dynamics; Dow; Linde; Crown; Ball; TTM Technologies,capacity; utilization; energy cost; maintenance; specification; customer concentration; OCF,Safe claim: usable material requires processing capacity.
ARBMEX-008,contract_power_and_pass_through,Commodity Whiplash Transfer,"Pricing power has to be proven in contract behavior, especially repricing speed and who holds pass-through rights.",contract structure -> repricing speed -> margin protection or lag -> receivables and cash collection,Cleveland-Cliffs; CF Industries; Crown; Ball; packaging firms; steel suppliers,contract reset; index pricing; pass-through; hedges; volume; gross margin; receivables,Safe claim: ask who had the right to reprice and when.
ARBMEX-009,vertical_integration,Vertical Integration Ratchet,"Integration is good only when the owned step changes cost, availability, customer dependence, or cash conversion.",supply-chain risk -> acquisition/capex -> owned input/process/channel -> margin protection or complexity drag -> cash,Commercial Metals; Suncor; Cleveland-Cliffs; Nucor; Steel Dynamics; materials distributors,acquisition cost; debt; input cost; utilization; segment margin; integration savings; FCF,Safe claim: integration can protect or trap cash depending on the actual step owned.
ARBMEX-010,ai_infrastructure_materials,AI Infrastructure Toll,"AI capex creates a materials bill, but the cash winner depends on local scarcity, backlog quality, margin, and execution capacity.",hyperscaler capex -> data-center site/power need -> quarry/steel/concrete/electrical/backup-power/cooling/contractor demand -> backlog/revenue -> working capital/capex -> cash,Martin Marietta; Vulcan; Commercial Metals; Nucor; Comfort Systems; EMCOR; Generac; TTM,backlog; aggregates shipments; steel margins; capex; contractor RPO; inventory; OCF; FCF,Safe claim: AI is partly a physical materials and execution story.
ARBMEX-011,cyclicality_and_demand_destruction,Commodity Whiplash Transfer,"High prices can destroy volume or delay projects, so the final customer is often the circuit breaker.",higher input price -> customer margin pressure -> pass-through attempt -> volume decline/project delay -> lower utilization -> cash compression,Mondelez; builders; automakers; construction customers; fertilizer buyers,volume; price/mix; order delay; utilization; customer inventory; margin; OCF,Safe claim: high price can become demand destruction.
ARBMEX-012,inventory_and_working_capital,all three old dynamics,"Working capital is where material demand becomes either cash quality or cash strain.",order or price increase -> inventory/production outlay -> shipment -> receivable -> collection -> operating cash,materials distributors; steel mills; packaging firms; chemical companies; fertilizer companies,inventory; receivables; payables; days sales outstanding; OCF; FCF; debt; liquidity,Safe claim: inventory and receivables are proof fields, not accounting footnotes.
ARBMEX-013,permitting_environmental_cost,base theme page; AI Infrastructure Toll,"Some scarcity is physical; some is legal, environmental, and political.",needed material -> permit/environmental constraint -> slower supply or higher compliance cost -> price/cost pressure -> cash after liabilities,mines; quarries; chemical plants; mills; fertilizer plants,permits; reclamation liabilities; capex; compliance cost; water; emissions; local opposition,Safe claim: supply can be constrained by law and community approval.
ARBMEX-014,company_reading_rules,all three old dynamics,"The same theme cannot be proven with one metric across mining, steel, aggregates, chemicals, fertilizer, packaging, and industrial gas.",company type -> correct operating denominator -> correct proof fields -> cash-quality conclusion,Freeport; Nucor; Vulcan; CF Industries; Steel Dynamics; Dow; Linde; Martin Marietta,theme-specific operating metrics plus cash-flow statement and balance sheet,Safe claim: read each company by its material role.
