system_family,system_type,company_name,ticker,sector,industry,company_packet_path,control_mode,what_layer_it_controls,main_demand_engine,recurring_pressure_type,asset_embeddedness,main_operating_constraint,main_open_extension,last_updated,status
"Modern real-estate and infrastructure","Logistics land and warehouse infrastructure",Prologis Inc.,PLD,"Real Estate","REIT - Industrial Real Estate","/home/manishmehta/ui-projects/annual-report-research/extracted/real-estate/reit-industrial-real-estate/prologis-inc/company-packet.md","owns strategic logistics property and development rights","industrial campuses occupancy lease commencements and power-linked land optionality","logistics demand embedded rent growth strategic capital and data-center power pipeline","capital discipline replacement cost and occupancy durability","high","capital deployment development timing and occupancy durability","compare against Equinix and Digital Realty on logistics-property versus digital-capacity property",2026-08-10,in-progress
"Modern real-estate and infrastructure","Interconnection-dense digital-campus infrastructure","Equinix Inc.",EQIX,"Real Estate","REIT - Specialty Real Estate","/home/manishmehta/ui-projects/annual-report-research/extracted/real-estate/reit-specialty-real-estate/equinix-inc/company-packet.md","owns campuses and monetizes ecosystem density","carrier-dense and cloud-dense datacenter campuses interconnections and recurring digital presence","AI cloud network demand bookings growth and switching friction","power availability capacity delivery and constant reinvestment","high","power and campus-capacity delivery","compare against Digital Realty on interconnection density versus hyperscale and powered-land emphasis",2026-08-10,in-progress
"Modern real-estate and infrastructure","Hyperscale and powered-land digital-capacity infrastructure","Digital Realty Trust Inc.",DLR,"Real Estate","REIT - Office Real Estate","/home/manishmehta/ui-projects/annual-report-research/extracted/real-estate/reit-office-real-estate/digital-realty-trust-inc/company-packet.md","owns capacity and develops with private-capital structures","datacenter capacity powered land backlog and hyperscale leasing","hyperscale demand backlog conversion and interconnection-rich smaller-scale demand","energization timing development execution and customer concentration","high","capacity delivery and backlog conversion","compare against Equinix on ecosystem density versus hyperscale-capacity ownership",2026-08-10,in-progress
"Modern real-estate and infrastructure","Multifamily housing cash-flow infrastructure","AvalonBay Communities, Inc.",AVB,"Real Estate","REIT - Residential Real Estate","/home/manishmehta/ui-projects/annual-report-research/extracted/real-estate/reit-residential-real-estate/avalonbay-communities-inc/company-packet.md","owns stabilized apartment communities and development pipeline","same-store residential pricing NOI and apartment development yield","housing scarcity occupancy stability and steady residential cash flow","affordability pressure development yield and portfolio strategy","high","capital allocation and development economics","compare against Lennar and Home Depot on shelter ownership versus shelter production and maintenance demand",2026-08-10,in-progress
"Modern real-estate and infrastructure","Property and critical-infrastructure intermediation","CBRE Group Inc.",CBRE,"Real Estate","Real Estate Development","/home/manishmehta/ui-projects/annual-report-research/extracted/real-estate/real-estate-development/cbre-group-inc/company-packet.md","intermediates and operates around asset owners and occupiers","brokerage facilities project management financing and critical-infrastructure services","brokerage recovery mortgage rebound outsourced operations and data-center or power work","execution quality service margins and demand-mix complexity","mid","service execution and margin quality","compare against AECOM on real-estate services versus infrastructure-planning and orchestration",2026-08-10,in-progress
"Modern real-estate and infrastructure","Infrastructure planning and orchestration services",AECOM,ACM,"Industrial Goods","Engineering Construction","/home/manishmehta/ui-projects/annual-report-research/extracted/industrial-goods/engineering-construction/aecom/company-profile.md","designs advises and manages rather than owning the asset base","design advisory program management water transport facilities defense and infrastructure planning","public-program demand water and environment work defense and critical infrastructure","international timing working capital and backlog conversion quality","mid","international collections and project timing","compare against CBRE and Dycom on planning versus intermediation versus field execution",2026-08-10,in-progress
"Modern real-estate and infrastructure","Home-maintenance and pro-distribution retail infrastructure","The Home Depot, Inc.",HD,Services,"Home Improvement Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md","owns retail branch delivery and trade-relationship infrastructure","Pro branches store base delivery assets home services and contractor workflow","repair maintenance storm work project demand and pro distribution","housing pressure large-project deferral and integration execution","high","project timing and integration execution","compare against Lowe's on Pro system depth and against Builders FirstSource on downstream versus upstream builder workflow",2026-08-10,in-progress
"Modern real-estate and infrastructure","Home-maintenance and pro-distribution retail infrastructure","Lowe's Companies, Inc.",LOW,"Consumer Goods","Home Improvement Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md","owns retail branch distribution and loyalty-linked workflow assets","Pro sales online growth home services loyalty stores branches and distribution centers","repair and remodel demand Pro penetration and digital conversion","housing pressure acquisition absorption and project-timing variability","high","acquisition integration and housing-sensitive demand mix","compare against Home Depot on similar industry different sector placement and system thickening speed",2026-08-10,in-progress
"Modern real-estate and infrastructure","Builder supply prefabrication and labor-efficiency infrastructure","Builders FirstSource, Inc.",BLDR,"Industrial Goods","General Building Materials","/home/manishmehta/ui-projects/annual-report-research/extracted/industrial-goods/general-building-materials/builders-firstsource-inc/company-packet.md","supplies fabricates and services professional builders","components millwork installation prefabrication and digital builder workflow","housing starts repair and remodel and labor-saving value-added adoption","commodity deflation weak starts and margin protection","mid-to-high","weak starts and commodity pressure","compare against Lennar and Sherwin-Williams on direct building production versus supply and upkeep",2026-08-10,in-progress
"Modern real-estate and infrastructure","Direct homebuilding and affordability-engineering infrastructure","Lennar Corporation",LEN,"Industrial Goods","Residential Construction","/home/manishmehta/ui-projects/annual-report-research/extracted/industrial-goods/residential-construction/lennar-corporation/company-packet.md","owns and turns housing inventory with integrated finance capture","home production incentives mortgage and title capture cycle-time management and land-light throughput","affordability-sensitive demand deliveries incentives and inventory turns","mortgage rates margin pressure and cautious buyer sentiment","high","gross-margin pressure and buyer affordability","compare against AvalonBay on shelter ownership versus shelter production and against Builders FirstSource on downstream versus upstream housing economics",2026-08-10,in-progress
"Modern real-estate and infrastructure","Controlled-distribution coatings and upkeep infrastructure","The Sherwin-Williams Company",SHW,"Basic Materials","Specialty Chemicals","/home/manishmehta/ui-projects/annual-report-research/extracted/basic-materials/specialty-chemicals/the-sherwin-williams-company/company-packet.md","controls contractor access through branch density and pricing","repaint cycles contractor workflow commercial accounts and property-maintenance demand","residential repaint commercial share gains and pro throughput","raw-material inflation weak new residential and pricing balance","mid","pricing discipline and pro-throughput durability","compare against Home Depot and Lowe's on contractor access through branch control versus broad retail footprint",2026-08-10,in-progress
"Modern real-estate and infrastructure","Connectivity and critical-facility field-execution infrastructure","Dycom Industries Inc.",DY,"Industrial Goods","Heavy Construction","/home/manishmehta/ui-projects/annual-report-research/extracted/industrial-goods/heavy-construction/dycom-industries-inc/company-packet.md","executes route buildout and inside-facility deployment","trenching routing splicing wireless structured cabling and inside-plant work","fiber builds hyperscaler route density BEAD and data-center demand","labor scarcity customer concentration and project timing","high","labor availability and project conversion timing","compare against AECOM and CBRE on field execution versus planning and intermediation",2026-08-10,in-progress
