selection_id,rank,chapter,recommended_role,reader_hook_strength,evidence_strength,proof_complexity,why_ranked_here,needed_before_publication,boundary
ARDRCS-001,1,power_scarcity_grid_reliability,first polished chapter,high,high,medium,"Best mix of reader hook annual-report metrics company examples and public regulatory proof routes","Add compact company evidence table and proof ladder from load to contract to recovery to cash",Writing selection only; does not prove customer cash or project return
ARDRCS-002,2,capital_allocation_private_markets,second chapter or proof anchor,high,high,high,"Best connection to big-money platforms but easier to overclaim because platform scale is not cash proof","Anchor with Accordia/Apollo statutory proof and platform route boundaries",AUM FPAUM and platform scale are not borrower receipt waterfall or return proof
ARDRCS-003,3,industrial_access_uptime_infrastructure,third chapter,medium-high,high,medium,"Strong operating insight and good conversion evidence through URI WESCO Sterling and distributor metrics","Add fleet productivity backlog branch density working-capital and OCF exhibit",Sales and backlog are not project collection or asset ROIC
ARDRCS-004,4,healthcare_access_care_delivery,human-centered chapter,high,medium,medium,"Very readable burden-transfer theme but needs tighter reimbursement and cash-conversion proof","Add medical-cost trend admissions census reimbursement labor and OCF table",Demand for care does not prove quality trust reimbursement or cash conversion
ARDRCS-005,5,built_environment_upkeep,supporting chapter,medium-high,medium,medium,"Clear shelter-as-burden theme but sub-lanes need tighter segmentation","Separate retail Pro coatings lumber waterworks and contractor-channel evidence",Housing exposure is not one uniform theme
ARDRCS-006,6,internet_software_digital_control_layers,conceptual chapter,medium-high,medium,medium,"Strong control-layer idea but evidence is more ARR/RPO than cash-flow proof","Add ARR RPO deferred revenue FCF customer concentration and AI/security demand table",Digital activity growth is not automatic operating leverage
ARDRCS-007,7,value_retail_pressured_consumer,reader-friendly chapter,high,medium,low,"Strong consumer behavior story but less connected to capital-flow backbone","Add traffic basket membership ads ecommerce margin shrink and inventory table",Trade-down is too blunt for the actual wallet-split mechanism
ARDRCS-008,8,working_capital_inventory_stress,proof box,medium,medium-high,medium,"More useful as evidence discipline than opening chapter","Build DSO inventory turn reserves margin OCF and collateral eligibility exhibit",Revenue growth and balance-sheet growth are not cash realization
ARDRCS-009,9,acquisition_rollup_backlog_conversion,proof box,medium,medium-high,medium-high,"Strong control against rollup overclaims but too technical for first chapter","Build acquisition funding acquired backlog backlog burn margin retainage and OCF exhibit",Transaction size and backlog are not value creation or cash collection
ARDRCS-010,10,debt_reshaping_refinancing,proof box,medium,medium-high,high,"Mechanically useful but too technical for the first broad essay chapter","Build source-use-settlement coupon relief fee tax liquidity and NPV exhibit",Refinancing mechanics are not value creation
