matrix_id,theme,subtheme,company,ticker_or_marker,why_it_belongs,what_it_does_plain,how_it_gets_paid,proof_metric_to_check,what_would_disprove,best_source_anchor,claim_status
ARCTM-001,Power scarcity,regulated recovery,NextEra Energy / FPL,NEE,FPL is the clearest local example of power demand becoming regulated cost recovery.,Builds and operates electric utility assets and asks regulators to let those costs flow into customer bills.,"Customer electric bills, approved recovery clauses, base rates, and utility cash flow.","SPPCRC revenue, billing determinants, rate factors, capex, regulatory assets, operating cash flow.","Costs are disallowed, usage base weakens, customers do not pay, or recovery is too delayed to cover capital cost.",annual-report-public-citation-source-list-pass-1.md; capital-flow-fpl-distribution-inspection-customer-receipt-source-pursuit-pass-1.md,source-visible-with-boundary
ARCTM-002,Power scarcity,utility capex and grid reliability,Duke Energy,DUK,Duke represents the large regulated-utility version of the same power scarcity problem.,"Owns regulated electric systems that must keep adding generation, grid, and storm-hardening assets.","Regulated rates, riders, approved capital recovery, and customer payments.","Rate base, capex plan, allowed ROE, customer growth, load growth, rider recovery.",Regulators reject recovery or customer load does not materialize.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-003,Power scarcity,transmission and load growth,American Electric Power,AEP,AEP represents transmission-heavy utility evidence where wires become the scarce growth asset.,Owns transmission and distribution systems that move power across regions.,"Transmission tariffs, regulated customer rates, and approved infrastructure recovery.","Transmission investment, rate base, load growth, FERC or state recovery, cash flow.","Transmission projects are delayed, unrecovered, or underused.",annual-report-final-integrated-theme-map-pass-1.csv; capital-flow-aep-duke-approved-recovery-bridge-pass-1.md,source-visible-with-boundary
ARCTM-004,Power scarcity,grid construction bottleneck,MasTec,MTZ,MasTec shows that power plans become actual field labor and backlog before they become usable capacity.,"Builds energy, communications, power delivery, and infrastructure projects for customers.","Project revenue, progress billing, collections, backlog conversion, and margins.","Backlog, contract assets, contract liabilities, revenue, EBITDA, operating cash flow.","Backlog is cancellable, margins are poor, cash collection lags, or customer funding is weak.",annual-report-public-citation-source-list-pass-1.md; capital-flow-mastec-project-cash-collection-pass-1.md,source-visible-with-boundary
ARCTM-005,Power scarcity,infrastructure contractor platform,Sterling Infrastructure,STRL,"Sterling shows smaller but clearer evidence of backlog, cash conversion, and credit capacity in infrastructure work.",Builds infrastructure and site-development projects that support economic activity.,"Project payments, contract liabilities, working-capital conversion, and operating cash flow.","RPO/backlog, contract liability, operating cash flow less capex, revolver capacity.","Project owners fail to fund work, backlog does not convert, or cash flow turns negative.",capital-flow-sterling-backlog-return-risk-bridge-pass-1.md,source-visible-with-boundary
ARCTM-006,Capital platforms,public-market and private-market operating system,BlackRock,BLK,"BlackRock shows how broad savings can be routed into public markets, model portfolios, technology workflow, and private credit after HPS.","Runs funds, ETFs, portfolio tools, advisory products, and private-market capabilities.","Management fees, technology fees, advisory fees, performance fees, and spread-like economics in some products.","AUM, net inflows, fee rate, technology services revenue, private-market data/workflow, HPS client AUM, HPS fee-paying AUM.","Clients withdraw money, fee rates compress, or the platform cannot connect savings to investable exposure.",annual-report-blackrock-capital-platform-extraction-pass-1.md; capital-flow-real-economy-funding-map.md,source-visible-with-boundary
ARCTM-007,Capital platforms,private credit and insurance-client capital,Blackstone,BX,"Blackstone is a major proof case for insurers and institutions sending money into credit, real estate, infrastructure, and private assets.","Raises and manages private funds, perpetual vehicles, credit funds, insurance SMAs, real estate, and infrastructure strategies.","Management fees, incentive fees, investment income, realizations, and distributable earnings.","Credit and Insurance AUM, inflows, deployed capital, SMA inflows, FRE, DE, realizations.","Raised capital is not deployed, returns are weak, redemptions rise, or borrower cash performance fails.",annual-report-public-citation-source-list-pass-1.md; capital-flow-blackstone-credit-insurance-pass.md,source-visible-with-boundary
ARCTM-008,Capital platforms,retirement liabilities into private credit,Apollo / Athene,APO,Apollo/Athene is the strongest architecture for tracing retirement liabilities into named credit instruments.,Collects retirement and insurance-linked liabilities through Athene and invests them through credit and yield assets.,"Spread income, asset management fees, retirement-services earnings, investment income, and capital gains.","Athene inflows, net invested assets, alternative investments, Schedule D holdings, investment income, spread related earnings.","Liability cost exceeds asset income, credit quality weakens, or named assets cannot be tied to source and return.",annual-report-public-citation-source-list-pass-1.md; capital-flow-apollo-athene-named-issuer-prototype-synthesis-pass-1.md,source-visible-with-boundary
ARCTM-009,Capital platforms,insurance-linked capital and private markets,KKR / Global Atlantic,KKR,KKR shows a second major path where insurance AUM and private-market investing sit inside one platform.,"Manages private equity, credit, infrastructure, and Global Atlantic insurance assets.","Fees, insurance operating earnings, investment income, carried interest, and realizations.","Global Atlantic AUM, credit AUM, insurance operating earnings, capital raised, capital invested.","Insurance assets fail to earn spread, capital deployment slows, or legal-entity schedules do not support the allocation.",annual-report-public-citation-source-list-pass-1.md; capital-flow-kkr-global-atlantic-borrower-allocation-pass-1.md,source-visible-with-boundary
ARCTM-010,Capital platforms,hard-asset and insurance capital,Brookfield,BN/BAM,"Brookfield shows capital flowing into infrastructure, renewable power, real estate, credit, and insurance-owned assets.",Raises and operates real assets and credit platforms tied to long-life assets.,"Asset management fees, carried interest, operating earnings, insurance spread, and realizations.","Insurance assets, invested assets, private-credit allocation, inflows, FFO, realizations.","Assets cannot generate cash, financing costs rise too much, or asset values reset lower.",annual-report-public-citation-source-list-pass-1.md; capital-flow-insurance-credit-channel-comparison.md,source-visible-with-boundary
