coverage_id,coverage_layer,sector_or_theme,current_count,current_status,what_is_covered,what_is_undercovered,first_principles_question,next_action,status
ARASTC-001,packet_coverage,All company packets,519,broad-packet-coverage,"The extracted folder contains 519 company packets across technology, services, industrial goods, consumer goods, basic materials, healthcare, energy, financials, real estate, utilities, retail, and industrials.","Not every packet has a deep written first-principles analysis.","What does the company actually do, who depends on it, what pressure does it absorb, and what would prove cash conversion?","Use packets as the broad source universe, not as proof that every sector has been equally synthesized.",covered-with-boundary
ARASTC-002,triage_coverage,All-company triage,519,broad-triage-coverage,"The all-company triage assigns all 519 companies to primary lanes including capex, power/grid, acquisition finance, debt/refinancing, asset-backed finance, insurance/retirement, private credit, public funding, and low-signal general rows.","Triage is classification, not a written sector essay or full source extraction.","Which companies have enough signal to deserve a deeper read?","Promote sector-balanced samples from the 190 higher-signal rows.",covered-with-boundary
ARASTC-003,deep_written_coverage,Company-analysis files,50,selective-deep-coverage,"There are 50 deep company-analysis files, concentrated in industrial goods, utilities, technology, financials, healthcare, services, basic materials, and consumer goods.","Deep written coverage is selective and not yet representative across all industries.","Which company-level reads are strong enough to become sector insight rather than isolated notes?","Add a sector-balancing pass if the goal is a full cross-sector report.",partial
ARASTC-004,sector_coverage,Technology,111 packets; 7 deep analyses,covered-but-narrowed,"Application software, internet information, communication equipment, IT services, data infrastructure, digital control, security, and online participation are present.","Semiconductors, hardware, telecom, media-adjacent technology, and software margin/cash conversion are less developed in the final article.","When digital activity grows, who controls identity, routing, security, compute, data, and user participation?","Add semiconductor/hardware/telecom subthemes if broad tech coverage matters.",partial
ARASTC-005,sector_coverage,Services,75 packets; 6 deep analyses,underdeveloped-in-final-wrap,"Discount retail, apparel, lodging, restaurants, casinos, advertising, air freight, and consumer/service formats appear in the packets.","Travel, restaurants, leisure, advertising, labor services, logistics, and cultural consumption are not fully synthesized.","How do households and businesses spend time, attention, travel, convenience, and trust under pressure?","Create a services and culture-consumption theme pass.",gap
ARASTC-006,sector_coverage,Industrial goods,63 packets; 10 deep analyses,strong-covered,"Industrial uptime, equipment rental, industrial supply, electrical distribution, construction, HVAC distribution, waterworks, and infrastructure execution are covered strongly.","Aerospace/defense manufacturing, waste, security services, and specialized equipment could be broadened.","Who keeps physical systems working when equipment, parts, labor, and execution are scarce?","Use as one of the strongest sector pillars.",covered
ARASTC-007,sector_coverage,Consumer goods,58 packets; 3 deep analyses,underdeveloped-in-final-wrap,"Packaging, personal products, toys/games, apparel, home improvement, and consumer-product demand are present in packets.","Brands, culture, household identity, beauty/personal care, food, packaging, and discretionary goods are not fully extracted into themes.","What do households keep buying to manage identity, comfort, convenience, health, and status?","Create a consumer goods and household identity theme pass.",gap
ARASTC-008,sector_coverage,Basic materials,48 packets; 3 deep analyses,underdeveloped-in-final-wrap,"Steel, lumber, chemicals, copper, gold, agricultural chemicals, industrial metals, and building materials appear in the corpus.","Materials cycle, reshoring inputs, mining, fertilizer, packaging inputs, and commodity-to-capacity themes need more synthesis.","Which physical inputs become scarce when infrastructure, housing, energy, food, and electronics demand rise?","Create a materials and input-scarcity theme pass.",gap
ARASTC-009,sector_coverage,Healthcare,47 packets; 7 deep analyses,covered-with-cash-gap,"Managed care, dialysis, infusion, home care, hospice, pharmacy/services, and specialized care access are covered in the healthcare chapter.","Devices, labs, biotech, distribution, drug stores, and care-quality economics are less represented.","Who organizes care access when patients, payers, providers, labor, reimbursement, and trust collide?","Add device/lab/drugstore subthemes if healthcare chapter needs full-sector breadth.",partial
ARASTC-010,sector_coverage,Energy,42 packets; selective capital-flow analyses,strong-capital-covered-not-cultural,"Oil/gas pipelines, independent oil/gas, refining, LNG, midstream, and stream/resource finance are heavily represented in capital-flow work.","Consumer energy burden, fuel affordability, climate-transition services, and energy culture are less developed.","How do energy molecules, power demand, infrastructure, and capital move from source to customer use?","Keep energy logistics as a proof theme; add energy affordability if writing broader social themes.",partial
ARASTC-011,sector_coverage,Financials,35 packets; 7 deep analyses,strong-platform-covered,"Asset managers, private credit, insurance-linked capital, banks, credit services, and capital-routing platforms are strongly represented.","Traditional banks, consumer credit, payments, insurance brokers, and household balance-sheet stress could be broader.","Who controls money routes, credit access, risk transfer, liquidity, and financial promises?","Add household credit/payments and bank deposit/loan subthemes if full financial coverage matters.",partial
ARASTC-012,sector_coverage,Real estate,19 packets; limited deep synthesis,underdeveloped-in-final-wrap,"Specialty REITs, lodging REITs, communication towers, property infrastructure, and real-asset platforms appear in packets.","Housing affordability, data-center real estate, towers, logistics property, hotels, and rent burden are not fully synthesized.","Who owns scarce locations, lease rights, shelter routes, and physical access points?","Create a real-estate scarcity and rent-rights theme pass.",gap
ARASTC-013,sector_coverage,Utilities,16 packets; 7 deep analyses,strong-covered,"Electric utilities, diversified utilities, water utilities, gas utilities, power scarcity, rate recovery, and customer-cash routes are covered strongly.","Gas distribution, water utilities, affordability, wildfire/resilience, and customer bill politics can be broadened.","Who gets permission to spend capital and recover it from customers?","Use as strongest regulated-infrastructure pillar; add affordability/resilience subtheme.",covered-with-expansion
ARASTC-014,societal_theme,Consumer pressure and culture,partial,needs-broader-pass,"Value retail covers pressured wallets and regret management.","Travel, restaurants, apparel, beauty, entertainment, casinos, lodging, toys, status, convenience, and time-use are underdeveloped.","How do people keep living, signaling, saving time, and avoiding regret under economic pressure?","Create a cultural-consumption and household-pressure theme pass.",gap
