gate,current_evidence,next_source_object,promotion_test,stop_rule
Q-03 Wheaton-Antamina,"metal-credit mechanism separated; April 1 $4.3B upfront payment and buyer funding mix joined",BHP issuance sale receivable bank receipt tax facility ledger,same-period BHP-to-Wheaton collection and allocation,require new settlement delivery reserve or lender document
CA-06 retail,H1 denominator and service boundaries controlled,matched payment settlement maintenance capital lease tax or service schedule,reconcile named cash to OCF and common-owner cash,do not double subtract balances or add service revenue one-for-one
Q-13 URI asset-backed,fleet cash and stress variables visible,populated borrowing base NOLV reserves draw and lifecycle return,tie legal availability to collateral and return,do not use capacity NBV OEC or resale as availability
PBF refinancing,June source-use and September proposal separated,trustee settlement accrued interest cash split fees taxes liquidity refinery cash,reconcile settlement liability cost and refinancing NPV,do not use coupon relief or OCF as NPV
Private credit,role and waterfall boundaries explicit,credit agreement lender allocation custody remittance closing flow debt service repayment,match lender funding through borrower receipt and repayment,do not rank arranger or fair value as funded cash
Physical capacity,URI Equinix Digital Realty workbench exists,project yield replacement capital JV funding dilution residual,tie capacity to project return and common residual,no pooled capacity multiple
Healthcare distribution,period-labeled cash and burdens exist,matched quarters post-close cohort Solaris schedule owner allocation,reconcile claims and working capital to common cash,do not rank unlike periods or adjusted FCF
Medical devices,funding and acquisition controls exist,cohort return lease collection restructuring collateral per-share,join cohort or funding to realized cash,do not promote utilization without cash join
KLA semiconductor,cycle panel and installed-base boundary exist,systems utilization renewals service denominator factoring unwind,reconcile service cash across cycle,no bookings backlog or reported FCF promotion
Power grid insurance,route diagnostics exist,FPL receipts utility recovery or named insurance remittance,match obligation collection cost and owner allocation,stop until new primary schedule
Atwell,facility route separated from Ares,credit agreement draws allocation borrower financials repayment,prove funding receipt debt service repayment,do not fill another lender gap
Restaurant franchising,franchisor controls exist,royalty advertising franchisee health capex support lease burden diluted cash,tie collections to maintenance-adjusted owner cash,no systemwide sales or mechanical OCF screen
Integrated oil gas,production cash capital claims separated,reserve replacement maintenance allocation netback claims debt residual,reconcile through-cycle economics to owner cash,no production or returns proxy
