acquisition_id,source_route,source_url,local_path,source_type,current_result,proof_effect,boundary,current_status,next_action,upgrade_test
CFAASSA-001,Athene statutory filings page,https://ir.athene.com/financial-information/statutory-filings,not-local-html,official investor relations filing index,"public page lists current and historical statutory filings for Athene legal entities including 2026 and 2025 statements",confirms official recurring source route,"route visibility is not Schedule D/BA extraction",route-visible,use page links as source inventory,"promote only when specific statutory statements are downloaded and parsed"
CFAASSA-002,Athene Annuity and Life Company 2025 statutory statement,https://d1io3yog0oux5.cloudfront.net/_5acb3e36d978caf20d77e057e3d67f55/athene/db/2370/22531/pdf/AAIA_4Q_2025_Statement_-_FINAL.pdf,raw/primary-sources/capital-flow/apollo/athene/statutory/2025/athene-annuity-and-life-company-2025-statutory-statement.pdf,official statutory PDF,"reachable PDF downloaded locally; HEAD content-length about 221368204 bytes; local file about 212M",moves Athene from route-visible to one core legal-entity statutory source acquired,"not yet parsed for holdings income credit quality or liabilities",downloaded-local-extraction-pending,build targeted page-range parser,"promote only when Schedule D/BA and income/liability pages are extracted"
CFAASSA-003,Pdf size/page count inspection,local pypdf check,raw/primary-sources/capital-flow/apollo/athene/statutory/2025/athene-annuity-and-life-company-2025-statutory-statement.pdf,local PDF metadata check,"pypdf opened the file and reported 9612 pages before text scan was stopped",confirms extraction needs targeted page ranges,"blind whole-file text extraction is too slow for this pass",metadata-visible,locate table of contents or schedule page ranges,"promote only if parser finds schedule and exhibit ranges"
CFAASSA-004,Athene Life Re Ltd year-end 2025 route,https://d1io3yog0oux5.cloudfront.net/_fd9b9a684a3b07e5afbf09f0754634d5/athene/db/2370/22528/pdf/ALRe%2B-%2BSTAT%2BFS%2B-%2BYear%2Bend%2B2025%2B%28unconsolidated%29.pdf,not-local,official statutory PDF route,"public search route exists but direct HEAD returned 403 in this environment",identifies second important legal entity route,"not acquired locally in this pass",route-visible-download-hold,retry via browser URL or filing page click route,"promote only if file is acquired and parsed"
CFAASSA-005,Athene 2026 statutory filings,https://ir.athene.com/financial-information/statutory-filings,not-local,current statutory filing index,"page lists Q2 2026 and Q1 2026 statutory filings for Athene Life Re Ltd and Q1 2026 filings for U.S. legal entities",supports current-period statutory acquisition plan,"not downloaded or extracted in this pass",current-route-visible,prioritize Q2 2026 ALRe and Q1 2026 U.S. entities after 2025 parser works,"promote only if current-period schedules are acquired and extracted"
CFAASSA-006,Bermuda Monetary Authority Athene Bermuda financial statement,https://cdn.bma.bm/documents/2026-07-16-21-19-56-Athene-Bermuda-2025-Financial-Statement-Group.pdf,not-local,regulator/audited financial PDF,"public search route exposes audited Athene Bermuda group financial statements",secondary support for Bermuda statutory/financial context,"not U.S. Schedule D/BA and not locally acquired here",route-visible,download only if Bermuda legal-entity bridge becomes priority,"promote only if reconciled to entity assets income liabilities and capital"
CFAASSA-007,Athene SEC 10-K route,https://ir.athene.com/sec-filings/all-sec-filings/content/0001527469-25-000016/ahl-20241231.htm,raw/primary-sources/capital-flow/apollo/fy-2025/apollo-2025-10k.html,SEC/consolidated filing route,"SEC route supports consolidated Athene statutory discussion and financial context",connects statutory route to existing Apollo/Athene evidence,"not legal-entity schedule detail",supporting-route-visible,use as bridge text not schedule proof,"promote only if statutory details are extracted from statutory statements"
CFAASSA-008,Current local Apollo/Athene Q2 evidence,local extraction CSV,analysis/company-first-principles/data/capital-flow-apollo-athene-q2-2026-extractions.csv,local extracted evidence,"Q2 2026 evidence has retirement-services inflows Athene-attributable inflows net invested assets alternatives and spread-related earnings",shows why statutory extraction matters,"does not identify legal-entity holdings or asset-level income",channel-proof-visible,join later to statutory extraction,"promote only if statutory rows tie inflows/assets/income/liabilities by entity"
CFAASSA-009,Current local Apollo/Athene FY2025 evidence,local extraction CSV,analysis/company-first-principles/data/capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv,local extracted evidence,"FY2025 evidence has direct-origination AUM ABF AUM Athene Accounts AUM net invested assets floating-rate context and capital available to deploy",supports credit-manufacturing and Athene-account scale,"AUM is not statutory admitted asset ownership or cash income",asset-quality-proxy-visible,join later to statutory holdings and income,"promote only if statutory ownership income and risk data are extracted"
CFAASSA-010,Current Apollo/Athene decision,local synthesis,analysis/company-first-principles/capital-flow-apollo-athene-statutory-source-acquisition-pass-1.md,derived control route,"one core Athene statutory source acquired locally but extraction remains pending",partial upgrade from route-visible to local-source-acquired,"not full statutory cash-return proof",partial-local-source-acquired-extraction-pending,targeted Schedule D/BA and investment-income parser,"promote only if Schedule D/BA holdings investment income liability cost credit quality and spread are extracted"
