funding_map_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,period,funding_metric,value,unit,calculation_or_source,funding_status,what_it_proves,what_it_does_not_prove,next_source
CIPFM-001,"CIESTE-001; CIESTE-003; CIESTE-005",Energy Transfer LP,ET,Capital-intensive buildout,Operating cash support for growth capex,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2/FY2026,Quarterly adjusted EBITDA versus growth capex guide midpoint,88.2,percent,"5.07B USD Q2 adjusted EBITDA / 5.75B USD FY2026 growth-capex guide midpoint",company-cash-capacity,"ET's quarterly adjusted EBITDA is large relative to the annual growth-capex program, showing internal cash-generation scale around the buildout.","Adjusted EBITDA is non-GAAP and quarterly; it does not show project-level free cash, retained cash after distributions, or exact funding source.","DCF reconciliation, distributions, retained cash, debt issuance, project capex schedule."
CIPFM-002,"CIESTE-002; CIESTE-005",Energy Transfer LP,ET,Capital-intensive buildout,DCF support for growth capex,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2/FY2026,Quarterly DCF versus growth capex guide midpoint,45.0,percent,"2.59B USD Q2 DCF attributable to partners / 5.75B USD FY2026 growth-capex guide midpoint",company-cash-capacity,"ET's DCF scale supports the idea that internal cash generation can contribute to funding growth capital.","DCF is not retained cash after distributions and does not allocate cash to Nederland, Lone Star, or other named projects.","Distribution coverage, retained cash after distributions, project-specific spend, debt maturity schedule."
CIPFM-003,"CIESTE-012; CIESTE-005",Energy Transfer LP,ET,Capital-intensive buildout,Revolver liquidity,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,Q2/FY2026,Unused five-year credit facility availability versus growth capex guide midpoint,65.4,percent,"3.76B USD unused availability / 5.75B USD FY2026 growth-capex guide midpoint",facility-capacity,"ET had meaningful revolver availability relative to the guided growth-capex program.","Revolver availability is backup liquidity, not proof that growth projects are revolver-funded.","Credit agreement, borrowing history, covenant availability, use-of-proceeds language."
CIPFM-004,"CIESTE-013; CIEAB-014",Energy Transfer LP,ET,Capital-intensive buildout,Debt stack scale,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,Q2 2026,Long-term debt less current maturities,68.393,B USD,"Company 10-Q balance-sheet/debt disclosure",balance-sheet-context,"ET's buildout sits on a very large partnership debt stack, so financing capacity and refinancing risk are central to the thesis.","Debt stack scale does not identify project-level lenders, maturities, covenants, or whether a project is high-return.","Debt maturity table, secured/unsecured split, recent note issuance, rating reports."
CIPFM-005,"CIESTE-008; CIESTE-009; CIESTE-010; CIESTE-011",Energy Transfer LP,ET,Capital-intensive buildout,Named project funding gap,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Nederland/Lone Star/y-grade funding status,unmapped,classification,"Named capacity rows have capacity and commercial evidence but no extracted project-specific funding table.",funding-gap,"The ET project rows now clearly identify what still has to be proven: project cost, funding source, contract economics, and in-service economics.","Capacity additions and long-term y-grade agreements do not by themselves prove financing stack or returns.","Nederland expansion project documents, Lone Star project cost, contract terms, debt/use-of-proceeds records."
CIPFM-006,"CIESTE-023; CIESTE-022",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Equity-funded growth capital,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Equity-funded share of Q2 growth capital,19.9,percent,"219M USD equity-funded Q2 growth capital / 1.1B USD Q2 growth capital",direct-funding-split,"Cheniere gives a rare explicit funding split: about one-fifth of Q2 growth capital was equity-funded.","The remaining funding source is not fully mapped by train or entity in this row.","CCH/SPL/CQP project-finance facility tables and cash-flow statement."
CIPFM-007,"CIESTE-023; CIESTE-022",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Equity-funded growth capital,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,H1 2026,Equity-funded share of H1 growth capital,24.8,percent,"520M USD equity-funded H1 growth capital / 2.1B USD H1 growth capital",direct-funding-split,"Cheniere's H1 disclosure confirms equity-funded growth capital is recurring within the 2026 buildout window.","The row still does not map the non-equity-funded portion to specific project debt, cash, or entity-level facilities.","Entity-level debt/facility schedule and project capex by train."
CIPFM-008,"CIESTE-021; CIESTE-022",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Capital allocation mix,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Q2 growth capital versus total capital deployed,124.4,percent,"1.1B USD Q2 growth capital / 884M USD Q2 capital deployed under capital allocation plan",definition-conflict,"The extracted rows expose a definition conflict: growth capital and capital deployed under the capital-allocation plan are not the same bucket and should not be combined casually.","The ratio above 100% shows these disclosures use different boundaries, not that Cheniere overspent its capital allocation plan.","Capital-allocation reconciliation, cash-flow statement, and management definitions."
CIPFM-009,"CIESTE-024; CIEAB-032",Cheniere Energy Inc.,LNG,Capital-intensive buildout,LNG debt stack,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,Long-term debt net of current debt and issuance adjustments,22.632,B USD,"Company 10-Q debt disclosure",balance-sheet-context,"Cheniere's LNG buildout is tied to a large debt stack that must be separated by entity and project before project-finance claims are made.","Company-level debt does not tell us SPL, CQP, CCH, or parent cash-flow waterfall.","Debt table by issuer/entity, maturity, interest, restrictions, and project-finance collateral."
CIPFM-010,"CIEPD-009; CIEPD-011; CIESTE-022; CIESTE-024",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Physical output plus funding stack,DOE LNG export detail plus Cheniere SEC filings,DOE workbook and SEC filings,Q2 2026,Q2 cargo/funding pairing,bounded,classification,"184 DOE vessel export rows and 640991.63 MMCF from Sabine Pass/Corpus Christi alongside 1.1B USD Q2 growth capital and 22.632B USD debt.",physical-plus-funding-context,"Cheniere has both physical output and funding-stack evidence in the same period, which is stronger than a narrative-only LNG buildout claim.","This pairing does not prove which cargoes or cash flows fund which train or debt entity.","Cargo-level reconciliation, train status, project finance, and debt-service schedule."
