gate_id,stage,question,entity_or_metric,evidence_value,period,source_artifact,current_status,what_is_proven,missing_upgrade
WPM-001,force,What economic force is being tested?,Capital concentration in scarce physical assets,Streaming structures route capital into long-life mine output without owning the whole mine,2026,analysis/themes/commodity-whiplash-initial-theme-memo.md,context-only,Industry hypothesis and burden-transfer question,Company-specific force linkage beyond the transaction
WPM-002,industry,What control point is being purchased?,Contractual claim on Antamina silver production,Defined payable production and payment formula,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,contract-visible,Named contractual destination and economic mechanism,Executed PMPA terms and BHP-only allocation
WPM-003,capital_deployment,What capital was deployed?,BHP Antamina PMPA upfront payment,4300000000 USD paid by Wheaton and approximately 4300000000 USD proceeds received by BHP,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-public-primary-source-upgrade-2026-09-15.md,two-sided-cash-confirmed,Named payment and counterparty proceeds are both publicly disclosed,Closing funds-flow account detail and exact funding-source allocation
WPM-004,contract,What output right was obtained?,Attributable payable silver production,67.50 percent current combined row; 90.0 percent payable factor,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-cumulative-received-sold-cashflow-pass-1.md,contract-and-row-visible,Contract/output denominator visible,BHP PMPA-only entitlement and legacy-stream separation
WPM-005,contract,What does the stream pay?,Production payment formula,20.0 percent of spot or price received,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,formula-visible,Contract cost mechanism visible,Actual settlement reconciliation by delivery
WPM-006,output,Did the named asset produce after closing?,Antamina attributable silver production,2300000 silver ounces in Q2 2026,Q2 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-production-receipt-bridge-pass-1.md,post-close-output,Post-close production and PMPA linkage,Delivered and sold ounces attributable only to BHP PMPA
WPM-007,output,Did product reach the stream owner?,Antamina combined ounces received and sold,56718000 silver ounces cumulative,Q2 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-cumulative-received-sold-cashflow-pass-1.md,combined-stream-proxy,Received/sold output visible,Invoice or settlement ledger and BHP-only split
WPM-008,output,Was there a delivery timing gap?,Payable but not delivered ounces,1412000 silver ounces in Q2,Q2 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-cumulative-received-sold-cashflow-pass-1.md,PBND-visible,Production-to-delivery timing risk visible,PBND rollforward to delivery and cash
WPM-009,cash_back,What cash did the stream generate?,Antamina stream cash flow generated to date,1171862000 USD cumulative,Q2 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-cumulative-received-sold-cashflow-pass-1.md,combined-cash-proxy,Combined-stream cash-flow proxy,Period-specific receipts and cash collection
WPM-010,cash_back,What were current stream economics?,Antamina revenue,277563000 USD H1 2026,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,stream-revenue-visible,Named stream revenue,Invoice/receipt tie-out and realized price
WPM-011,cash_back,What cash cost was visible?,Cost of sales excluding depletion,55340000 USD H1 2026,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-net-cash-return-pass-1.md,stream-cost-visible,Pre-depletion cash-cost proxy,Maintenance and allocated corporate burden
WPM-012,cash_back,What operating cash proxy was visible?,Antamina operating cash flow proxy,222223000 USD H1 2026,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-net-cash-return-pass-1.md,pre-tax-pre-interest-proxy,Stream-level OCF proxy,Antamina-specific tax and interest allocation
WPM-013,accounting,What accounting burden was recorded?,Antamina depletion,51322000 USD H1 2026,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-net-cash-return-pass-1.md,depletion-visible,Profit bridge after depletion,Interpretation in a full return model
WPM-014,accounting,What profit proxy was visible?,Antamina profit after depletion,170901000 USD H1 2026,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,pre-tax-pre-interest-profit-proxy,Accounting profit after depletion,After-tax financed common-owner residual
WPM-015,asset_denominator,What asset base was recorded?,Antamina stream assets,4708329000 USD,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,carrying-value-visible,Asset carrying denominator,Fair value and reserve-backed valuation
WPM-016,financing,How was the purchase funded?,Wheaton term loan and revolver context,"1.500B USD term loan plus revolver/bank-debt context; credit agreement requires all term-facility proceeds to partially finance the Antamina Mine Silver Stream Acquisition; Q2 statements report 1.500B USD term debt and 472M USD revolver debt",2026,analysis/company-first-principles/capital-flow-wheaton-antamina-credit-agreement-waterfall-boundary-2026-09-16.md,contractual-use-and-balance-visible,Contractual facility-to-acquisition use and period-end debt balances are visible,Exact drawdown notice seller-account funds flow cash-on-hand/revolver allocation and facility-specific repayment
WPM-017,financing,Who administered the debt?,Administrative agent,"Bank of Montreal",2026,analysis/company-first-principles/capital-flow-wheaton-antamina-debt-waterfall-return-proof-chase-pass-1.md,lender-channel-context,Named lender channel visible,Full lender allocation and debt-service ledger
WPM-018,life,How long can the asset produce?,Antamina reserve-life context,Mining support through approximately 2036,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-debt-waterfall-return-proof-chase-pass-1.md,reserve-life-context,Duration context visible,Reserve report and delivery curve
WPM-019,valuation,What does the current proxy imply?,Profile-calibrated Antamina scenario screen,"Base NPV -2661.045M USD and IRR -3.178%; bull NPV -1514.249M USD and IRR 1.524%; base uses 5.4 Moz first-ten-year profile and bull uses 6.0 Moz first-five-year profile",2026 profile screen,analysis/company-first-principles/combined-investment-research-pilot-01-antamina-scenario-workbench.md,illustrative-screen,Profile-calibrated NPV and IRR screens are reproducible under explicit burden and step-down assumptions,Reserve-backed delivery curve BHP-only settlement cash Antamina-specific tax and debt-service allocation
WPM-020,proof_level,What is the overall proof grade?,Wheaton Antamina named-cash chain,Upfront cash loop confirmed; delivery and financed-return loop incomplete,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-public-primary-source-upgrade-2026-09-15.md,qualified-not-full-proof,Two-sided upfront payment/proceeds confirmation plus operating proxy,Delivery receipts waterfall legal availability and full return model
WPM-021,falsifier,What would weaken the thesis?,Delivery/cash/financing failure tests,Lower BHP deliveries; persistent PBND; weak prices; tax/interest absorbing cash; lower reserve life,Next filings,analysis/company-first-principles/combined-investment-research-pilot-01-wheaton-antamina.md,watchlist,Measurable disconfirming tests defined,Future filing results
