"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"ARUNHHA-001","UnitedHealth Group Incorporated","UNH","FY2025","revenue","447.6","B USD","healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md; extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","UnitedHealth is one of the largest healthcare money-routing platforms.","Revenue scale does not prove care quality, fair access, or clean cash collection.","healthcare-scale-visible"
"ARUNHHA-002","UnitedHealth Group Incorporated","UNH","FY2025","earnings from operations","19.0","B USD","extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","The platform remained profitable despite a difficult reset year.","Operating earnings do not prove patient outcomes or segment-level cash quality.","operating-profit-visible-with-boundary"
"ARUNHHA-003","UnitedHealth Group Incorporated","UNH","FY2025","net margin","2.7","percent","extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","The margin was thin relative to the scale of healthcare dollars routed.","Net margin does not identify medical-cost trend, reserve quality, or pharmacy transparency.","thin-margin-visible"
"ARUNHHA-004","UnitedHealth Group Incorporated","UNH","FY2025","adjusted EPS","16.35","USD","healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md; extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","Shareholder earnings were visible but pressured.","Adjusted EPS can exclude costs and does not prove durable access quality.","earnings-visible-with-boundary"
"ARUNHHA-005","UnitedHealth Group Incorporated","UNH","Q1 2026","revenue","111.7","B USD","extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","Revenue scale remained very large early in the recovery year.","Quarterly revenue does not prove medical-cost control or patient trust.","quarterly-scale-visible"
"ARUNHHA-006","UnitedHealth Group Incorporated","UNH","Q1 2026","earnings from operations","9.0","B USD","extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","Profitability improved materially from the reset baseline.","One-quarter operating recovery does not prove structural repair.","profit-recovery-visible-with-boundary"
"ARUNHHA-007","UnitedHealth Group Incorporated","UNH","Q1 2026","net margin","5.6","percent","healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md; extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","Margin recovery was visible.","Margin recovery can reverse if medical costs, policy pressure, or trust issues worsen.","margin-recovery-visible-with-boundary"
"ARUNHHA-008","UnitedHealth Group Incorporated","UNH","Q1 2026","adjusted EPS","7.23","USD","extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","Per-share earnings improved in the quarter.","Adjusted EPS does not prove better care or fair authorization practices.","quarterly-earnings-visible-with-boundary"
"ARUNHHA-009","UnitedHealth Group Incorporated","UNH","Q2 2026","revenue","112.0","B USD","healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md; extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","The platform maintained very large quarterly revenue.","Revenue durability still depends on pricing, regulation, membership, and trust.","current-revenue-visible"
"ARUNHHA-010","UnitedHealth Group Incorporated","UNH","Q2 2026","earnings from operations","8.0","B USD","healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md; extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","Profitability remained strong but below Q1.","Lower sequential operating earnings show recovery still needs qualification.","current-profit-visible-with-boundary"
"ARUNHHA-011","UnitedHealth Group Incorporated","UNH","2026 guidance","adjusted EPS guidance","19.50 to 20.00","USD","healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md; extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","Management raised the full-year adjusted EPS range.","Guidance is not proof; actual results, medical-cost trend, and cash flow must follow.","guidance-visible-with-boundary"
"ARUNHHA-012","UnitedHealth Group Incorporated","UNH","2026 guidance","expected operating cash flow","about 24.0","B USD","extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md","Company-level cash-flow expectation is visible.","Expected OCF does not prove segment cash conversion, payer-to-provider collections, or patient benefit.","cash-flow-guidance-visible-with-boundary"
