bridge_id,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFURICFRB-001,abl_reset_availability,United Rentals July 2025 ABL reset 8-K,SEC 8-K and local URI borrowing-base chase,July 2025,"URI disclosed approximately 2.428B USD available for additional ABL borrowings, net of letters of credit and subject to borrowing-base limitations.",2.428B USD available,abl-availability-visible,A dated public ABL availability amount exists after L/Cs and borrowing-base limitations.,It does not provide certificate components or eligible collateral values.,Borrowing-base certificate and collateral availability schedule.,Pass only if disclosed availability is reconciled to certificate components.
CFURICFRB-002,certificate_delivery_condition,URI July 2025 ABL agreement,SEC Exhibit 10.1 and local certificate source-boundary pass,May 31 2025 / July 2025 closing,The agreement says Agent and Lenders received a Borrowing Base Certificate prepared as of May 31 2025 as a closing condition.,certificate delivery condition visible,certificate-delivery-condition-visible,A real certificate existed in the lender closing package.,It does not expose the populated certificate values.,May 31 2025 certificate or lender closing package.,Pass only if the certificate itself or equivalent component-level values are obtained.
CFURICFRB-003,minimum_combined_availability,URI July 2025 ABL agreement,SEC Exhibit 10.1 and local certificate source-boundary pass,July 2025 closing,The agreement required Combined Availability after giving effect to the transaction to be at least 1.000B USD.,1.000B USD minimum Combined Availability,minimum-availability-condition-visible,There was a legal availability floor at closing.,It does not disclose actual Combined Availability or the calculation components.,Closing availability schedule and certificate components.,Pass only if actual closing Combined Availability and components are disclosed.
CFURICFRB-004,q2_liquidity_proxy,URI Q2 2026 earnings release and 10-Q,public earnings release plus local SEC extraction trail,Q2 2026,"Q2 total liquidity was 2.999B USD including 112M USD cash, implying about 2.887B USD of ABL plus AR availability.",2.887B USD implied ABL plus AR availability,liquidity-proxy-visible,URI liquidity was mostly facility availability rather than cash.,It does not split ABL from AR securitization or prove legal borrowing-base availability.,Facility availability schedule split by ABL and AR channel.,Pass only if availability is split and reconciled to legal facility definitions.
CFURICFRB-005,abl_draw_intensity,URI Q2 2026 10-Q debt table,local SEC 10-Q extraction trail,Q2 2026,The ABL balance was 1.666B USD against stated facility size of 4.500B USD.,37.0 percent draw intensity,draw-intensity-proxy-visible,URI was materially using but not exhausting stated ABL capacity.,Unused stated capacity is not legal availability after borrowing-base limits and reserves.,ABL availability schedule and borrowing-base certificate.,Pass only if stated unused capacity is reconciled to actual legal availability.
CFURICFRB-006,ar_collateral_pool,URI Q2 2026 10-Q debt note and June 2026 receivables amendment,local SEC 10-Q and receivables amendment trail,Q2 2026,"AR securitization borrowings were 1.414B USD and receivables in the collateral pool net of reserves/deductions were 1.779B USD.",125.8 percent collateral-pool coverage,receivables-collateral-proxy-visible,A public AR collateral-pool cushion exists after reserves and deductions.,It does not prove ABL equipment collateral eligibility or customer collection cash.,Monthly receivables report and ABL certificate.,Pass only if collateral pool advance constraints and availability are joined.
CFURICFRB-007,fleet_asset_base,URI Q2 2026 10-Q and earnings release,local SEC extraction trail and public earnings release,Q2 2026,Rental equipment NBV was 17.350B USD and OEC was 23.8B USD.,17.350B USD NBV; 23.8B USD OEC,fleet-asset-base-visible,URI has a large fleet asset base relative to facility size.,Fleet NBV and OEC are not eligible collateral NOLV or invested-capital denominators.,Eligible rental-equipment NBV/NOLV schedule and appraisal support.,Pass only if fleet values are filtered through eligibility appraisal NOLV and reserve rules.
CFURICFRB-008,fleet_cash_conversion,URI Q2 2026 earnings release and fleet return bridge,public earnings release plus local fleet-return artifacts,Q2 2026 / H1 2026,"Q2 rental revenue was 3.849B USD; H1 OCF covered 112.8% of gross rental capex and 162.0% of net fleet cash investment.",3.849B USD rental revenue; 112.8 percent gross capex coverage; 162.0 percent net fleet cash coverage,fleet-cash-conversion-proxy-visible,Fleet capital is paired with rental revenue and operating cash generation.,It does not prove source-to-purchase allocation fleet-class ROIC or asset-level cash return.,Fleet-class source/use schedule and lifecycle return model.,Pass only if source-to-purchase allocation and fleet-class cash return are joined.
CFURICFRB-009,return_proxy,URI Q2 2026 earnings release and segment asset-return proxy,public earnings release plus local segment-return artifacts,Q2 2026 / H1 2026,Company ROIC was 11.8%; H1 Specialty annualized equipment-rentals gross profit / average segment assets was 26.4%.,11.8 percent ROIC; 26.4 percent Specialty gross-profit/assets proxy,return-proxy-visible,URI has public company and segment return-quality indicators.,It does not prove lifecycle fleet ROIC fleet-class IRR NPV or asset-level yield.,Fleet-class OEC utilization rate time mix and lifecycle return model.,Pass only if a fleet-class return model connects capital source use output receipts and lifecycle cash return.
CFURICFRB-010,full_collateral_return_proof,Current local/public URI source search,local URI artifact inventory plus public source search,current,No populated borrowing-base certificate NOLV appraisal reserve schedule L/C split source-to-purchase schedule or lifecycle ROIC model is public/current local evidence.,certificate and lifecycle return model not found,collateral-return-proof-hold,The decisive missing source package is explicit.,Full named cash proof is still not available.,Borrowing-base certificate collateral availability report source-to-purchase schedule and fleet lifecycle return model.,Pass only if collateral certificate values and fleet return math are both obtained and reconciled.
