attribution_id,question,proof_gate,evidence_status,selected_period,evidence_metric_ids,evidence_summary,derived_metric,source_documents,next_required_evidence,safe_answer,claim_boundary
CFPLDI-001,Can Distribution Inspection be tied to physical work?,operating output,pass-bridge,2025 final true-up,CFPLPD-009,Exhibit AP-1 lists 193199 actual Distribution Inspection projects for 2025 versus 180000 actual/estimated projects.,193199 actual projects,FPL 2025 SPPCRC Pankratz AP-1/AP-2 filing,"Parse AP-1 row-level detail if project IDs, locations, feeder references, or timing are needed.",Distribution Inspection has same-period physical output evidence.,Project count is not project-level return or proof of customer cash.
CFPLDI-002,Can Distribution Inspection be tied to capital use?,capital use,pass-bridge,2025 actual/estimated,CFPLSP-005; CFPLPD-010,Form 7E lists 38.500000M USD of annual expenditures; AP-1 lists 61.500000M USD of actual capital costs.,318.32 USD actual cost per project using AP-1 cost divided by AP-1 project count,FPL 2025 SPPCRC actual/estimated projection filing; FPL 2025 SPPCRC Pankratz AP-1/AP-2 filing,Reconcile why Form 7E annual expenditures and AP-1 actual capital costs differ by schedule definition.,Distribution Inspection has category-level capital-use and AP-1 actual-cost evidence.,"The cost rows do not identify funding source, lender, or asset-by-asset spending."
CFPLDI-003,Can Distribution Inspection be tied to plant additions?,plant addition,pass-bridge,2025 actual/estimated,CFPLSP-006,Form 7E lists 58.131189M USD of additions to plant for Distribution Inspection.,300.89 USD plant additions per AP-1 project; plant additions equal 94.52% of AP-1 actual cost,FPL 2025 SPPCRC actual/estimated projection filing,Find plant-account support or workpapers that reconcile additions to plant with AP-1 project-cost categories.,Distribution Inspection spending can be connected to plant additions.,"Plant additions are not the same as net rate base, depreciation schedule, or realized return."
CFPLDI-004,Can Distribution Inspection be tied to recoverable expense math?,recoverable expense,pass-bridge,2025 actual/estimated,CFPLSP-007,Form 7E lists 16.835584M USD of total system recoverable expenses for Distribution Inspection.,87.14 USD recoverable expense per AP-1 project,FPL 2025 SPPCRC actual/estimated projection filing,"Extract the underlying depreciation, tax, AFUDC, return, and expense components behind this category total.",Distribution Inspection has a recoverable-expense row tied to the capital schedule.,Recoverable expense is not actual customer cash collected or category earnings.
CFPLDI-005,Can Distribution Inspection be tied to final category recovery?,final category recovery,pass-bridge,2025 final true-up,CFPLFT-013; CFPLFT-017,Form 6A and Form 7A list 15.942971M USD as the final Distribution Inspection amount.,82.52 USD final revenue requirement per AP-1 project; final amount equals 25.92% of AP-1 actual cost,FPL 2025 SPPCRC final true-up Epperson filing,Reconcile final recovery to the detailed schedule components and later customer-factor treatment.,Distribution Inspection has final category revenue-requirement evidence.,"The final category amount is not profit, cash collection, or project IRR."
CFPLDI-006,Does the final category amount sit inside total SPPCRC recovery?,aggregate recovery reconciliation,pass-bridge,2025 final true-up,CFPLFT-008; CFPLFT-009; CFPLFT-010; CFPLFT-011; CFPLFT-015,"Final Form 2A lists 804.620369M USD of clause revenues, 729.233535M USD of total jurisdictional revenue requirements, and 65.318726M USD of true-up collected/refunded; Form 7A lists 600.314216M USD of total jurisdictional capital investment revenue requirements.",Distribution Inspection final amount equals 2.19% of total final jurisdictional revenue requirements and 2.66% of final capital revenue requirements,FPL 2025 SPPCRC final true-up Epperson filing,Find whether category-specific receipts or billing determinants are available below the aggregate SPPCRC line.,Distribution Inspection can be placed inside the final SPPCRC recovery pool.,Aggregate clause revenue does not allocate cash collections to Distribution Inspection.
CFPLDI-007,Did the regulator authorize customer charges that support recovery?,factor order and tariff authority,pass-bridge,2026 factor year,CFPLFO-001; CFPLFO-002; CFPLFO-003; CFPLFO-004; CFPLFO-005; CFPLFO-006; CFPLFO-007; CFPLFO-008; CFPLFO-009; CFPLFO-010; CFPLFO-011; CFPLFO-012; CFPLFO-013; CFPLFO-014,"Order PSC-2025-0439-FOF-EI approves SPPCRC amounts, tariff sheets, and 2026 rate-class factors including RS1/RTR1 at 0.00868 USD/kWh and demand-class factors.",factor-order authorization visible; rate-class factors visible,FPL 2026 SPPCRC factor order,Pull stamped tariff sheets and later true-up/factor filings to test actual customer billing and collection periods.,FPL has final factor-order and tariff-authorization evidence for SPPCRC recovery.,Authorized factors are not actual billed and collected cash.
CFPLDI-008,Is the allowed-return or carrying-charge input visible?,allowed return and carrying charge,pass-bridge,2025 actual/estimated and 2026 projection,CFPLFW-011; CFPLFW-012; CFPLFW-013; CFPLFW-014; CFPGFM-003; CFPGFM-004; CFPGFM-005,"SPPCRC schedules provide WACC total weighted cost of 7.0210% for Jan-Feb 2025, 7.0347% for Mar-Dec 2025, projected 2026 WACC of 7.0891%, and projected pre-tax weighted cost of 8.9464%; settlement context includes 10.95% ROE and 59.6% equity ratio.",carrying-charge inputs visible but not category earnings,FPL 2025 SPPCRC actual/estimated projection filing; FPL 2026 settlement order and SEC settlement exhibit,Tie these inputs to the Distribution Inspection detailed revenue-requirement calculation components.,Distribution Inspection sits in a recovery mechanism with explicit cost-of-capital inputs.,WACC input does not prove actual earned ROE or shareholder return from this category.
CFPLDI-009,Can the category be tied to FPL-wide cash and earnings context?,utility-wide cash context,pass-context,H1/Q2 2026,CFPLCE-001; CFPLCE-003; CFPLCE-004; CFPLCE-005; CFPLCE-006; CFPLCE-009; CFPLCE-010; CFPLCE-011; CFPLCE-012; CFPLCE-013; CFPLCE-016; CFPLCE-017; CFPLCE-020,"NextEra reports FPL Q2 2026 operating revenue of 4896M USD, net income of 1412M USD, depreciation and amortization of 1029M USD, interest expense of 349M USD, AFUDC-equity of 58M USD, H1 operating cash flow of 5388M USD, H1 FPL capex of 5780M USD, FPL PP&E net of 85930M USD, FPL long-term debt of 30188M USD, regulatory capital employed growth of 9.3%, and regulatory ROE of 11.7%.",Distribution Inspection AP-1 actual cost equals 1.06% of H1 2026 FPL capex,NextEra Q2 2026 earnings release; NextEra Q2 2026 prepared remarks,"Find SPPCRC-specific revenue, regulatory asset, depreciation, tax, AFUDC, and cash-flow disclosures.","FPL-wide cash, earnings, asset-base, debt, and regulatory-return context is visible.",FPL-wide lines are not SPPCRC category-level cash or earnings.
CFPLDI-010,Can customer receipts be proven for Distribution Inspection?,customer receipts,missing,2025 final true-up / 2026 factor year,CFPLFT-008; CFPLFT-011; CFPLFO-003; CFPLFO-014,"The record has aggregate final clause revenues and true-up collected/refunded lines plus order-approved rate factors, but no extracted Distribution Inspection-specific receipts by rate class.",customer-receipt proof not established,FPL final true-up filing; FPL final factor order,"Search stamped tariff sheets, billing determinant workpapers, rate-class cost allocation schedules, later true-up collections, and interrogatory exhibits.",No Distribution Inspection-specific customer cash receipt has been proven yet.,Do not say customers actually paid the Distribution Inspection final amount by category.
