theme_review_id,theme_family,plain_english_question,current_support,current_evidence_level,best_companies,next_proof_documents,what_it_would_answer,why_it_is_meaty,priority,next_action,status
ARTE-001,Power grid and data-center load,"Who pays for the electricity, grid, and reliability buildout, and who gets paid to build or own it?","Power scarcity chapter; FPL recovery passes; AEP/Duke load and recovery work; Sterling/MasTec backlog work",strong-theme-plus-recovery-route-visible,"NextEra/FPL; AEP; Duke; Constellation; Vistra; NRG; Sterling; MasTec","customer contracts; ESAs; PPAs; tariffs; riders; billing determinants; collected revenue; contractor backlog cash collection","Whether AI and industrial load become recoverable utility cash, contractor revenue, and durable asset returns","It connects AI demand, physical infrastructure, customer bills, public regulation, and capital spending in one testable lane",1,"Build a customer-cash and contractor-beneficiary map for data-center and grid load",ready-next-dig
ARTE-002,Insurance retirement and private-credit engine,"How do retirement and insurance liabilities become credit assets, income, and proceeds?","Capital platforms chapter; Apollo/Athene statutory proof; KKR/Global Atlantic Accordia statutory work; Brookfield and Blackstone insurance-channel maps",strong-legal-entity-bridge-visible,"Apollo/Athene; KKR/Global Atlantic; Brookfield Wealth Solutions; Blackstone; BlackRock/HPS","statutory Schedule D and BA detail; investment income; proceeds and disposals; liability cost; legal-entity cash schedules","Which legal entity owns which assets, what income came back, and whether spread survives liability cost","This is the best route back to the biggest money players without relying only on AUM or fundraising language",2,"Push one Apollo/Athene or KKR/Accordia CUSIP from holding/income evidence to proceeds and spread analysis",ready-next-dig
ARTE-003,Asset-backed collateral and securitization,"What collateral supports the borrowing, and does it turn into cash?","URI fleet/ABL work; source route maps; collateral certificate source route; working-capital proof boxes",bridge-visible-but-certificate-missing,"United Rentals; Target; Zebra; Pool; MSC Industrial; Global Industrial; Core Main","borrowing-base certificates; receivable aging; inventory eligibility; advance rates; trustee reports; collateral remittance schedules","Whether credit capacity is backed by eligible and collectable assets rather than only balance-sheet categories","It turns abstract liquidity into testable collateral, eligibility, and cash-conversion evidence",3,"Run a URI borrowing-base certificate chase and a distributor/retail receivables-inventory extraction batch",ready-next-dig
ARTE-004,Private-credit borrower facilities,"Which named borrowers received private-credit money, what facility carried it, and what did the money fund?","Ares borrower holder expansion; Frontline bridge; BDC schedules; named borrower proof graph",named-borrower-route-visible-but-use-incomplete,"Ares/Frontline; Auctane; Medallia; Atwell; Relation; MAI; BlackRock/HPS candidates","credit agreements; rating reports; lender allocations; funds-flow; use-of-proceeds; collateral; repayment and debt-service data","Whether private credit funded growth, acquisitions, bank takeouts, liquidity, or ownership transfer","It answers the simplest reader question directly: who lent to whom and what happened to the cash",4,"Pick the single most document-rich borrower and build a facility-use-repayment proof packet",ready-next-dig
ARTE-005,Capital-intensive infrastructure and energy,"How does capital spending become physical output such as LNG, pipelines, terminals, processing plants, and fleet assets?","Cheniere cargo reconciliation; Energy Transfer and midstream passes; ONEOK/Targa/PAA source table rows; URI fleet work",project-output-and-cash-proxy-visible,"Cheniere; Energy Transfer; ONEOK; Targa; Plains; United Rentals","project capital schedules; entity debt; customer contracts; tariff volumes; output records; project EBITDA or DCF bridges","Whether specific funded assets create measurable output and cash rather than only company-level EBITDA","It links money to physical capacity, which is easier to explain and harder to fake than generic growth language",5,"Create a named-project registry for LNG trains, midstream expansions, and fleet/capacity assets",ready-next-dig
ARTE-006,Healthcare access and care delivery,"Who organizes healthcare access when patients, employers, payers, families, and providers face cost and labor pressure?","Healthcare access chapter polish; healthcare cluster synthesis; queued healthcare cash-realization rows",theme-ready-but-cash-proof-thin,"UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit","premium receivables; claims payable; medical-cost trend; pharmacy economics; reimbursement schedules; labor productivity; service-line OCF","Whether scale in care access converts into reimbursement, collection, quality, and trust rather than only revenue","It is reader-friendly and human, but it needs reimbursement and cash discipline to avoid becoming vague healthcare narrative",6,"Build a reimbursement/cash-conversion proof table across payer, pharmacy, dialysis, infusion, home-care, and hospice lanes",ready-next-dig
ARTE-007,Industrial uptime and access infrastructure,"Who keeps physical work moving when equipment, parts, service density, and project execution are scarce?","Industrial uptime chapter polish; URI fleet durability; Sterling and MasTec backlog work",strong-operating-theme-visible,"United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MSC Industrial; Watsco; Sterling; MasTec","fleet utilization; branch density; vending and onsite locations; backlog aging; retainage; project margin; OCF; working-capital conversion","Whether industrial access companies are selling reliability and uptime rather than only products or rentals","It explains the operating layer underneath construction, factories, utilities, contractors, and infrastructure buildout",7,"Create an uptime proof ladder that compares fleet, MRO, electrical, HVAC, backlog, and contractor execution",ready-next-dig
ARTE-008,Built-environment upkeep,"Who benefits when housing and civic systems become repair, replacement, maintenance, and contractor-channel problems?","Built-environment chapter polish; built-environment cluster synthesis",theme-ready-with-sub-lane-segmentation-needed,"Home Depot; Lowe's; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core Main","RMI mix; Pro sales; branch economics; waterworks demand; coatings volume; lumber cycle evidence; inventory and cash conversion","Whether the story is repair/upkeep demand, Pro workflow, civic infrastructure, materials cycle, or acquisition integration","It turns housing from a broad macro label into practical upkeep channels where companies actually earn revenue",8,"Split the built-environment chapter into repair, Pro, materials, coatings, waterworks, and civic upkeep sub-lanes",ready-next-dig
ARTE-009,Digital control layers,"Who controls routing, security, identity, execution, and governance as work and AI activity move online?","Digital control chapter polish; internet software control cluster",theme-ready-but-return-proof-thin,"Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox","ARR; RPO; deferred revenue; traffic/security volume; large customer contracts; renewal cohorts; product margin; AI workload economics; safety costs","Whether digital activity becomes durable control, retention, and cash conversion rather than just usage growth","It is a strong modern bottleneck theme, but it needs operating-leverage proof to avoid becoming software-story writing",9,"Build a control-point table separating traffic routing, security, developer infrastructure, and platform governance",ready-next-dig
ARTE-010,Value retail and pressured consumer behavior,"How do households keep spending when money, time, trust, and regret are under pressure?","Value retail chapter polish; value retail cluster synthesis",reader-ready-theme-with-cash-boundary,"Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollie's","traffic; comps; ticket; membership fees; renewal behavior; ad income; e-commerce; shrink; inventory quality; gross margin; OCF","Whether retailers solve different consumer jobs rather than simply winning or losing from trade-down","It gives the article its clearest household-facing chapter and prevents the whole piece from sounding only institutional",10,"Build a wallet-split and regret-management table with margin and inventory evidence",ready-next-dig
