bridge_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFPAATVC-001,CFE2EGUQ-016,tariff-record,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,2026-07-01,Texas RRC tariff number,TX 3.6.0,passes-tariff-record-visibility,"A regulator-hosted tariff identifies Plains Eagle Ford Energy LLC's Karnes Pipeline System route evidence.","The tariff record does not prove shipper identity, volume commitment, billing volume, realized revenue, or asset return.","Executed shipper contracts, open-season results, billing records, route throughput, and segment cash schedules.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-002,CFE2EGUQ-016,tariff-effective-date,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,2026-07-01,tariff effective date,2026-07-01,passes-current-tariff-date,"The route/rate evidence is current-period tariff evidence aligned with the Q2 2026 pilot refresh window.","An effective date does not prove any barrels moved under the rate.","Tariff-change history, billed-period records, and volume/revenue schedules.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-003,CFE2EGUQ-016,route-origin,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,2026-07-01,origin,Karnes County,passes-origin-visibility,"The tariff identifies Karnes County as the route origin for the movement path.","Origin visibility does not identify shipper, contracted barrels, or cash received.","Route-level throughput, shipper contracts, and tariff billing support.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-004,CFE2EGUQ-016,route-destination,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,2026-07-01,destination,Cactus III Crude Pipeline Hobson Terminal,passes-destination-visibility,"The tariff identifies the Cactus III/Hobson destination endpoint for the movement path.","Destination visibility does not prove Corpus Christi long-haul economics or realized tariff revenue.","Destination route volumes, invoice/revenue evidence, and customer contract terms.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-005,CFE2EGUQ-016,base-tariff-rate,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,2026-07-01,base rate,178.98 cents per barrel,passes-base-rate-visibility,"The published base tariff rate gives a concrete commercial price for one Cactus III-linked movement path.","A published base rate is not the realized average tariff and does not prove revenue collected.","Realized average rate, route billings, committed/uncommitted volume split, and segment revenue bridge.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-006,CFE2EGUQ-016,negotiated-rate-mechanic,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,2026-07-01,negotiated-rate note,negotiated rates may be available for term-agreement shippers,passes-contract-mechanic-visibility,"The tariff contains a term-agreement mechanic that points to possible negotiated shipper economics.","The note does not disclose an executed term agreement, named shipper, committed volume, or contract tenor.","Executed transportation agreement, negotiated-rate contract exhibit, or open-season award detail.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-007,CFE2EGUQ-016,tariff-escalation,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,annual July 1,FERC oil pipeline index escalation,indexed-tariff mechanic,passes-rate-durability-mechanic,"The tariff includes an explicit annual rate escalation mechanism tied to the FERC oil pipeline index.","Escalation mechanics do not prove favorable realized pricing, volume durability, or cash return.","Tariff revisions, customer contract rate terms, realized rate data, and volume retention evidence.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-008,CFE2EGUQ-016,asset-output-denominator,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,FY 2025,Cactus III capacity,over 600000 barrels per day,passes-output-denominator-visibility,"SEC-filed capacity evidence gives the asset a physical output denominator.","Capacity does not prove utilization, committed throughput, tariff billings, or asset return.","Utilization, route-level throughput, contracted-capacity schedules, and Cactus III contribution evidence.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-009,CFE2EGUQ-016,acquisition-stack-55-percent,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,2025-10-31,55 percent EPIC/Cactus III stake acquisition,1568 USD millions cash price inclusive of 613 USD millions debt assumed,passes-acquisition-stack-visibility,"Plains has SEC-filed transaction evidence for a majority Cactus III ownership route including assumed debt.","The transaction evidence does not trace financing source or project-level cash return.","Funds-flow statement, debt issuance/use-of-proceeds, commercial-paper draw, and Cactus III contribution schedules.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
CFPAATVC-010,CFE2EGUQ-016,acquisition-stack-45-percent,capital-flow-plains-commercial-durability-extraction-pass-1.csv,visible,2025-11-01,45 percent EPIC/Cactus III stake acquired from Ares portfolio company,1327 USD millions cash price inclusive of 501 USD millions debt assumed,passes-seller-and-debt-assumed-visibility,"The remaining-stake transaction identifies an Ares portfolio-company seller and additional assumed debt in the Cactus III control path.","Seller identity and assumed debt do not prove private-credit funding, route revenue, or asset return.","Closing statement, seller funds-flow, debt refinancing records, and project cash contribution evidence.","Plains has tariff route/rate commercial evidence for a specific movement path, but committed-volume, billing, realized-revenue, and segment-cash proof remain missing."
