claim_id,pilot,obligation_or_claim,period_or_balance,amount_or_value,proof_status,non_additivity_rule,remaining_upgrade,source_artifact
COC-001,Wheaton-Antamina,Bank debt drawn,H1 2026,2700 USD millions,reported-corporate-flow,Do not call entire draw PMPA funding without funds-flow join,Lender-level PMPA allocation,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md
COC-002,Wheaton-Antamina,Bank debt repaid,H1 2026,728 USD millions,reported-corporate-flow,Do not subtract again from a cash proxy already separated from financing,Principal waterfall and asset allocation,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md
COC-003,Wheaton-Antamina,Interest paid and debt-issue costs,H1 2026,29.886 and 5.118 USD millions,reported-financing-outflow,Do not replace actual cash with annualized sensitivity or allocate fully to Antamina,Antamina-specific interest tax and debt service,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md
COC-004,Retail,Operating lease cash,Company periods,Included in OCF,accounting-boundary,Do not subtract lease cash again from cash-after-property,Lease-adjusted return and renewal burden,analysis/company-first-principles/combined-investment-research-pilot-02-retail-normalized-cash-screen.md
COC-005,Retail,Maintenance versus growth property spending,H1 periods,Total property spending disclosed,allocation-boundary,Do not combine maintenance sensitivity with full property spending twice,Quantified maintenance schedule,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md
COC-006,Retail,Supplier finance and payable support,H1 periods,Target 3200 / Walmart 6400 USD millions,burden-visible,Payable movements and supplier-finance balances are not automatically additive cash benefits,Settlement and recurring-normalization bridge,analysis/company-first-principles/combined-investment-research-pilot-02-retail-supplier-finance-boundary.md
COC-007,Apollo-Athene,Preferred conversion claim,Q2 2026,14587841 underlying shares,denominator-confirmed,Do not add preferred shares to cash claims without priority and conversion economics,Preferred cash priority and conversion timing,analysis/company-first-principles/capital-flow-apollo-q2-share-claim-dilution-boundary-upgrade-2026-09-15.md
COC-008,Apollo-Athene,RSU claims,Q2 2026,32994862 shares across vested and unvested classes,denominator-confirmed,Do not treat adjusted shares as cash expense and also subtract full SBC without settlement analysis,Vesting settlement and future dilution,analysis/company-first-principles/capital-flow-apollo-q2-share-claim-dilution-boundary-upgrade-2026-09-15.md
COC-009,Apollo-Athene,Equity-based compensation,H1 2026,478 USD millions,reported-claim,Do not subtract SBC as cash and again treat all adjusted-share claims as separate cash outflows,Cash settlement and per-share economics,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-common-owner-bridge.md
COC-010,Apollo-Athene,Common dividends and repurchases,H1 2026,654 and 729 USD millions,reported-capital-use,Capital return uses are not evidence of upstream receipt or distributable residual,Parent cash source and residual waterfall,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-common-owner-bridge.md
COC-011,Apollo-Athene,Preferred dividends,H1 2026,49 USD millions parent-level,reported-senior-claim,Do not treat common dividends as residual before preferred NCI regulated and VIE claims,Full parent-to-common waterfall,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-common-owner-bridge.md
