row_id,section,question,answer,current_status,next_action,boundary
CFBPME2E-001,meaty_goal,What are we trying to do?,"Build a document-backed map of how giant pools of money move from sources through major platforms into named real-economy destinations, then prove selected cases through cash coming back.",goal-defined,"Use this as the controlling standard for future capital-flow proof passes.","This is a research/proof goal, not itself new primary evidence."
CFBPME2E-002,plain_english,What is the simple version?,"Who has the money, who routes it, where does it go, what does it fund, what cash comes back, and what document proves each link?",goal-defined,"Apply the question set to every platform and named proof case.","A row can be useful even when it only reaches map or bridge level."
CFBPME2E-003,proof_chain,What chain must a full row prove?,"capital source -> big-money platform -> legal wrapper -> instrument -> named destination -> use of proceeds -> operating output or asset ownership -> receipt/settlement/income/billing/repayment -> waterfall/legal availability -> return",standard-defined,"Require every promoted claim to declare which chain links are proven and which hold.","AUM, capex, backlog, EBITDA, and broad income totals do not complete the chain."
CFBPME2E-004,proof_levels,How do we avoid overclaiming?,"Separate map evidence, bridge evidence, named-cash holds, and full named-cash proof.",standard-defined,"Assign a proof level to every future platform/destination row.","Most current evidence is map, bridge, or named-cash hold, not full proof."
CFBPME2E-005,big_platforms,Which platforms are first?,"BlackRock/HPS, Blackstone, Apollo/Athene, KKR/Global Atlantic, Brookfield, Ares, and Carlyle.",target-set-defined,"Maintain one destination/proof-chase row per platform.","The platform list is a first set, not the whole universe."
CFBPME2E-006,current_answer,What have we found?,"The pipes are visible and several named destinations are visible, but no full cash loop from original source to final return is proven yet.",current-state-defined,"Push selected cases into receipt, waterfall, legal-entity, collateral, and return proof.","This supports mechanism-level research, not final source-to-return proof."
CFBPME2E-007,insurance_case,What is the first insurance-capital proof route?,"KKR/Global Atlantic/Accordia statutory entity -> Schedule D named securities -> reconciled columns -> investment income/proceeds -> liability context -> cash-return verdict.",active-next-target,"Resolve Accordia Schedule D column geometry, then join income/proceeds and liability context.","Current Accordia column reconciliation is quantified but still on hold."
CFBPME2E-008,private_credit_case,What is the first private-credit borrower proof route?,"Ares/Frontline -> holder or vehicle -> facility -> use of proceeds -> borrower cash -> repayment or waterfall -> return/bank-role verdict.",next-target,"Chase credit agreement, lender allocation, funds flow, borrower cash, repayment, and bank-role evidence.","Current evidence is named borrower/holder bridge, not full facility cash proof."
CFBPME2E-009,hard_documents,What documents matter most?,"Receipts, billing records, settlement ledgers, debt waterfalls, legal-entity schedules, collateral certificates, lender allocations, borrower cash records, and return models.",proof-standard-defined,"Name the decisive missing document family in every case.","Public filings may expose strong proxies while still missing decisive controlled documents."
CFBPME2E-010,success_criteria,What does the next pass need to produce?,"A joined table with named legal entity or vehicle, named destination, amount, period, instrument, use evidence, cash-back evidence, legal/waterfall evidence, return evidence, safe claim, forbidden overclaim, and next document.",success-standard-defined,"Build the next pass as a table-backed proof stack, not a theme memo.","If use, cash, legal route, or return is missing, the row must remain hold."
CFBPME2E-011,final_product,What should the final product become?,"A ranked money-flow atlas plus proof packets that distinguish where capital appears to go from where cash movement is actually proven.",deliverable-defined,"Keep the atlas and proof packets connected but proof-level separated.","The atlas can be broad; full proof packets will be narrower."
CFBPME2E-012,decision,What is the operating decision?,"Stop broadening the theme and push selected rows through named-cash proof stacks.",decision-ready,"Proceed with Accordia held-row column geometry and Ares/Frontline decisive-source chase.","The decision does not claim named cash proof already exists."
